request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782172062.231959,1782172063.1964774,964.5183086395264,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782172063.1969357,1782172064.0909555,894.0198421478271,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782172064.0914965,1782172064.9912322,899.735689163208,1,200,,156,64,52,208
3,healthy,vllm_healthy,1782172064.9918234,1782172065.888224,896.4004516601562,1,200,,156,64,58,214
4,healthy,vllm_healthy,1782172065.889037,1782172066.7961915,907.1545600891113,1,200,,156,64,52,208
5,healthy,vllm_healthy,1782172066.7968428,1782172067.7000413,903.1984806060791,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782172067.7005465,1782172068.5895963,889.049768447876,1,200,,156,64,49,205
7,healthy,vllm_healthy,1782172068.5902436,1782172069.4876795,897.4359035491943,1,200,,156,64,49,205
8,healthy,vllm_healthy,1782172069.488237,1782172070.4029665,914.7295951843262,1,200,,156,64,47,203
9,healthy,vllm_healthy,1782172070.4034393,1782172071.3079486,904.5093059539795,1,200,,156,64,47,203
10,healthy,vllm_healthy,1782172071.3087518,1782172072.2011383,892.3864364624023,1,200,,156,64,47,203
11,healthy,vllm_healthy,1782172072.2017248,1782172073.103033,901.3082981109619,1,200,,156,64,47,203
12,healthy,vllm_healthy,1782172073.1035209,1782172074.0092735,905.7526588439941,1,200,,156,64,55,211
13,healthy,vllm_healthy,1782172074.0099244,1782172074.911459,901.5345573425293,1,200,,156,64,47,203
14,healthy,vllm_healthy,1782172074.911995,1782172075.8032696,891.2746906280518,1,200,,156,64,47,203
15,healthy,vllm_healthy,1782172075.803808,1782172076.6960728,892.2648429870605,1,200,,156,64,55,211
16,healthy,vllm_healthy,1782172076.6967285,1782172077.5930405,896.3119983673096,1,200,,156,64,47,203
17,healthy,vllm_healthy,1782172077.5937233,1782172078.493754,900.0306129455566,1,200,,156,64,47,203
18,healthy,vllm_healthy,1782172078.495036,1782172079.395026,899.9900817871094,1,200,,156,64,47,203
19,healthy,vllm_healthy,1782172079.395501,1782172080.297406,901.9050598144531,1,200,,156,64,47,203
20,healthy,vllm_healthy,1782172080.2979743,1782172081.1895695,891.5951251983643,1,200,,156,64,55,211
21,healthy,vllm_healthy,1782172081.1898832,1782172082.0774312,887.5479698181152,1,200,,156,64,55,211
22,healthy,vllm_healthy,1782172082.0781064,1782172082.9751463,897.0398902893066,1,200,,156,64,47,203
23,healthy,vllm_healthy,1782172082.975549,1782172083.8684893,892.9402828216553,1,200,,156,64,49,205
24,healthy,vllm_healthy,1782172083.868905,1782172084.7766335,907.7284336090088,1,200,,156,64,54,210
25,healthy,vllm_healthy,1782172084.7771773,1782172085.6782386,901.0612964630127,1,200,,156,64,52,208
26,healthy,vllm_healthy,1782172085.6817634,1782172086.5716171,889.8537158966064,1,200,,156,64,47,203
27,healthy,vllm_healthy,1782172086.572135,1782172087.4652638,893.1288719177246,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782172087.4657645,1782172088.3549984,889.2338275909424,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782172088.3554416,1782172089.2423322,886.8906497955322,1,200,,156,64,54,210
30,healthy,vllm_healthy,1782172089.2429295,1782172090.1506593,907.7298641204834,1,200,,156,64,47,203
31,healthy,vllm_healthy,1782172090.151353,1782172091.0519147,900.5618095397949,1,200,,156,64,55,211
32,healthy,vllm_healthy,1782172091.0524583,1782172091.9549887,902.5304317474365,1,200,,156,64,55,211
33,healthy,vllm_healthy,1782172091.9556754,1782172092.8526049,896.9295024871826,1,200,,156,64,54,210
