request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782172301.6655638,1782172302.6349092,969.3453311920166,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782172302.6352634,1782172303.549731,914.4675731658936,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782172303.5502534,1782172304.4518917,901.6382694244385,1,200,,156,64,23,179
3,healthy,vllm_healthy,1782172304.452369,1782172305.342136,889.7669315338135,1,200,,156,64,23,179
4,healthy,vllm_healthy,1782172305.3424876,1782172306.2372634,894.7758674621582,1,200,,156,64,23,179
5,healthy,vllm_healthy,1782172306.237695,1782172307.1335018,895.8067893981934,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782172307.1339333,1782172308.0253751,891.441822052002,1,200,,156,64,23,179
7,healthy,vllm_healthy,1782172308.0259538,1782172308.9428916,916.9378280639648,1,200,,156,64,23,179
8,healthy,vllm_healthy,1782172308.9435322,1782172309.8614762,917.9439544677734,1,200,,156,64,23,179
9,healthy,vllm_healthy,1782172309.8618557,1782172310.7584405,896.5847492218018,1,200,,156,64,23,179
10,healthy,vllm_healthy,1782172310.75894,1782172311.6526377,893.6977386474609,1,200,,156,64,54,210
11,healthy,vllm_healthy,1782172311.6531844,1782172312.5459993,892.8148746490479,1,200,,156,64,23,179
12,healthy,vllm_healthy,1782172312.5463502,1782172313.4418387,895.4885005950928,1,200,,156,64,23,179
13,healthy,vllm_healthy,1782172313.442172,1782172314.346478,904.3059349060059,1,200,,156,64,23,179
14,healthy,vllm_healthy,1782172314.3469276,1782172315.246785,899.8572826385498,1,200,,156,64,23,179
15,healthy,vllm_healthy,1782172315.2471974,1782172316.1629252,915.7278537750244,1,200,,156,64,23,179
16,healthy,vllm_healthy,1782172316.1635046,1782172317.066927,903.4223556518555,1,200,,156,64,54,210
17,healthy,vllm_healthy,1782172317.0673254,1782172317.960113,892.7876949310303,1,200,,156,64,23,179
18,healthy,vllm_healthy,1782172317.960451,1782172318.847206,886.7552280426025,1,200,,156,64,23,179
19,healthy,vllm_healthy,1782172318.8476765,1782172319.7459345,898.2579708099365,1,200,,156,64,54,210
20,healthy,vllm_healthy,1782172319.7463598,1782172320.6546817,908.3218574523926,1,200,,156,64,47,203
21,healthy,vllm_healthy,1782172320.6550345,1782172321.5524411,897.4065780639648,1,200,,156,64,23,179
22,healthy,vllm_healthy,1782172321.5530574,1782172322.457855,904.7975540161133,1,200,,156,64,52,208
23,healthy,vllm_healthy,1782172322.4584048,1782172323.3509595,892.554759979248,1,200,,156,64,23,179
24,healthy,vllm_healthy,1782172323.351389,1782172324.240127,888.7381553649902,1,200,,156,64,23,179
25,healthy,vllm_healthy,1782172324.2405648,1782172325.1314225,890.8576965332031,1,200,,156,64,23,179
26,healthy,vllm_healthy,1782172325.1318636,1782172326.0257256,893.8620090484619,1,200,,156,64,47,203
27,healthy,vllm_healthy,1782172326.0263352,1782172326.931265,904.9298763275146,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782172326.931697,1782172327.834302,902.6050567626953,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782172327.8347502,1782172328.7261033,891.3531303405762,1,200,,156,64,23,179
30,healthy,vllm_healthy,1782172328.7264402,1782172329.615159,888.718843460083,1,200,,156,64,23,179
31,healthy,vllm_healthy,1782172329.6156144,1782172330.5120077,896.3932991027832,1,200,,156,64,23,179
32,healthy,vllm_healthy,1782172330.512398,1782172331.4056249,893.2268619537354,1,200,,156,64,23,179
33,healthy,vllm_healthy,1782172331.4059782,1782172332.309557,903.5787582397461,1,200,,156,64,23,179
