request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782172399.5668843,1782172400.5432966,976.412296295166,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782172400.5437555,1782172401.4470885,903.3329486846924,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782172401.4474185,1782172402.3400216,892.6031589508057,1,200,,156,64,23,179
3,healthy,vllm_healthy,1782172402.3403509,1782172403.2287486,888.3976936340332,1,200,,156,64,23,179
4,healthy,vllm_healthy,1782172403.2290998,1782172404.1249561,895.8563804626465,1,200,,156,64,23,179
5,healthy,vllm_healthy,1782172404.1253495,1782172405.013051,887.7015113830566,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782172405.0135672,1782172405.9147513,901.18408203125,1,200,,156,64,23,179
7,healthy,vllm_healthy,1782172405.9150352,1782172406.8214145,906.379222869873,1,200,,156,64,23,179
8,healthy,vllm_healthy,1782172406.8217115,1782172407.7269943,905.282735824585,1,200,,156,64,23,179
9,healthy,vllm_healthy,1782172407.7274315,1782172408.6174116,889.9800777435303,1,200,,156,64,23,179
10,healthy,vllm_healthy,1782172408.6177301,1782172409.5069234,889.1932964324951,1,200,,156,64,54,210
11,healthy,vllm_healthy,1782172409.5072358,1782172410.4056926,898.4568119049072,1,200,,156,64,23,179
12,healthy,vllm_healthy,1782172410.4061744,1782172411.301395,895.2205181121826,1,200,,156,64,23,179
13,healthy,vllm_healthy,1782172411.3017676,1782172412.2025416,900.7740020751953,1,200,,156,64,23,179
14,healthy,vllm_healthy,1782172412.202993,1782172413.10842,905.4269790649414,1,200,,156,64,23,179
15,healthy,vllm_healthy,1782172413.1088626,1782172414.0040653,895.20263671875,1,200,,156,64,23,179
16,healthy,vllm_healthy,1782172414.004533,1782172414.9033365,898.8034725189209,1,200,,156,64,54,210
17,healthy,vllm_healthy,1782172414.903886,1782172415.7998755,895.9894180297852,1,200,,156,64,23,179
18,healthy,vllm_healthy,1782172415.8002577,1782172416.6934826,893.2249546051025,1,200,,156,64,23,179
19,healthy,vllm_healthy,1782172416.6938634,1782172417.5887918,894.9284553527832,1,200,,156,64,54,210
20,healthy,vllm_healthy,1782172417.589167,1782172418.491392,902.2247791290283,1,200,,156,64,47,203
21,healthy,vllm_healthy,1782172418.4919744,1782172419.3924496,900.475263595581,1,200,,156,64,23,179
22,healthy,vllm_healthy,1782172419.3930542,1782172420.2959213,902.8670787811279,1,200,,156,64,52,208
23,healthy,vllm_healthy,1782172420.29636,1782172421.1855404,889.1804218292236,1,200,,156,64,23,179
24,healthy,vllm_healthy,1782172421.1859117,1782172422.0803335,894.4218158721924,1,200,,156,64,23,179
25,healthy,vllm_healthy,1782172422.0809016,1782172422.9725733,891.6716575622559,1,200,,156,64,23,179
26,healthy,vllm_healthy,1782172422.9728942,1782172423.869491,896.5969085693359,1,200,,156,64,47,203
27,healthy,vllm_healthy,1782172423.8700721,1782172424.7739525,903.8803577423096,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782172424.7743673,1782172425.667943,893.5756683349609,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782172425.6683795,1782172426.5631402,894.7606086730957,1,200,,156,64,23,179
30,healthy,vllm_healthy,1782172426.5636117,1782172427.4580822,894.4704532623291,1,200,,156,64,23,179
31,healthy,vllm_healthy,1782172427.4584858,1782172428.3463426,887.8567218780518,1,200,,156,64,23,179
32,healthy,vllm_healthy,1782172428.346716,1782172429.2326374,885.9214782714844,1,200,,156,64,23,179
33,healthy,vllm_healthy,1782172429.2330322,1782172430.1292546,896.2223529815674,1,200,,156,64,23,179
34,healthy,vllm_healthy,1782172430.1296227,1782172431.0213597,891.7369842529297,1,200,,156,64,23,179
35,healthy,vllm_healthy,1782172431.0217714,1782172431.921075,899.303674697876,1,200,,156,64,23,179
36,healthy,vllm_healthy,1782172431.9216359,1782172432.812049,890.4130458831787,1,200,,156,64,23,179
37,healthy,vllm_healthy,1782172432.812393,1782172433.7013881,888.9951705932617,1,200,,156,64,23,179
38,healthy,vllm_healthy,1782172433.7018983,1782172434.598448,896.5497016906738,1,200,,156,64,23,179
39,healthy,vllm_healthy,1782172434.5988784,1782172435.494378,895.4997062683105,1,200,,156,64,23,179
40,healthy,vllm_healthy,1782172435.4947758,1782172436.3849792,890.2034759521484,1,200,,156,64,54,210
41,healthy,vllm_healthy,1782172436.3853645,1782172437.2902853,904.9208164215088,1,200,,156,64,23,179
42,healthy,vllm_healthy,1782172437.2906637,1782172438.1905792,899.9154567718506,1,200,,156,64,23,179
43,healthy,vllm_healthy,1782172438.191133,1782172439.0873063,896.1732387542725,1,200,,156,64,23,179
44,healthy,vllm_healthy,1782172439.0878654,1782172439.9860246,898.1592655181885,1,200,,156,64,23,179
45,healthy,vllm_healthy,1782172439.9887128,1782172440.8879786,899.2657661437988,1,200,,156,64,23,179
46,healthy,vllm_healthy,1782172440.8917239,1782172441.7991586,907.4347019195557,1,200,,156,64,23,179
47,healthy,vllm_healthy,1782172441.7995253,1782172442.7053945,905.8692455291748,1,200,,156,64,23,179
48,healthy,vllm_healthy,1782172442.705832,1782172443.6053927,899.5606899261475,1,200,,156,64,23,179
49,healthy,vllm_healthy,1782172443.6059067,1782172444.5025413,896.634578704834,1,200,,156,64,55,211
50,healthy,vllm_healthy,1782172444.502968,1782172445.3895712,886.6031169891357,1,200,,156,64,55,211
51,healthy,vllm_healthy,1782172445.3901072,1782172446.2831693,893.0621147155762,1,200,,156,64,23,179
52,healthy,vllm_healthy,1782172446.283514,1782172447.1890013,905.4872989654541,1,200,,156,64,23,179
53,healthy,vllm_healthy,1782172447.1893036,1782172448.0889556,899.6520042419434,1,200,,156,64,23,179
54,healthy,vllm_healthy,1782172448.089417,1782172448.990177,900.7599353790283,1,200,,156,64,23,179
55,healthy,vllm_healthy,1782172448.990463,1782172449.8945158,904.052734375,1,200,,156,64,23,179
56,healthy,vllm_healthy,1782172449.8950186,1782172450.7900352,895.0166702270508,1,200,,156,64,23,179
57,healthy,vllm_healthy,1782172450.790776,1782172451.6889122,898.1361389160156,1,200,,156,64,23,179
58,healthy,vllm_healthy,1782172451.6892464,1782172452.5825112,893.2647705078125,1,200,,156,64,23,179
59,healthy,vllm_healthy,1782172452.5828655,1782172453.4938135,910.9480381011963,1,200,,156,64,23,179
60,healthy,vllm_healthy,1782172453.49463,1782172454.4010973,906.4671993255615,1,200,,156,64,23,179
61,healthy,vllm_healthy,1782172454.401484,1782172455.3001678,898.6837863922119,1,200,,156,64,23,179
62,healthy,vllm_healthy,1782172455.3007588,1782172456.1968389,896.0800170898438,1,200,,156,64,23,179
63,healthy,vllm_healthy,1782172456.1972787,1782172457.089389,892.1103477478027,1,200,,156,64,23,179
64,healthy,vllm_healthy,1782172457.0897183,1782172457.981133,891.4146423339844,1,200,,156,64,23,179
65,healthy,vllm_healthy,1782172457.9815688,1782172458.8758295,894.2606449127197,1,200,,156,64,23,179
66,healthy,vllm_healthy,1782172458.8761427,1782172459.7871292,910.9864234924316,1,200,,156,64,23,179
