request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782172636.0556839,1782172637.0231612,967.4773216247559,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782172637.0238233,1782172637.9215639,897.7406024932861,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782172637.9219804,1782172638.8169155,894.935131072998,1,200,,156,64,23,179
3,healthy,vllm_healthy,1782172638.8172972,1782172639.7102869,892.9896354675293,1,200,,156,64,23,179
4,healthy,vllm_healthy,1782172639.7106895,1782172640.6269975,916.3079261779785,1,200,,156,64,23,179
5,healthy,vllm_healthy,1782172640.6274266,1782172641.5273407,899.914026260376,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782172641.5276918,1782172642.4260964,898.404598236084,1,200,,156,64,23,179
7,healthy,vllm_healthy,1782172642.4264338,1782172643.3319335,905.4996967315674,1,200,,156,64,23,179
8,healthy,vllm_healthy,1782172643.3323224,1782172644.2448764,912.5540256500244,1,200,,156,64,23,179
9,healthy,vllm_healthy,1782172644.2453322,1782172645.1334338,888.1015777587891,1,200,,156,64,23,179
10,healthy,vllm_healthy,1782172645.133756,1782172646.026374,892.6181793212891,1,200,,156,64,47,203
11,healthy,vllm_healthy,1782172646.0267632,1782172646.9240177,897.254467010498,1,200,,156,64,23,179
12,healthy,vllm_healthy,1782172646.9243243,1782172647.83375,909.4257354736328,1,200,,156,64,23,179
13,healthy,vllm_healthy,1782172647.8344657,1782172648.747537,913.0711555480957,1,200,,156,64,23,179
14,healthy,vllm_healthy,1782172648.7480118,1782172649.6531138,905.102014541626,1,200,,156,64,23,179
15,healthy,vllm_healthy,1782172649.6534832,1782172650.544144,890.6607627868652,1,200,,156,64,23,179
16,healthy,vllm_healthy,1782172650.5445445,1782172651.436057,891.5126323699951,1,200,,156,64,55,211
17,healthy,vllm_healthy,1782172651.4364166,1782172652.3257933,889.3766403198242,1,200,,156,64,23,179
18,healthy,vllm_healthy,1782172652.3261847,1782172653.2303507,904.1659832000732,1,200,,156,64,23,179
19,healthy,vllm_healthy,1782172653.230747,1782172654.1392412,908.494234085083,1,200,,156,64,23,179
20,healthy,vllm_healthy,1782172654.1396315,1782172655.0423934,902.7619361877441,1,200,,156,64,23,179
21,healthy,vllm_healthy,1782172655.0427988,1782172655.9345455,891.7467594146729,1,200,,156,64,23,179
22,healthy,vllm_healthy,1782172655.9350042,1782172656.8248413,889.8370265960693,1,200,,156,64,23,179
23,healthy,vllm_healthy,1782172656.8251815,1782172657.719445,894.263505935669,1,200,,156,64,23,179
24,healthy,vllm_healthy,1782172657.7197838,1782172658.6238663,904.0825366973877,1,200,,156,64,55,211
25,healthy,vllm_healthy,1782172658.6242414,1782172659.523683,899.4417190551758,1,200,,156,64,23,179
26,healthy,vllm_healthy,1782172659.5240448,1782172660.4222486,898.2038497924805,1,200,,156,64,23,179
27,healthy,vllm_healthy,1782172660.422703,1782172661.33422,911.5169048309326,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782172661.3346214,1782172662.2240412,889.4197940826416,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782172662.22427,1782172663.1211681,896.8980312347412,1,200,,156,64,23,179
30,healthy,vllm_healthy,1782172663.1215746,1782172664.0176594,896.0847854614258,1,200,,156,64,23,179
31,healthy,vllm_healthy,1782172664.0179782,1782172664.9214551,903.4769535064697,1,200,,156,64,23,179
32,healthy,vllm_healthy,1782172664.9220564,1782172665.8364286,914.3722057342529,1,200,,156,64,23,179
33,healthy,vllm_healthy,1782172665.8369203,1782172666.7402427,903.3224582672119,1,200,,156,64,23,179
34,healthy,vllm_healthy,1782172666.7407026,1782172667.6329405,892.2379016876221,1,200,,156,64,23,179
35,healthy,vllm_healthy,1782172667.6332958,1782172668.5290785,895.7827091217041,1,200,,156,64,23,179
36,healthy,vllm_healthy,1782172668.5294716,1782172669.4229767,893.5050964355469,1,200,,156,64,23,179
37,healthy,vllm_healthy,1782172669.4233282,1782172670.31373,890.4018402099609,1,200,,156,64,23,179
38,healthy,vllm_healthy,1782172670.314087,1782172671.222975,908.8881015777588,1,200,,156,64,23,179
39,healthy,vllm_healthy,1782172671.2232616,1782172672.1240935,900.831937789917,1,200,,156,64,23,179
40,healthy,vllm_healthy,1782172672.1244605,1782172673.0352361,910.7756614685059,1,200,,156,64,23,179
41,healthy,vllm_healthy,1782172673.0357254,1782172673.9396772,903.95188331604,1,200,,156,64,23,179
42,healthy,vllm_healthy,1782172673.9400187,1782172674.833173,893.1543827056885,1,200,,156,64,23,179
43,healthy,vllm_healthy,1782172674.833463,1782172675.730854,897.3910808563232,1,200,,156,64,23,179
44,healthy,vllm_healthy,1782172675.7312593,1782172676.639797,908.5376262664795,1,200,,156,64,23,179
45,healthy,vllm_healthy,1782172676.6409452,1782172677.5479598,907.0146083831787,1,200,,156,64,23,179
46,healthy,vllm_healthy,1782172677.548368,1782172678.4480536,899.6856212615967,1,200,,156,64,23,179
47,healthy,vllm_healthy,1782172678.4485493,1782172679.3475726,899.0232944488525,1,200,,156,64,23,179
