request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,long_output,vllm_long_output,1782180678.4005227,1782180685.5994997,7198.976993560791,1,200,,198,512,400,598
1,long_output,vllm_long_output,1782180678.4020572,1782180685.6130443,7210.987091064453,1,200,,198,512,396,594
3,long_output,vllm_long_output,1782180678.4040177,1782180685.6135302,7209.51247215271,1,200,,198,512,389,587
2,long_output,vllm_long_output,1782180678.402905,1782180685.6136582,7210.7532024383545,1,200,,198,512,389,587
4,long_output,vllm_long_output,1782180685.614039,1782180692.7156594,7101.620435714722,1,200,,198,512,390,588
5,long_output,vllm_long_output,1782180685.6142428,1782180692.7309117,7116.668939590454,1,200,,198,512,389,587
6,long_output,vllm_long_output,1782180685.6144114,1782180692.7311368,7116.725444793701,1,200,,198,512,414,612
7,long_output,vllm_long_output,1782180685.6146593,1782180692.7313259,7116.666555404663,1,200,,198,512,403,601
9,long_output,vllm_long_output,1782180692.732258,1782180699.8339229,7101.664781570435,1,200,,198,512,403,601
10,long_output,vllm_long_output,1782180692.7325792,1782180699.8481972,7115.617990493774,1,200,,198,512,390,588
11,long_output,vllm_long_output,1782180692.7330637,1782180699.848734,7115.670204162598,1,200,,198,512,394,592
8,long_output,vllm_long_output,1782180692.7319293,1782180699.8489075,7116.978168487549,1,200,,198,512,398,596
13,long_output,vllm_long_output,1782180699.8494885,1782180706.9372787,7087.790250778198,1,200,,198,512,409,607
15,long_output,vllm_long_output,1782180699.8498669,1782180706.9511783,7101.311445236206,1,200,,198,512,401,599
12,long_output,vllm_long_output,1782180699.8493063,1782180706.9512928,7101.986408233643,1,200,,198,512,410,608
14,long_output,vllm_long_output,1782180699.849696,1782180706.95139,7101.694107055664,1,200,,198,512,393,591
17,long_output,vllm_long_output,1782180706.95202,1782180714.0540013,7101.981401443481,1,200,,198,512,392,590
18,long_output,vllm_long_output,1782180706.9521859,1782180714.0541556,7101.9697189331055,1,200,,198,512,409,607
19,long_output,vllm_long_output,1782180706.9524112,1782180714.0683484,7115.937232971191,1,200,,198,512,396,594
16,long_output,vllm_long_output,1782180706.9518297,1782180714.0684536,7116.623878479004,1,200,,198,512,406,604
22,long_output,vllm_long_output,1782180714.0692878,1782180721.1911404,7121.85263633728,1,200,,198,512,393,591
21,long_output,vllm_long_output,1782180714.0691047,1782180721.2053635,7136.258840560913,1,200,,198,512,402,600
23,long_output,vllm_long_output,1782180714.0695236,1782180721.2056365,7136.112928390503,1,200,,198,512,403,601
20,long_output,vllm_long_output,1782180714.0688963,1782180721.2058785,7136.982202529907,1,200,,198,512,410,608
24,long_output,vllm_long_output,1782180721.2064753,1782180728.3174975,7111.022233963013,1,200,,198,512,409,607
26,long_output,vllm_long_output,1782180721.206963,1782180728.3316107,7124.647617340088,1,200,,198,512,416,614
27,long_output,vllm_long_output,1782180721.2072415,1782180728.331851,7124.609470367432,1,200,,198,512,398,596
25,long_output,vllm_long_output,1782180721.206723,1782180728.3319988,7125.2758502960205,1,200,,198,512,409,607
29,long_output,vllm_long_output,1782180728.3326457,1782180735.4232047,7090.559005737305,1,200,,198,512,420,618
28,long_output,vllm_long_output,1782180728.3324552,1782180735.4372303,7104.775190353394,1,200,,198,512,406,604
30,long_output,vllm_long_output,1782180728.3328135,1782180735.437339,7104.525566101074,1,200,,198,512,394,592
31,long_output,vllm_long_output,1782180728.3330274,1782180735.437427,7104.399681091309,1,200,,198,512,396,594
33,long_output,vllm_long_output,1782180735.438091,1782180742.5616815,7123.590469360352,1,200,,198,512,393,591
34,long_output,vllm_long_output,1782180735.438267,1782180742.5627935,7124.526500701904,1,200,,198,512,403,601
32,long_output,vllm_long_output,1782180735.4378977,1782180742.5751255,7137.227773666382,1,200,,198,512,396,594
35,long_output,vllm_long_output,1782180735.4384773,1782180742.5753305,7136.853218078613,1,200,,198,512,414,612
