request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,long_output,vllm_long_output,1782180799.1462586,1782180806.377283,7231.024503707886,1,200,,198,512,403,601
3,long_output,vllm_long_output,1782180799.1499288,1782180806.377895,7227.96630859375,1,200,,198,512,389,587
0,long_output,vllm_long_output,1782180799.1446292,1782180806.3794353,7234.806060791016,1,200,,198,512,393,591
2,long_output,vllm_long_output,1782180799.1471872,1782180806.3795803,7232.393026351929,1,200,,198,512,396,594
4,long_output,vllm_long_output,1782180806.3799193,1782180813.5084345,7128.515243530273,1,200,,198,512,405,603
5,long_output,vllm_long_output,1782180806.3807306,1782180813.5085802,7127.849578857422,1,200,,198,512,392,590
6,long_output,vllm_long_output,1782180806.3832154,1782180813.522302,7139.086484909058,1,200,,198,512,398,596
7,long_output,vllm_long_output,1782180806.383457,1782180813.5223985,7138.941526412964,1,200,,198,512,402,600
8,long_output,vllm_long_output,1782180813.522825,1782180820.629522,7106.697082519531,1,200,,198,512,401,599
9,long_output,vllm_long_output,1782180813.5230408,1782180820.6297061,7106.665372848511,1,200,,198,512,392,590
11,long_output,vllm_long_output,1782180813.523457,1782180820.6430233,7119.566202163696,1,200,,198,512,394,592
10,long_output,vllm_long_output,1782180813.5232444,1782180820.6431222,7119.877815246582,1,200,,198,512,392,590
14,long_output,vllm_long_output,1782180820.6439848,1782180827.7528722,7108.887434005737,1,200,,198,512,398,596
15,long_output,vllm_long_output,1782180820.6442254,1782180827.7671509,7122.925519943237,1,200,,198,512,398,596
12,long_output,vllm_long_output,1782180820.6435423,1782180827.7672858,7123.743534088135,1,200,,198,512,392,590
13,long_output,vllm_long_output,1782180820.6437786,1782180827.767432,7123.653411865234,1,200,,198,512,410,608
17,long_output,vllm_long_output,1782180827.768045,1782180834.8871713,7119.126319885254,1,200,,198,512,398,596
16,long_output,vllm_long_output,1782180827.7678537,1782180834.88901,7121.156215667725,1,200,,198,512,405,603
19,long_output,vllm_long_output,1782180827.768546,1782180834.8975642,7129.018068313599,1,200,,198,512,394,592
18,long_output,vllm_long_output,1782180827.7682657,1782180834.897793,7129.52733039856,1,200,,198,512,403,601
