request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,queue_pressure,vllm_queue_pressure,1782173019.4615993,1782173021.3099697,1848.3703136444092,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782173019.4644122,1782173021.3273032,1862.8909587860107,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1782173019.4594321,1782173021.327481,1868.048906326294,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782173019.4607308,1782173021.3275754,1866.844654083252,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782173019.465306,1782173021.3276684,1862.3623847961426,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782173019.4669209,1782173021.3280716,1861.1507415771484,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782173019.4624798,1782173021.3281476,1865.6678199768066,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782173019.4734879,1782173021.3427129,1869.225025177002,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782173019.47521,1782173021.3428974,1867.687463760376,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782173019.470561,1782173021.343042,1872.480869293213,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782173019.47163,1782173021.3433778,1871.7477321624756,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782173019.4691126,1782173021.3435063,1874.3937015533447,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782173019.4724529,1782173021.3436155,1871.1626529693604,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782173019.4744122,1782173021.3436928,1869.2805767059326,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782173019.4760222,1782173021.352396,1876.3737678527832,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782173019.4768755,1782173021.3524873,1875.6117820739746,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782173021.3530495,1782173023.113768,1760.718584060669,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782173021.3532405,1782173023.1138914,1760.650873184204,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782173021.3534274,1782173023.1139603,1760.5328559875488,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782173021.3543065,1782173023.1289387,1774.632215499878,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782173021.354666,1782173023.129037,1774.3709087371826,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782173021.3551776,1782173023.1292129,1774.0352153778076,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782173021.3556,1782173023.1294374,1773.8373279571533,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782173021.3539016,1782173023.129514,1775.6123542785645,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782173021.3540819,1782173023.1295767,1775.4948139190674,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782173021.3566892,1782173023.1428366,1786.1473560333252,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782173021.3569086,1782173023.1434562,1786.5476608276367,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782173021.356322,1782173023.143528,1787.2059345245361,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782173021.3558316,1782173023.1438072,1787.975549697876,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782173021.3560827,1782173023.143923,1787.8403663635254,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782173021.3573613,1782173023.143993,1786.6315841674805,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782173021.3577757,1782173023.1552486,1797.4729537963867,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782173023.155757,1782173024.8909934,1735.236406326294,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782173023.156297,1782173024.8910992,1734.80224609375,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782173023.1568694,1782173024.9068024,1749.9330043792725,1,200,,156,96,33,189
