request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,queue_pressure,vllm_queue_pressure,1782173362.7095942,1782173364.538489,1828.894853591919,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782173362.7107835,1782173364.554728,1843.9445495605469,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782173362.7187274,1782173364.554821,1836.0936641693115,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782173362.7124858,1782173364.5550108,1842.5250053405762,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1782173362.707247,1782173364.555073,1847.8260040283203,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782173362.7084668,1782173364.5551434,1846.6765880584717,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782173362.7176476,1782173364.555298,1837.6505374908447,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782173362.7231982,1782173364.5694294,1846.23122215271,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782173362.7158637,1782173364.569748,1853.884220123291,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782173362.7239938,1782173364.5698729,1845.879077911377,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782173362.7218165,1782173364.5699553,1848.1388092041016,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782173362.7201085,1782173364.5700321,1849.9236106872559,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782173362.7144964,1782173364.5702302,1855.733871459961,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782173362.7134974,1782173364.5703723,1856.874942779541,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782173362.7256486,1782173364.5822701,1856.621503829956,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782173362.7248514,1782173364.5823524,1857.5010299682617,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782173364.5838282,1782173366.3272269,1743.398666381836,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782173364.5835195,1782173366.344224,1760.704517364502,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782173364.5842278,1782173366.3453648,1761.1370086669922,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782173364.585305,1782173366.3455656,1760.2605819702148,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782173364.5848913,1782173366.3457162,1760.8249187469482,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782173364.5831394,1782173366.345837,1762.697696685791,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782173364.5833404,1782173366.3462796,1762.939214706421,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782173364.5872703,1782173366.3606052,1773.3349800109863,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782173364.5859861,1782173366.3607392,1774.7530937194824,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782173364.5864136,1782173366.3608181,1774.404525756836,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782173364.5861638,1782173366.360924,1774.7602462768555,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782173364.5856907,1782173366.3610163,1775.3255367279053,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782173364.5868506,1782173366.3613372,1774.4865417480469,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782173364.587788,1782173366.3696787,1781.890630722046,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782173364.587561,1782173366.3699708,1782.409906387329,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782173364.58809,1782173366.3700798,1781.9898128509521,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782173366.371302,1782173368.128802,1757.500171661377,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782173366.3706677,1782173368.1458046,1775.136947631836,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782173366.3708441,1782173368.1460721,1775.2280235290527,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782173366.3710911,1782173368.1461544,1775.0632762908936,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782173366.372574,1782173368.1469982,1774.4240760803223,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782173366.3714898,1782173368.1471324,1775.6426334381104,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782173366.370476,1782173368.147289,1776.81303024292,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1782173366.3729055,1782173368.1612732,1788.367748260498,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1782173366.3733268,1782173368.1615329,1788.2061004638672,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1782173366.3743312,1782173368.161675,1787.3437404632568,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782173366.371765,1782173368.1618023,1790.0373935699463,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1782173366.374094,1782173368.1618903,1787.7962589263916,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1782173366.3736854,1782173368.161953,1788.2676124572754,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1782173366.3750658,1782173368.1738527,1798.7868785858154,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1782173366.3746367,1782173368.17394,1799.3032932281494,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1782173366.374885,1782173368.1740065,1799.121379852295,1,200,,156,96,33,189
49,queue_pressure,vllm_queue_pressure,1782173368.174852,1782173369.9312232,1756.371259689331,1,200,,156,96,33,189
51,queue_pressure,vllm_queue_pressure,1782173368.175242,1782173369.9480295,1772.7875709533691,1,200,,156,96,33,189
52,queue_pressure,vllm_queue_pressure,1782173368.1754594,1782173369.948417,1772.9575634002686,1,200,,156,96,33,189
53,queue_pressure,vllm_queue_pressure,1782173368.1758728,1782173369.9490306,1773.1578350067139,1,200,,156,96,33,189
50,queue_pressure,vllm_queue_pressure,1782173368.1750457,1782173369.9492242,1774.1785049438477,1,200,,156,96,33,189
48,queue_pressure,vllm_queue_pressure,1782173368.174637,1782173369.9493494,1774.712324142456,1,200,,156,96,33,189
55,queue_pressure,vllm_queue_pressure,1782173368.1771362,1782173369.9494648,1772.3286151885986,1,200,,156,96,33,189
56,queue_pressure,vllm_queue_pressure,1782173368.1842349,1782173369.9628267,1778.5918712615967,1,200,,156,96,33,189
60,queue_pressure,vllm_queue_pressure,1782173368.1857352,1782173369.9630003,1777.2650718688965,1,200,,156,96,33,189
54,queue_pressure,vllm_queue_pressure,1782173368.1767254,1782173369.9633472,1786.6218090057373,1,200,,156,96,33,189
57,queue_pressure,vllm_queue_pressure,1782173368.1845338,1782173369.9634707,1778.9368629455566,1,200,,156,96,33,189
58,queue_pressure,vllm_queue_pressure,1782173368.184769,1782173369.96355,1778.7811756134033,1,200,,156,96,33,189
59,queue_pressure,vllm_queue_pressure,1782173368.184997,1782173369.963719,1778.721809387207,1,200,,156,96,33,189
63,queue_pressure,vllm_queue_pressure,1782173368.189174,1782173369.9748921,1785.7182025909424,1,200,,156,96,33,189
61,queue_pressure,vllm_queue_pressure,1782173368.1860847,1782173369.9750423,1788.9575958251953,1,200,,156,96,33,189
62,queue_pressure,vllm_queue_pressure,1782173368.1888323,1782173369.9751213,1786.2889766693115,1,200,,156,96,33,189
68,queue_pressure,vllm_queue_pressure,1782173369.9773118,1782173371.7450147,1767.7028179168701,1,200,,156,96,33,189
66,queue_pressure,vllm_queue_pressure,1782173369.976351,1782173371.7451894,1768.8384056091309,1,200,,156,96,33,189
70,queue_pressure,vllm_queue_pressure,1782173369.9897718,1782173371.7598643,1770.092487335205,1,200,,156,96,95,251
67,queue_pressure,vllm_queue_pressure,1782173369.9768107,1782173371.7608032,1783.9925289154053,1,200,,156,96,33,189
69,queue_pressure,vllm_queue_pressure,1782173369.9889038,1782173371.7612567,1772.352933883667,1,200,,156,96,33,189
72,queue_pressure,vllm_queue_pressure,1782173369.9906056,1782173371.7614405,1770.8349227905273,1,200,,156,96,33,189
65,queue_pressure,vllm_queue_pressure,1782173369.9759562,1782173371.7619367,1785.980463027954,1,200,,156,96,33,189
64,queue_pressure,vllm_queue_pressure,1782173369.975608,1782173371.7621455,1786.5374088287354,1,200,,156,96,33,189
74,queue_pressure,vllm_queue_pressure,1782173369.991324,1782173371.7743475,1783.0235958099365,1,200,,156,96,33,189
75,queue_pressure,vllm_queue_pressure,1782173369.9916048,1782173371.7752788,1783.6740016937256,1,200,,156,96,98,254
76,queue_pressure,vllm_queue_pressure,1782173369.9934895,1782173371.7757683,1782.2787761688232,1,200,,156,96,33,189
71,queue_pressure,vllm_queue_pressure,1782173369.99034,1782173371.775972,1785.6318950653076,1,200,,156,96,33,189
73,queue_pressure,vllm_queue_pressure,1782173369.9909775,1782173371.7764342,1785.456657409668,1,200,,156,96,33,189
77,queue_pressure,vllm_queue_pressure,1782173369.9939852,1782173371.7765691,1782.5839519500732,1,200,,156,96,33,189
79,queue_pressure,vllm_queue_pressure,1782173369.994571,1782173371.7871106,1792.5395965576172,1,200,,156,96,33,189
78,queue_pressure,vllm_queue_pressure,1782173369.994285,1782173371.787209,1792.923927307129,1,200,,156,96,33,189
82,queue_pressure,vllm_queue_pressure,1782173371.7885823,1782173373.5346053,1746.0229396820068,1,200,,156,96,33,189
85,queue_pressure,vllm_queue_pressure,1782173371.7901664,1782173373.5526564,1762.4900341033936,1,200,,156,96,33,189
84,queue_pressure,vllm_queue_pressure,1782173371.7897074,1782173373.5528498,1763.1423473358154,1,200,,156,96,33,189
83,queue_pressure,vllm_queue_pressure,1782173371.789035,1782173373.5529804,1763.9453411102295,1,200,,156,96,33,189
80,queue_pressure,vllm_queue_pressure,1782173371.7878919,1782173373.5533526,1765.460729598999,1,200,,156,96,33,189
81,queue_pressure,vllm_queue_pressure,1782173371.788258,1782173373.553488,1765.2299404144287,1,200,,156,96,33,189
86,queue_pressure,vllm_queue_pressure,1782173371.7908776,1782173373.5536914,1762.8138065338135,1,200,,156,96,33,189
89,queue_pressure,vllm_queue_pressure,1782173371.7927964,1782173373.5666008,1773.8044261932373,1,200,,156,96,33,189
88,queue_pressure,vllm_queue_pressure,1782173371.7922266,1782173373.5667584,1774.5318412780762,1,200,,156,96,33,189
87,queue_pressure,vllm_queue_pressure,1782173371.7915144,1782173373.5671017,1775.5873203277588,1,200,,156,96,33,189
91,queue_pressure,vllm_queue_pressure,1782173371.7938786,1782173373.5674753,1773.5967636108398,1,200,,156,96,33,189
92,queue_pressure,vllm_queue_pressure,1782173371.7950113,1782173373.567624,1772.6128101348877,1,200,,156,96,33,189
90,queue_pressure,vllm_queue_pressure,1782173371.793286,1782173373.5677505,1774.4643688201904,1,200,,156,96,33,189
95,queue_pressure,vllm_queue_pressure,1782173371.7970896,1782173373.578879,1781.7895412445068,1,200,,156,96,90,246
94,queue_pressure,vllm_queue_pressure,1782173371.796142,1782173373.5790143,1782.872200012207,1,200,,156,96,33,189
93,queue_pressure,vllm_queue_pressure,1782173371.7955155,1782173373.5791392,1783.6236953735352,1,200,,156,96,33,189
98,queue_pressure,vllm_queue_pressure,1782173373.5803747,1782173375.3391929,1758.8181495666504,1,200,,156,96,97,253
96,queue_pressure,vllm_queue_pressure,1782173373.579741,1782173375.3393505,1759.6094608306885,1,200,,156,96,102,258
97,queue_pressure,vllm_queue_pressure,1782173373.5800817,1782173375.3543684,1774.2867469787598,1,200,,156,96,103,259
99,queue_pressure,vllm_queue_pressure,1782173373.5808039,1782173375.3544917,1773.6878395080566,1,200,,156,96,98,254
100,queue_pressure,vllm_queue_pressure,1782173373.58121,1782173375.3545754,1773.3654975891113,1,200,,156,96,91,247
102,queue_pressure,vllm_queue_pressure,1782173373.5823963,1782173375.3547733,1772.3770141601562,1,200,,156,96,98,254
101,queue_pressure,vllm_queue_pressure,1782173373.5816882,1782173375.3549216,1773.233413696289,1,200,,156,96,90,246
103,queue_pressure,vllm_queue_pressure,1782173373.58327,1782173375.3551853,1771.9151973724365,1,200,,156,96,98,254
105,queue_pressure,vllm_queue_pressure,1782173373.5840328,1782173375.3706145,1786.5817546844482,1,200,,156,96,98,254
106,queue_pressure,vllm_queue_pressure,1782173373.5844033,1782173375.3707604,1786.3571643829346,1,200,,156,96,98,254
109,queue_pressure,vllm_queue_pressure,1782173373.5864162,1782173375.3710122,1784.5959663391113,1,200,,156,96,98,254
107,queue_pressure,vllm_queue_pressure,1782173373.5850472,1782173375.3710933,1786.046028137207,1,200,,156,96,98,254
104,queue_pressure,vllm_queue_pressure,1782173373.583726,1782173375.3711762,1787.4503135681152,1,200,,156,96,98,254
108,queue_pressure,vllm_queue_pressure,1782173373.585525,1782173375.371294,1785.768985748291,1,200,,156,96,98,254
111,queue_pressure,vllm_queue_pressure,1782173373.5875103,1782173375.3809805,1793.4701442718506,1,200,,156,96,33,189
