request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,queue_pressure,vllm_queue_pressure,1782171544.4445338,1782171546.2690814,1824.547529220581,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782171544.452459,1782171546.286111,1833.6520195007324,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782171544.4429483,1782171546.2863445,1843.3961868286133,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782171544.4485996,1782171546.2864544,1837.8548622131348,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1782171544.4404738,1782171546.2865932,1846.1194038391113,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782171544.450484,1782171546.2869468,1836.4627361297607,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782171544.4468677,1782171546.2870836,1840.2159214019775,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782171544.4563746,1782171546.3021126,1845.7379341125488,1,200,,156,96,97,253
12,queue_pressure,vllm_queue_pressure,1782171544.458894,1782171546.3023853,1843.4913158416748,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782171544.4553754,1782171546.302512,1847.1364974975586,1,200,,156,96,95,251
7,queue_pressure,vllm_queue_pressure,1782171544.4534664,1782171546.3026032,1849.1368293762207,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782171544.454462,1782171546.3027759,1848.313808441162,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782171544.4578807,1782171546.3032076,1845.3269004821777,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782171544.459771,1782171546.3033156,1843.5447216033936,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782171544.461421,1782171546.3142803,1852.8592586517334,1,200,,156,96,91,247
14,queue_pressure,vllm_queue_pressure,1782171544.4605963,1782171546.314455,1853.8587093353271,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782171546.3153272,1782171548.0907962,1775.4690647125244,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782171546.316222,1782171548.1064944,1790.2724742889404,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782171546.3156586,1782171548.1068108,1791.1522388458252,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782171546.3172104,1782171548.1068897,1789.6792888641357,1,200,,156,96,95,251
16,queue_pressure,vllm_queue_pressure,1782171546.3150082,1782171548.1071177,1792.109489440918,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782171546.3181279,1782171548.107345,1789.217233657837,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782171546.3185484,1782171548.1074653,1788.916826248169,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782171546.3215082,1782171548.1199715,1798.4633445739746,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782171546.319084,1782171548.1206055,1801.5215396881104,1,200,,156,96,97,253
20,queue_pressure,vllm_queue_pressure,1782171546.3165467,1782171548.1207447,1804.1980266571045,1,200,,156,96,91,247
26,queue_pressure,vllm_queue_pressure,1782171546.3195474,1782171548.1208234,1801.2759685516357,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782171546.3176532,1782171548.1208894,1803.2362461090088,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782171546.3201241,1782171548.1212025,1801.0783195495605,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782171546.320747,1782171548.1338072,1813.0602836608887,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782171546.3221157,1782171548.133955,1811.8393421173096,1,200,,156,96,93,249
31,queue_pressure,vllm_queue_pressure,1782171546.3236377,1782171548.1340945,1810.4567527770996,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782171548.1352882,1782171549.8812037,1745.915412902832,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782171548.134655,1782171549.8959527,1761.2977027893066,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782171548.1368,1782171549.8962998,1759.4997882843018,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782171548.135862,1782171549.896419,1760.556936264038,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782171548.1363094,1782171549.896997,1760.6875896453857,1,200,,156,96,95,251
35,queue_pressure,vllm_queue_pressure,1782171548.1355708,1782171549.8971171,1761.5463733673096,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782171548.1350205,1782171549.8972225,1762.2020244598389,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1782171548.137086,1782171549.9104128,1773.3268737792969,1,200,,156,96,94,250
41,queue_pressure,vllm_queue_pressure,1782171548.1375787,1782171549.910577,1772.998332977295,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1782171548.1381671,1782171549.9107358,1772.568702697754,1,200,,156,96,95,251
42,queue_pressure,vllm_queue_pressure,1782171548.137824,1782171549.9108603,1773.036241531372,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782171548.1360753,1782171549.910957,1774.8818397521973,1,200,,156,96,95,251
44,queue_pressure,vllm_queue_pressure,1782171548.1387508,1782171549.911543,1772.792100906372,1,200,,156,96,95,251
47,queue_pressure,vllm_queue_pressure,1782171548.1394167,1782171549.9231339,1783.717155456543,1,200,,156,96,95,251
46,queue_pressure,vllm_queue_pressure,1782171548.13917,1782171549.923297,1784.1269969940186,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1782171548.1389258,1782171549.923428,1784.5022678375244,1,200,,156,96,94,250
49,queue_pressure,vllm_queue_pressure,1782171549.9244425,1782171551.6716728,1747.2302913665771,1,200,,156,96,95,251
57,queue_pressure,vllm_queue_pressure,1782171549.9270337,1782171551.6881866,1761.152982711792,1,200,,156,96,90,246
51,queue_pressure,vllm_queue_pressure,1782171549.9250467,1782171551.6883564,1763.3097171783447,1,200,,156,96,95,251
50,queue_pressure,vllm_queue_pressure,1782171549.9247286,1782171551.688482,1763.7534141540527,1,200,,156,96,86,242
48,queue_pressure,vllm_queue_pressure,1782171549.9240763,1782171551.688759,1764.6827697753906,1,200,,156,96,33,189
53,queue_pressure,vllm_queue_pressure,1782171549.925542,1782171551.6888936,1763.3514404296875,1,200,,156,96,95,251
52,queue_pressure,vllm_queue_pressure,1782171549.9253125,1782171551.6891847,1763.8721466064453,1,200,,156,96,99,255
54,queue_pressure,vllm_queue_pressure,1782171549.926029,1782171551.7026772,1776.6482830047607,1,200,,156,96,91,247
61,queue_pressure,vllm_queue_pressure,1782171549.9288325,1782171551.7027721,1773.939609527588,1,200,,156,96,33,189
56,queue_pressure,vllm_queue_pressure,1782171549.9266737,1782171551.7028627,1776.1890888214111,1,200,,156,96,95,251
55,queue_pressure,vllm_queue_pressure,1782171549.92633,1782171551.702956,1776.6258716583252,1,200,,156,96,94,250
58,queue_pressure,vllm_queue_pressure,1782171549.9273474,1782171551.7030554,1775.7079601287842,1,200,,156,96,98,254
59,queue_pressure,vllm_queue_pressure,1782171549.927806,1782171551.7031357,1775.329828262329,1,200,,156,96,99,255
62,queue_pressure,vllm_queue_pressure,1782171549.9291975,1782171551.7151566,1785.959005355835,1,200,,156,96,94,250
63,queue_pressure,vllm_queue_pressure,1782171549.9295485,1782171551.7152498,1785.7012748718262,1,200,,156,96,33,189
60,queue_pressure,vllm_queue_pressure,1782171549.9283922,1782171551.7153273,1786.9350910186768,1,200,,156,96,89,245
64,queue_pressure,vllm_queue_pressure,1782171551.715972,1782171553.4855592,1769.5872783660889,1,200,,156,96,89,245
65,queue_pressure,vllm_queue_pressure,1782171551.7162242,1782171553.4958208,1779.5965671539307,1,200,,156,96,33,189
68,queue_pressure,vllm_queue_pressure,1782171551.716884,1782171553.4960217,1779.1378498077393,1,200,,156,96,93,249
66,queue_pressure,vllm_queue_pressure,1782171551.7164295,1782171553.4960968,1779.6673774719238,1,200,,156,96,33,189
67,queue_pressure,vllm_queue_pressure,1782171551.7166514,1782171553.496166,1779.5145511627197,1,200,,156,96,33,189
69,queue_pressure,vllm_queue_pressure,1782171551.7171133,1782171553.496302,1779.188632965088,1,200,,156,96,95,251
70,queue_pressure,vllm_queue_pressure,1782171551.7173197,1782171553.4967608,1779.4411182403564,1,200,,156,96,94,250
72,queue_pressure,vllm_queue_pressure,1782171551.71798,1782171553.5120716,1794.0917015075684,1,200,,156,96,33,189
71,queue_pressure,vllm_queue_pressure,1782171551.717555,1782171553.5129256,1795.3705787658691,1,200,,156,96,95,251
77,queue_pressure,vllm_queue_pressure,1782171551.7200463,1782171553.5131564,1793.1101322174072,1,200,,156,96,95,251
75,queue_pressure,vllm_queue_pressure,1782171551.7194543,1782171553.5137756,1794.3212985992432,1,200,,156,96,95,251
74,queue_pressure,vllm_queue_pressure,1782171551.7191665,1782171553.514248,1795.081377029419,1,200,,156,96,95,251
73,queue_pressure,vllm_queue_pressure,1782171551.7187893,1782171553.5151434,1796.354055404663,1,200,,156,96,95,251
79,queue_pressure,vllm_queue_pressure,1782171551.7204897,1782171553.5234387,1802.9489517211914,1,200,,156,96,95,251
76,queue_pressure,vllm_queue_pressure,1782171551.7197714,1782171553.5238419,1804.0704727172852,1,200,,156,96,90,246
78,queue_pressure,vllm_queue_pressure,1782171551.7202463,1782171553.52395,1803.703784942627,1,200,,156,96,95,251
81,queue_pressure,vllm_queue_pressure,1782171553.5247326,1782171555.269321,1744.5883750915527,1,200,,156,96,33,189
80,queue_pressure,vllm_queue_pressure,1782171553.5244968,1782171555.269464,1744.9672222137451,1,200,,156,96,95,251
88,queue_pressure,vllm_queue_pressure,1782171553.5266888,1782171555.2875733,1760.8845233917236,1,200,,156,96,94,250
85,queue_pressure,vllm_queue_pressure,1782171553.5255613,1782171555.2878695,1762.308120727539,1,200,,156,96,94,250
86,queue_pressure,vllm_queue_pressure,1782171553.5260017,1782171555.288503,1762.5012397766113,1,200,,156,96,90,246
84,queue_pressure,vllm_queue_pressure,1782171553.5253122,1782171555.2890134,1763.7012004852295,1,200,,156,96,33,189
83,queue_pressure,vllm_queue_pressure,1782171553.5250888,1782171555.2891414,1764.0526294708252,1,200,,156,96,33,189
82,queue_pressure,vllm_queue_pressure,1782171553.524892,1782171555.2894354,1764.5432949066162,1,200,,156,96,91,247
92,queue_pressure,vllm_queue_pressure,1782171553.528146,1782171555.2995572,1771.4111804962158,1,200,,156,96,94,250
91,queue_pressure,vllm_queue_pressure,1782171553.5276625,1782171555.299674,1772.0115184783936,1,200,,156,96,95,251
87,queue_pressure,vllm_queue_pressure,1782171553.5264695,1782171555.2997632,1773.2937335968018,1,200,,156,96,93,249
90,queue_pressure,vllm_queue_pressure,1782171553.527152,1782171555.2998424,1772.6902961730957,1,200,,156,96,97,253
93,queue_pressure,vllm_queue_pressure,1782171553.5285227,1782171555.2999268,1771.4040279388428,1,200,,156,96,95,251
89,queue_pressure,vllm_queue_pressure,1782171553.5268958,1782171555.3000088,1773.1130123138428,1,200,,156,96,93,249
94,queue_pressure,vllm_queue_pressure,1782171553.528916,1782171555.3115933,1782.677412033081,1,200,,156,96,95,251
95,queue_pressure,vllm_queue_pressure,1782171553.5291376,1782171555.3116705,1782.5329303741455,1,200,,156,96,107,263
97,queue_pressure,vllm_queue_pressure,1782171555.3124046,1782171557.0503933,1737.9887104034424,1,200,,156,96,90,246
96,queue_pressure,vllm_queue_pressure,1782171555.3122065,1782171557.0505283,1738.3217811584473,1,200,,156,96,99,255
101,queue_pressure,vllm_queue_pressure,1782171555.3139906,1782171557.0655692,1751.5785694122314,1,200,,156,96,85,241
102,queue_pressure,vllm_queue_pressure,1782171555.3143127,1782171557.0667186,1752.4058818817139,1,200,,156,96,94,250
98,queue_pressure,vllm_queue_pressure,1782171555.3126938,1782171557.0668552,1754.1613578796387,1,200,,156,96,99,255
104,queue_pressure,vllm_queue_pressure,1782171555.3149507,1782171557.0669496,1751.9989013671875,1,200,,156,96,91,247
100,queue_pressure,vllm_queue_pressure,1782171555.3135498,1782171557.067071,1753.521203994751,1,200,,156,96,93,249
99,queue_pressure,vllm_queue_pressure,1782171555.313142,1782171557.0674193,1754.277229309082,1,200,,156,96,95,251
107,queue_pressure,vllm_queue_pressure,1782171555.3161356,1782171557.0834625,1767.326831817627,1,200,,156,96,91,247
109,queue_pressure,vllm_queue_pressure,1782171555.3167644,1782171557.0851407,1768.376350402832,1,200,,156,96,98,254
103,queue_pressure,vllm_queue_pressure,1782171555.314709,1782171557.0855632,1770.8542346954346,1,200,,156,96,88,244
105,queue_pressure,vllm_queue_pressure,1782171555.3155353,1782171557.0856938,1770.1585292816162,1,200,,156,96,90,246
108,queue_pressure,vllm_queue_pressure,1782171555.3165078,1782171557.0857944,1769.2866325378418,1,200,,156,96,90,246
106,queue_pressure,vllm_queue_pressure,1782171555.3158367,1782171557.0879135,1772.0768451690674,1,200,,156,96,76,232
110,queue_pressure,vllm_queue_pressure,1782171555.3170877,1782171557.0929778,1775.8901119232178,1,200,,156,96,65,221
111,queue_pressure,vllm_queue_pressure,1782171555.3173282,1782171557.0930982,1775.7699489593506,1,200,,156,96,33,189
114,queue_pressure,vllm_queue_pressure,1782171557.094052,1782171558.839512,1745.460033416748,1,200,,156,96,33,189
112,queue_pressure,vllm_queue_pressure,1782171557.093669,1782171558.8396883,1746.0193634033203,1,200,,156,96,56,212
118,queue_pressure,vllm_queue_pressure,1782171557.09536,1782171558.8547204,1759.3603134155273,1,200,,156,96,33,189
119,queue_pressure,vllm_queue_pressure,1782171557.0959935,1782171558.855004,1759.0105533599854,1,200,,156,96,99,255
113,queue_pressure,vllm_queue_pressure,1782171557.0938852,1782171558.8554945,1761.6093158721924,1,200,,156,96,54,210
115,queue_pressure,vllm_queue_pressure,1782171557.094336,1782171558.8558018,1761.4657878875732,1,200,,156,96,33,189
117,queue_pressure,vllm_queue_pressure,1782171557.0948973,1782171558.8558803,1760.9829902648926,1,200,,156,96,43,199
116,queue_pressure,vllm_queue_pressure,1782171557.0945816,1782171558.8560598,1761.4781856536865,1,200,,156,96,46,202
123,queue_pressure,vllm_queue_pressure,1782171557.0971699,1782171558.870194,1773.024082183838,1,200,,156,96,33,189
124,queue_pressure,vllm_queue_pressure,1782171557.0973883,1782171558.8704727,1773.0844020843506,1,200,,156,96,33,189
120,queue_pressure,vllm_queue_pressure,1782171557.096433,1782171558.8705664,1774.1334438323975,1,200,,156,96,33,189
126,queue_pressure,vllm_queue_pressure,1782171557.0981274,1782171558.8712473,1773.1199264526367,1,200,,156,96,33,189
121,queue_pressure,vllm_queue_pressure,1782171557.0966327,1782171558.871362,1774.7292518615723,1,200,,156,96,33,189
122,queue_pressure,vllm_queue_pressure,1782171557.0968642,1782171558.8714654,1774.6012210845947,1,200,,156,96,33,189
127,queue_pressure,vllm_queue_pressure,1782171557.0983672,1782171558.8827958,1784.428596496582,1,200,,156,96,33,189
125,queue_pressure,vllm_queue_pressure,1782171557.097704,1782171558.8829298,1785.2258682250977,1,200,,156,96,33,189
128,queue_pressure,vllm_queue_pressure,1782171558.88349,1782171560.643003,1759.5129013061523,1,200,,156,96,33,189
130,queue_pressure,vllm_queue_pressure,1782171558.8839276,1782171560.6592214,1775.2938270568848,1,200,,156,96,33,189
129,queue_pressure,vllm_queue_pressure,1782171558.883729,1782171560.659364,1775.635004043579,1,200,,156,96,33,189
131,queue_pressure,vllm_queue_pressure,1782171558.8841925,1782171560.6596563,1775.4638195037842,1,200,,156,96,33,189
134,queue_pressure,vllm_queue_pressure,1782171558.8852468,1782171560.6598318,1774.5850086212158,1,200,,156,96,33,189
133,queue_pressure,vllm_queue_pressure,1782171558.8850503,1782171560.6600425,1774.9922275543213,1,200,,156,96,33,189
132,queue_pressure,vllm_queue_pressure,1782171558.8844385,1782171560.6603723,1775.9337425231934,1,200,,156,96,33,189
136,queue_pressure,vllm_queue_pressure,1782171558.885852,1782171560.673019,1787.1668338775635,1,200,,156,96,33,189
139,queue_pressure,vllm_queue_pressure,1782171558.8868291,1782171560.6731718,1786.3426208496094,1,200,,156,96,33,189
140,queue_pressure,vllm_queue_pressure,1782171558.8873599,1782171560.6740193,1786.6594791412354,1,200,,156,96,33,189
135,queue_pressure,vllm_queue_pressure,1782171558.8855236,1782171560.6741328,1788.609266281128,1,200,,156,96,33,189
137,queue_pressure,vllm_queue_pressure,1782171558.8862343,1782171560.6742089,1787.9745960235596,1,200,,156,96,33,189
138,queue_pressure,vllm_queue_pressure,1782171558.886582,1782171560.6742883,1787.7063751220703,1,200,,156,96,33,189
142,queue_pressure,vllm_queue_pressure,1782171558.8879228,1782171560.6871753,1799.2525100708008,1,200,,156,96,33,189
143,queue_pressure,vllm_queue_pressure,1782171558.8883018,1782171560.68734,1799.0381717681885,1,200,,156,96,33,189
141,queue_pressure,vllm_queue_pressure,1782171558.8876357,1782171560.6874402,1799.804449081421,1,200,,156,96,33,189
146,queue_pressure,vllm_queue_pressure,1782171560.6888404,1782171562.4527524,1763.9119625091553,1,200,,156,96,33,189
149,queue_pressure,vllm_queue_pressure,1782171560.6902323,1782171562.4569845,1766.7522430419922,1,200,,156,96,33,189
148,queue_pressure,vllm_queue_pressure,1782171560.6898453,1782171562.4577124,1767.867088317871,1,200,,156,96,33,189
150,queue_pressure,vllm_queue_pressure,1782171560.6908464,1782171562.4578338,1766.9873237609863,1,200,,156,96,33,189
144,queue_pressure,vllm_queue_pressure,1782171560.6881597,1782171562.4579635,1769.803762435913,1,200,,156,96,33,189
147,queue_pressure,vllm_queue_pressure,1782171560.6892989,1782171562.4580336,1768.7346935272217,1,200,,156,96,33,189
145,queue_pressure,vllm_queue_pressure,1782171560.688562,1782171562.4582684,1769.7064876556396,1,200,,156,96,33,189
152,queue_pressure,vllm_queue_pressure,1782171560.692321,1782171562.4699464,1777.625322341919,1,200,,156,96,33,189
153,queue_pressure,vllm_queue_pressure,1782171560.6927657,1782171562.4701898,1777.4240970611572,1,200,,156,96,33,189
