request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,queue_pressure,vllm_queue_pressure,1782171788.725514,1782171790.5288742,1803.3602237701416,1,200,,156,96,94,250
4,queue_pressure,vllm_queue_pressure,1782171788.7298152,1782171790.5466902,1816.8749809265137,1,200,,156,96,93,249
1,queue_pressure,vllm_queue_pressure,1782171788.7242706,1782171790.546827,1822.556495666504,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1782171788.7228825,1782171790.547041,1824.1584300994873,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782171788.731062,1782171790.5473127,1816.2508010864258,1,200,,156,96,97,253
6,queue_pressure,vllm_queue_pressure,1782171788.7319446,1782171790.5474136,1815.4690265655518,1,200,,156,96,94,250
3,queue_pressure,vllm_queue_pressure,1782171788.7278726,1782171790.5474885,1819.6158409118652,1,200,,156,96,93,249
12,queue_pressure,vllm_queue_pressure,1782171788.7372549,1782171790.5620294,1824.7745037078857,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782171788.7380857,1782171790.5622103,1824.1245746612549,1,200,,156,96,99,255
9,queue_pressure,vllm_queue_pressure,1782171788.7349083,1782171790.5623672,1827.4588584899902,1,200,,156,96,99,255
10,queue_pressure,vllm_queue_pressure,1782171788.7356224,1782171790.5624983,1826.875925064087,1,200,,156,96,94,250
8,queue_pressure,vllm_queue_pressure,1782171788.7338803,1782171790.562592,1828.711748123169,1,200,,156,96,99,255
11,queue_pressure,vllm_queue_pressure,1782171788.736471,1782171790.5626667,1826.1957168579102,1,200,,156,96,99,255
7,queue_pressure,vllm_queue_pressure,1782171788.7329328,1782171790.56273,1829.7972679138184,1,200,,156,96,88,244
15,queue_pressure,vllm_queue_pressure,1782171788.739764,1782171790.5721729,1832.4089050292969,1,200,,156,96,98,254
14,queue_pressure,vllm_queue_pressure,1782171788.7389555,1782171790.5723372,1833.3816528320312,1,200,,156,96,97,253
17,queue_pressure,vllm_queue_pressure,1782171790.5731182,1782171792.3201816,1747.063398361206,1,200,,156,96,99,255
20,queue_pressure,vllm_queue_pressure,1782171790.5738761,1782171792.3381824,1764.3063068389893,1,200,,156,96,91,247
22,queue_pressure,vllm_queue_pressure,1782171790.5752206,1782171792.3383315,1763.110876083374,1,200,,156,96,97,253
19,queue_pressure,vllm_queue_pressure,1782171790.5734942,1782171792.3384697,1764.9755477905273,1,200,,156,96,99,255
18,queue_pressure,vllm_queue_pressure,1782171790.5732782,1782171792.3386254,1765.3472423553467,1,200,,156,96,91,247
16,queue_pressure,vllm_queue_pressure,1782171790.572934,1782171792.3387737,1765.8398151397705,1,200,,156,96,97,253
21,queue_pressure,vllm_queue_pressure,1782171790.5744567,1782171792.3389318,1764.4751071929932,1,200,,156,96,89,245
25,queue_pressure,vllm_queue_pressure,1782171790.5771513,1782171792.3521066,1774.9552726745605,1,200,,156,96,91,247
27,queue_pressure,vllm_queue_pressure,1782171790.5792744,1782171792.3531728,1773.8983631134033,1,200,,156,96,94,250
26,queue_pressure,vllm_queue_pressure,1782171790.5786974,1782171792.3533711,1774.6737003326416,1,200,,156,96,97,253
24,queue_pressure,vllm_queue_pressure,1782171790.5764816,1782171792.3535376,1777.0559787750244,1,200,,156,96,93,249
23,queue_pressure,vllm_queue_pressure,1782171790.5759926,1782171792.3537233,1777.7307033538818,1,200,,156,96,99,255
28,queue_pressure,vllm_queue_pressure,1782171790.5800693,1782171792.3540838,1774.0144729614258,1,200,,156,96,98,254
29,queue_pressure,vllm_queue_pressure,1782171790.5808322,1782171792.3644428,1783.6105823516846,1,200,,156,96,98,254
31,queue_pressure,vllm_queue_pressure,1782171790.581916,1782171792.3646066,1782.6905250549316,1,200,,156,96,94,250
30,queue_pressure,vllm_queue_pressure,1782171790.581393,1782171792.3647346,1783.341646194458,1,200,,156,96,93,249
34,queue_pressure,vllm_queue_pressure,1782171792.3660474,1782171794.112905,1746.8576431274414,1,200,,156,96,99,255
38,queue_pressure,vllm_queue_pressure,1782171792.3678904,1782171794.1284318,1760.5414390563965,1,200,,156,96,95,251
35,queue_pressure,vllm_queue_pressure,1782171792.366457,1782171794.128552,1762.0949745178223,1,200,,156,96,94,250
37,queue_pressure,vllm_queue_pressure,1782171792.367524,1782171794.1287766,1761.2526416778564,1,200,,156,96,90,246
33,queue_pressure,vllm_queue_pressure,1782171792.3657413,1782171794.128949,1763.2076740264893,1,200,,156,96,93,249
32,queue_pressure,vllm_queue_pressure,1782171792.3653903,1782171794.1290612,1763.6709213256836,1,200,,156,96,94,250
36,queue_pressure,vllm_queue_pressure,1782171792.367066,1782171794.12914,1762.0739936828613,1,200,,156,96,89,245
39,queue_pressure,vllm_queue_pressure,1782171792.3690841,1782171794.142455,1773.3709812164307,1,200,,156,96,94,250
42,queue_pressure,vllm_queue_pressure,1782171792.370832,1782171794.1430209,1772.1889019012451,1,200,,156,96,91,247
43,queue_pressure,vllm_queue_pressure,1782171792.371664,1782171794.1431117,1771.4476585388184,1,200,,156,96,89,245
44,queue_pressure,vllm_queue_pressure,1782171792.372165,1782171794.143282,1771.1169719696045,1,200,,156,96,89,245
40,queue_pressure,vllm_queue_pressure,1782171792.369556,1782171794.1433992,1773.8432884216309,1,200,,156,96,91,247
41,queue_pressure,vllm_queue_pressure,1782171792.3701625,1782171794.1434608,1773.2982635498047,1,200,,156,96,94,250
47,queue_pressure,vllm_queue_pressure,1782171792.3734064,1782171794.155688,1782.2816371917725,1,200,,156,96,89,245
45,queue_pressure,vllm_queue_pressure,1782171792.3726997,1782171794.1557658,1783.0660343170166,1,200,,156,96,89,245
46,queue_pressure,vllm_queue_pressure,1782171792.3730664,1782171794.155825,1782.7584743499756,1,200,,156,96,93,249
50,queue_pressure,vllm_queue_pressure,1782171794.1564288,1782171795.918441,1762.012243270874,1,200,,156,96,98,254
57,queue_pressure,vllm_queue_pressure,1782171794.1616848,1782171795.9357028,1774.0180492401123,1,200,,156,96,89,245
52,queue_pressure,vllm_queue_pressure,1782171794.1598458,1782171795.9358091,1775.963306427002,1,200,,156,96,89,245
