request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781642718.6697454,1781642725.6646698,6994.924306869507,1,200,,154,96,93,247
7,queue_pressure,vllm_queue_pressure,1781642718.6830425,1781642725.7277822,7044.739723205566,1,200,,154,96,33,187
8,queue_pressure,vllm_queue_pressure,1781642718.684332,1781642725.7282681,7043.936252593994,1,200,,154,96,33,187
1,queue_pressure,vllm_queue_pressure,1781642718.671418,1781642725.7284641,7057.046175003052,1,200,,154,96,33,187
9,queue_pressure,vllm_queue_pressure,1781642718.685551,1781642725.728804,7043.253183364868,1,200,,154,96,33,187
2,queue_pressure,vllm_queue_pressure,1781642718.672911,1781642725.72893,7056.019067764282,1,200,,154,96,33,187
3,queue_pressure,vllm_queue_pressure,1781642718.6744835,1781642725.7291126,7054.62908744812,1,200,,154,96,33,187
5,queue_pressure,vllm_queue_pressure,1781642718.6789532,1781642725.7883863,7109.433174133301,1,200,,154,96,33,187
6,queue_pressure,vllm_queue_pressure,1781642718.6807466,1781642725.7890325,7108.285903930664,1,200,,154,96,33,187
13,queue_pressure,vllm_queue_pressure,1781642718.6952147,1781642725.7891889,7093.9741134643555,1,200,,154,96,33,187
4,queue_pressure,vllm_queue_pressure,1781642718.6761577,1781642725.7894845,7113.326787948608,1,200,,154,96,33,187
10,queue_pressure,vllm_queue_pressure,1781642718.688316,1781642725.789796,7101.480007171631,1,200,,154,96,33,187
12,queue_pressure,vllm_queue_pressure,1781642718.6928227,1781642725.789972,7097.14937210083,1,200,,154,96,33,187
11,queue_pressure,vllm_queue_pressure,1781642718.690002,1781642725.79011,7100.1081466674805,1,200,,154,96,33,187
14,queue_pressure,vllm_queue_pressure,1781642718.6965744,1781642725.8473952,7150.820732116699,1,200,,154,96,33,187
15,queue_pressure,vllm_queue_pressure,1781642718.69763,1781642725.8477125,7150.082588195801,1,200,,154,96,33,187
19,queue_pressure,vllm_queue_pressure,1781642725.849337,1781642732.806539,6957.201957702637,1,200,,154,96,33,187
17,queue_pressure,vllm_queue_pressure,1781642725.8485105,1781642732.806806,6958.295583724976,1,200,,154,96,33,187
18,queue_pressure,vllm_queue_pressure,1781642725.8488858,1781642732.807034,6958.148241043091,1,200,,154,96,33,187
22,queue_pressure,vllm_queue_pressure,1781642725.8523319,1781642732.8676589,7015.326976776123,1,200,,154,96,33,187
20,queue_pressure,vllm_queue_pressure,1781642725.8496983,1781642732.8678398,7018.141508102417,1,200,,154,96,33,187
16,queue_pressure,vllm_queue_pressure,1781642725.8482435,1781642732.8680358,7019.792318344116,1,200,,154,96,33,187
23,queue_pressure,vllm_queue_pressure,1781642725.8530314,1781642732.868234,7015.202522277832,1,200,,154,96,33,187
25,queue_pressure,vllm_queue_pressure,1781642725.8537214,1781642732.8689384,7015.217065811157,1,200,,154,96,33,187
21,queue_pressure,vllm_queue_pressure,1781642725.850263,1781642732.8691537,7018.890619277954,1,200,,154,96,33,187
28,queue_pressure,vllm_queue_pressure,1781642725.855967,1781642732.928279,7072.311878204346,1,200,,154,96,33,187
27,queue_pressure,vllm_queue_pressure,1781642725.855579,1781642732.929365,7073.786020278931,1,200,,154,96,33,187
26,queue_pressure,vllm_queue_pressure,1781642725.8547933,1781642732.9296722,7074.878931045532,1,200,,154,96,33,187
29,queue_pressure,vllm_queue_pressure,1781642725.8562768,1781642732.9301205,7073.843717575073,1,200,,154,96,33,187
31,queue_pressure,vllm_queue_pressure,1781642725.8572338,1781642732.9302433,7073.009490966797,1,200,,154,96,33,187
30,queue_pressure,vllm_queue_pressure,1781642725.8567572,1781642732.93035,7073.592901229858,1,200,,154,96,89,243
24,queue_pressure,vllm_queue_pressure,1781642725.8533955,1781642732.9304857,7077.090263366699,1,200,,154,96,33,187
