request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,queue_pressure,vllm_queue_pressure,1781645369.668037,1781645376.6708107,7002.773761749268,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781645369.6853447,1781645376.7347949,7049.450159072876,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781645369.6817677,1781645376.7354546,7053.686857223511,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781645369.672433,1781645376.7356446,7063.211679458618,1,200,,156,96,86,242
3,queue_pressure,vllm_queue_pressure,1781645369.6707888,1781645376.7359638,7065.1750564575195,1,200,,156,96,86,242
0,queue_pressure,vllm_queue_pressure,1781645369.6654668,1781645376.7361376,7070.67084312439,1,200,,156,96,94,250
9,queue_pressure,vllm_queue_pressure,1781645369.6835034,1781645376.7362893,7052.785873413086,1,200,,156,96,91,247
5,queue_pressure,vllm_queue_pressure,1781645369.675449,1781645376.796166,7120.7170486450195,1,200,,156,96,90,246
12,queue_pressure,vllm_queue_pressure,1781645369.689589,1781645376.7968652,7107.276201248169,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781645369.694591,1781645376.797282,7102.690935134888,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781645369.691916,1781645376.797434,7105.518102645874,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781645369.687716,1781645376.79758,7109.863996505737,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781645369.6768348,1781645376.7979655,7121.130704879761,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781645369.6697252,1781645376.7981608,7128.4356117248535,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781645369.6792326,1781645376.852489,7173.256397247314,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781645369.69599,1781645376.852666,7156.675815582275,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781645376.8537693,1781645383.8285217,6974.752426147461,1,200,,156,96,33,189
