request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
9,queue_pressure,vllm_queue_pressure,1781645471.3960564,1781645478.3590548,6962.998390197754,1,200,,156,96,91,247
3,queue_pressure,vllm_queue_pressure,1781645471.3856292,1781645478.4225008,7036.871671676636,1,200,,156,96,86,242
1,queue_pressure,vllm_queue_pressure,1781645471.3836803,1781645478.4233649,7039.684534072876,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781645471.3847117,1781645478.4235303,7038.818597793579,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781645471.3985715,1781645478.4239452,7025.373697280884,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781645471.3898876,1781645478.4250002,7035.112619400024,1,200,,156,96,85,241
0,queue_pressure,vllm_queue_pressure,1781645471.3820949,1781645478.425295,7043.200254440308,1,200,,156,96,94,250
6,queue_pressure,vllm_queue_pressure,1781645471.391303,1781645478.48381,7092.506885528564,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781645471.401479,1781645478.4847877,7083.308696746826,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781645471.402797,1781645478.4852414,7082.444429397583,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781645471.3869262,1781645478.4858966,7098.970413208008,1,200,,156,96,98,254
13,queue_pressure,vllm_queue_pressure,1781645471.4053295,1781645478.4863737,7081.0441970825195,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781645471.3948696,1781645478.4864948,7091.625213623047,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781645471.3931518,1781645478.486804,7093.652248382568,1,200,,156,96,88,244
15,queue_pressure,vllm_queue_pressure,1781645471.4089324,1781645478.5452986,7136.366128921509,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781645471.4074476,1781645478.5454462,7137.998580932617,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781645478.5470674,1781645485.5157132,6968.645811080933,1,200,,156,96,90,246
16,queue_pressure,vllm_queue_pressure,1781645478.5463598,1781645485.5801725,7033.812761306763,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1781645478.5510736,1781645485.5807607,7029.687166213989,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781645478.5483682,1781645485.5809286,7032.560348510742,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781645478.5467038,1781645485.5810933,7034.389495849609,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1781645478.5475554,1781645485.5814922,7033.9367389678955,1,200,,156,96,95,251
24,queue_pressure,vllm_queue_pressure,1781645478.5517342,1781645485.5817826,7030.048370361328,1,200,,156,96,98,254
22,queue_pressure,vllm_queue_pressure,1781645478.549761,1781645485.6414032,7091.642141342163,1,200,,156,96,95,251
28,queue_pressure,vllm_queue_pressure,1781645478.5569258,1781645485.6418347,7084.908962249756,1,200,,156,96,94,250
27,queue_pressure,vllm_queue_pressure,1781645478.5565412,1781645485.6419992,7085.458040237427,1,200,,156,96,94,250
21,queue_pressure,vllm_queue_pressure,1781645478.5489254,1781645485.6421907,7093.2652950286865,1,200,,156,96,95,251
26,queue_pressure,vllm_queue_pressure,1781645478.556002,1781645485.6423564,7086.354494094849,1,200,,156,96,93,249
25,queue_pressure,vllm_queue_pressure,1781645478.554957,1781645485.6426704,7087.7134799957275,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781645478.5589445,1781645485.6983893,7139.444828033447,1,200,,156,96,86,242
31,queue_pressure,vllm_queue_pressure,1781645478.5596318,1781645485.6991203,7139.488458633423,1,200,,156,96,91,247
29,queue_pressure,vllm_queue_pressure,1781645478.5580614,1781645485.6994162,7141.35479927063,1,200,,156,96,93,249
33,queue_pressure,vllm_queue_pressure,1781645485.7007425,1781645492.6578548,6957.1123123168945,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1781645485.7049186,1781645492.7214417,7016.523122787476,1,200,,156,96,94,250
