request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781645655.049812,1781645662.0718677,7022.055625915527,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781645655.0674167,1781645662.1355858,7068.169116973877,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781645655.0651698,1781645662.1362395,7071.069717407227,1,200,,156,96,99,255
2,queue_pressure,vllm_queue_pressure,1781645655.0536625,1781645662.1374164,7083.753824234009,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781645655.0589788,1781645662.1376047,7078.625917434692,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781645655.0520265,1781645662.1379807,7085.954189300537,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781645655.0701754,1781645662.1383476,7068.172216415405,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781645655.075841,1781645662.196749,7120.90802192688,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781645655.0549529,1781645662.197616,7142.663240432739,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781645655.0731337,1781645662.1978664,7124.732732772827,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781645655.0601115,1781645662.1989632,7138.851642608643,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781645655.0630033,1781645662.1994965,7136.49320602417,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781645655.0562704,1781645662.199651,7143.380641937256,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781645655.061317,1781645662.199779,7138.462066650391,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781645655.0801277,1781645662.2538958,7173.768043518066,1,200,,156,96,91,247
9,queue_pressure,vllm_queue_pressure,1781645655.0640228,1781645662.2545295,7190.50669670105,1,200,,156,96,93,249
17,queue_pressure,vllm_queue_pressure,1781645662.2558007,1781645669.2187881,6962.987422943115,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781645662.256191,1781645669.2826564,7026.46541595459,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781645662.258402,1781645669.2833257,7024.92356300354,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781645662.2571087,1781645669.284807,7027.698278427124,1,200,,156,96,90,246
