request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781644559.407029,1781644566.4030976,6996.068716049194,1,200,,156,96,95,251
2,queue_pressure,vllm_queue_pressure,1781644559.4105163,1781644566.4676697,7057.1534633636475,1,200,,156,96,95,251
11,queue_pressure,vllm_queue_pressure,1781644559.4268668,1781644566.467935,7041.068315505981,1,200,,156,96,88,244
10,queue_pressure,vllm_queue_pressure,1781644559.4246047,1781644566.4687212,7044.116497039795,1,200,,156,96,93,249
8,queue_pressure,vllm_queue_pressure,1781644559.4205348,1781644566.468896,7048.36106300354,1,200,,156,96,93,249
9,queue_pressure,vllm_queue_pressure,1781644559.4225814,1781644566.4690857,7046.504259109497,1,200,,156,96,97,253
4,queue_pressure,vllm_queue_pressure,1781644559.4130445,1781644566.4693906,7056.34617805481,1,200,,156,96,93,249
13,queue_pressure,vllm_queue_pressure,1781644559.4317527,1781644566.5281136,7096.360921859741,1,200,,156,96,95,251
12,queue_pressure,vllm_queue_pressure,1781644559.428495,1781644566.5283968,7099.901914596558,1,200,,156,96,95,251
3,queue_pressure,vllm_queue_pressure,1781644559.4119153,1781644566.5295682,7117.652893066406,1,200,,156,96,93,249
5,queue_pressure,vllm_queue_pressure,1781644559.4149632,1781644566.5297573,7114.794015884399,1,200,,156,96,76,232
7,queue_pressure,vllm_queue_pressure,1781644559.4181814,1781644566.5299387,7111.757278442383,1,200,,156,96,93,249
6,queue_pressure,vllm_queue_pressure,1781644559.4159374,1781644566.530354,7114.416599273682,1,200,,156,96,93,249
1,queue_pressure,vllm_queue_pressure,1781644559.409108,1781644566.5305254,7121.41752243042,1,200,,156,96,91,247
14,queue_pressure,vllm_queue_pressure,1781644559.433735,1781644566.5852742,7151.539325714111,1,200,,156,96,94,250
15,queue_pressure,vllm_queue_pressure,1781644559.4360738,1781644566.5857759,7149.702072143555,1,200,,156,96,93,249
16,queue_pressure,vllm_queue_pressure,1781644566.5865161,1781644573.5349367,6948.420524597168,1,200,,156,96,93,249
18,queue_pressure,vllm_queue_pressure,1781644566.5873451,1781644573.5984645,7011.119365692139,1,200,,156,96,94,250
20,queue_pressure,vllm_queue_pressure,1781644566.5886738,1781644573.5991101,7010.436296463013,1,200,,156,96,93,249
22,queue_pressure,vllm_queue_pressure,1781644566.5901558,1781644573.600508,7010.35213470459,1,200,,156,96,93,249
19,queue_pressure,vllm_queue_pressure,1781644566.5880337,1781644573.6007075,7012.673854827881,1,200,,156,96,97,253
21,queue_pressure,vllm_queue_pressure,1781644566.5895243,1781644573.601182,7011.65771484375,1,200,,156,96,93,249
17,queue_pressure,vllm_queue_pressure,1781644566.5868638,1781644573.6015134,7014.6496295928955,1,200,,156,96,97,253
23,queue_pressure,vllm_queue_pressure,1781644566.5911498,1781644573.6597524,7068.602561950684,1,200,,156,96,93,249
27,queue_pressure,vllm_queue_pressure,1781644566.5938597,1781644573.6602952,7066.4355754852295,1,200,,156,96,97,253
26,queue_pressure,vllm_queue_pressure,1781644566.5932972,1781644573.6604939,7067.196607589722,1,200,,156,96,97,253
25,queue_pressure,vllm_queue_pressure,1781644566.592145,1781644573.661021,7068.876028060913,1,200,,156,96,93,249
24,queue_pressure,vllm_queue_pressure,1781644566.5915732,1781644573.6611638,7069.5905685424805,1,200,,156,96,97,253
28,queue_pressure,vllm_queue_pressure,1781644566.5945146,1781644573.6616206,7067.106008529663,1,200,,156,96,89,245
29,queue_pressure,vllm_queue_pressure,1781644566.5953352,1781644573.6619241,7066.588878631592,1,200,,156,96,89,245
31,queue_pressure,vllm_queue_pressure,1781644566.5966117,1781644573.715471,7118.85929107666,1,200,,156,96,93,249
30,queue_pressure,vllm_queue_pressure,1781644566.596185,1781644573.7160408,7119.855880737305,1,200,,156,96,84,240
32,queue_pressure,vllm_queue_pressure,1781644573.7168453,1781644580.6535811,6936.7358684539795,1,200,,156,96,81,237
34,queue_pressure,vllm_queue_pressure,1781644573.7176886,1781644580.718497,7000.808477401733,1,200,,156,96,93,249
36,queue_pressure,vllm_queue_pressure,1781644573.7193267,1781644580.7189722,6999.645471572876,1,200,,156,96,93,249
39,queue_pressure,vllm_queue_pressure,1781644573.7221806,1781644580.719181,6997.000455856323,1,200,,156,96,93,249
38,queue_pressure,vllm_queue_pressure,1781644573.7215774,1781644580.71962,6998.042583465576,1,200,,156,96,97,253
35,queue_pressure,vllm_queue_pressure,1781644573.7184854,1781644580.7204127,7001.927375793457,1,200,,156,96,93,249
33,queue_pressure,vllm_queue_pressure,1781644573.7172453,1781644580.7206712,7003.42583656311,1,200,,156,96,93,249
45,queue_pressure,vllm_queue_pressure,1781644573.7294877,1781644580.78037,7050.882339477539,1,200,,156,96,85,241
43,queue_pressure,vllm_queue_pressure,1781644573.727661,1781644580.780636,7052.975177764893,1,200,,156,96,93,249
44,queue_pressure,vllm_queue_pressure,1781644573.7281501,1781644580.7807899,7052.639722824097,1,200,,156,96,86,242
40,queue_pressure,vllm_queue_pressure,1781644573.7229307,1781644580.780981,7058.0503940582275,1,200,,156,96,85,241
37,queue_pressure,vllm_queue_pressure,1781644573.7209103,1781644580.7811332,7060.222864151001,1,200,,156,96,99,255
42,queue_pressure,vllm_queue_pressure,1781644573.7271354,1781644580.7812653,7054.129838943481,1,200,,156,96,95,251
