timestamp_start,timestamp_end,window_id,scenario,workload_phase_label,duration_s,request_count,request_success_count,request_error_count,request_success_rate,request_latency_mean_ms,request_latency_p50_ms,request_latency_p95_ms,request_throughput_rps,prompt_tokens_mean,output_tokens_mean,output_tokens_per_s,configured_concurrency,requested_max_tokens,queue_pressure_proxy,latency_ratio_vs_baseline,gpu_name,gpu_util_percent_mean,gpu_memory_util_percent_mean,gpu_memory_used_mib_mean,gpu_memory_free_mib_mean,gpu_memory_total_mib_mean,gpu_memory_used_percent_mean,gpu_temperature_c_mean,gpu_power_watts_mean,gpu_power_limit_watts_mean,sm_clock_mhz_mean,memory_clock_mhz_mean,pcie_tx_kbps_mean,pcie_rx_kbps_mean,controller_cpu_util_percent,controller_memory_rss_mib,suspicion_reasons,controller_state,trigger_trace,diagnosis_label,time_to_first_token_p50_ms,time_to_first_token_p95_ms
1781641894.9048245,1781641904.9048245,0,healthy,vllm_healthy,10.0,2,2,0,100.0,3677.4288415908813,3677.4288415908813,3679.441463947296,0.2,154.0,37.5,7.5,1,64,,1.0,NVIDIA L4,95.90625,97.65625,22279.0,755.0,23034.0,96.7222366935834,49.859375,69.5086875,72.0,1661.484375,6250.0,4185.15625,5736.71875,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641904.9048245,1781641914.9048245,1,healthy,vllm_healthy,10.0,3,3,0,100.0,3675.73889096578,3675.668716430664,3677.321171760559,0.3,154.0,44.0,13.2,1,64,,0.9995404532085057,NVIDIA L4,98.5079365079365,100.0,22279.0,755.0,23034.0,96.7222366935834,52.17460317460318,72.12444444444445,72.0,1635.952380952381,6250.0,2709.5238095238096,6865.873015873016,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641914.9048245,1781641924.9048245,2,healthy,vllm_healthy,10.0,3,3,0,100.0,3701.8636067708335,3714.0583992004395,3716.8142080307007,0.3,154.0,54.0,16.2,1,64,,1.0066445242674993,NVIDIA L4,98.52380952380952,100.0,22279.0,755.0,23034.0,96.7222366935834,53.682539682539684,72.33844444444445,72.0,1591.904761904762,6250.0,3118.253968253968,7247.619047619048,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641924.9048245,1781641934.9048245,3,healthy,vllm_healthy,10.0,2,2,0,100.0,3722.442865371704,3722.442865371704,3724.3605375289917,0.2,154.0,55.0,11.0,1,64,,1.0122406240120065,NVIDIA L4,98.71428571428571,99.98412698412699,22279.0,755.0,23034.0,96.7222366935834,54.76190476190476,71.80312698412698,72.0,1603.5714285714287,6250.0,3281.746031746032,7219.841269841269,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641934.9048245,1781641944.9048245,4,healthy,vllm_healthy,10.0,3,3,0,100.0,3723.052978515625,3721.5726375579834,3728.3408164978027,0.3,154.0,32.0,9.6,1,64,,1.0124065315441988,NVIDIA L4,98.49152542372882,99.98305084745763,22279.0,755.0,23034.0,96.7222366935834,55.644067796610166,72.08557627118644,72.0,1584.915254237288,6250.0,3238.9830508474574,6282.203389830508,1407.5,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641944.9048245,1781641954.9048245,5,healthy,vllm_healthy,10.0,3,3,0,100.0,3722.132126490275,3721.7392921447754,3723.0128049850464,0.3,154.0,32.666666666666664,9.8,1,64,,1.0121561250604796,NVIDIA L4,98.56451612903226,99.96774193548387,22279.0,755.0,23034.0,96.7222366935834,56.16129032258065,72.2083064516129,72.0,1614.6774193548388,6250.0,2509.6774193548385,5674.193548387097,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641954.9048245,1781641957.9032745,6,healthy,vllm_healthy,2.9984500408172607,0,0,0,,,,,0.0,,,0.0,1,64,,,NVIDIA L4,99.0,100.0,22279.0,755.0,23034.0,96.7222366935834,56.89473684210526,72.4471052631579,72.0,1601.0526315789473,6250.0,2855.2631578947367,4989.473684210527,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_healthy,,
1781641957.9135375,1781641967.9135375,0,queue_pressure,vllm_queue_pressure,10.0,16,16,0,100.0,7137.076213955879,7157.618284225464,7213.450789451599,1.6,154.0,36.75,58.8,16,96,,,NVIDIA L4,96.296875,86.859375,22497.53125,536.46875,23034.0,97.67097008769645,57.421875,71.585890625,72.0,1521.796875,6250.0,4223.4375,11426.5625,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_queue_pressure,,
1781641967.9135375,1781641977.9135375,1,queue_pressure,vllm_queue_pressure,10.0,16,16,0,100.0,7024.157017469406,7045.580863952637,7100.369870662689,1.6,154.0,36.5,58.4,16,96,,,NVIDIA L4,98.296875,94.484375,22501.0,533.0,23034.0,97.68602934792047,57.578125,72.326984375,72.0,1583.90625,6250.0,4728.90625,12620.3125,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_queue_pressure,,
1781641977.9135375,1781641987.9135375,2,queue_pressure,vllm_queue_pressure,10.0,32,32,0,100.0,7025.816857814789,7046.718716621399,7101.2202501297,3.2,154.0,59.78125,191.3,16,96,,,NVIDIA L4,98.29230769230769,89.21538461538462,22501.0,533.0,23034.0,97.68602934792047,58.276923076923076,72.49869230769231,72.0,1493.3076923076924,6250.0,4558.461538461538,10906.153846153846,0.0,39.76953125,high_gpu_util,suspicious,1,vllm_queue_pressure,,
