request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,compute_saturation,vllm_compute_saturation,1781642143.7942665,1781642153.363606,9569.339513778687,1,200,,112,128,65,177
8,compute_saturation,vllm_compute_saturation,1781642143.8010352,1781642153.4344366,9633.40139389038,1,200,,112,128,65,177
2,compute_saturation,vllm_compute_saturation,1781642143.7961388,1781642153.4349847,9638.845920562744,1,200,,112,128,54,166
7,compute_saturation,vllm_compute_saturation,1781642143.8000908,1781642153.435182,9635.091304779053,1,200,,112,128,65,177
6,compute_saturation,vllm_compute_saturation,1781642143.799074,1781642153.4353044,9636.23046875,1,200,,112,128,54,166
5,compute_saturation,vllm_compute_saturation,1781642143.7984881,1781642153.435653,9637.164831161499,1,200,,112,128,67,179
4,compute_saturation,vllm_compute_saturation,1781642143.7979405,1781642153.436209,9638.26847076416,1,200,,112,128,54,166
3,compute_saturation,vllm_compute_saturation,1781642143.7968812,1781642153.436359,9639.477729797363,1,200,,112,128,65,177
10,compute_saturation,vllm_compute_saturation,1781642143.8030019,1781642153.4365058,9633.503913879395,1,200,,112,128,67,179
1,compute_saturation,vllm_compute_saturation,1781642143.7951255,1781642153.4366324,9641.506910324097,1,200,,112,128,54,166
9,compute_saturation,vllm_compute_saturation,1781642143.8022656,1781642153.494498,9692.232370376587,1,200,,112,128,65,177
19,compute_saturation,vllm_compute_saturation,1781642143.809868,1781642153.4964054,9686.537265777588,1,200,,112,128,64,176
11,compute_saturation,vllm_compute_saturation,1781642143.804086,1781642153.4965389,9692.452907562256,1,200,,112,128,54,166
12,compute_saturation,vllm_compute_saturation,1781642143.8047183,1781642153.4973168,9692.598581314087,1,200,,112,128,54,166
14,compute_saturation,vllm_compute_saturation,1781642143.806489,1781642153.4975102,9691.021203994751,1,200,,112,128,54,166
18,compute_saturation,vllm_compute_saturation,1781642143.8091435,1781642153.497685,9688.541412353516,1,200,,112,128,54,166
13,compute_saturation,vllm_compute_saturation,1781642143.805311,1781642153.497933,9692.621946334839,1,200,,112,128,54,166
16,compute_saturation,vllm_compute_saturation,1781642143.8079584,1781642153.4981177,9690.159320831299,1,200,,112,128,54,166
15,compute_saturation,vllm_compute_saturation,1781642143.8071885,1781642153.4982495,9691.061019897461,1,200,,112,128,65,177
17,compute_saturation,vllm_compute_saturation,1781642143.808558,1781642153.4983866,9689.828634262085,1,200,,112,128,54,166
21,compute_saturation,vllm_compute_saturation,1781642143.8124118,1781642153.5519454,9739.53366279602,1,200,,112,128,54,166
20,compute_saturation,vllm_compute_saturation,1781642143.8113818,1781642153.5521092,9740.727424621582,1,200,,112,128,64,176
22,compute_saturation,vllm_compute_saturation,1781642143.8130581,1781642153.5523207,9739.262580871582,1,200,,112,128,54,166
23,compute_saturation,vllm_compute_saturation,1781642143.8137252,1781642153.5524864,9738.761186599731,1,200,,112,128,65,177
24,compute_saturation,vllm_compute_saturation,1781642153.5535207,1781642163.1298113,9576.290607452393,1,200,,112,128,65,177
28,compute_saturation,vllm_compute_saturation,1781642153.554826,1781642163.2025528,9647.726774215698,1,200,,112,128,54,166
29,compute_saturation,vllm_compute_saturation,1781642153.5551746,1781642163.2028034,9647.628784179688,1,200,,112,128,54,166
33,compute_saturation,vllm_compute_saturation,1781642153.5569813,1781642163.20308,9646.098613739014,1,200,,112,128,54,166
25,compute_saturation,vllm_compute_saturation,1781642153.5538867,1781642163.2032125,9649.325847625732,1,200,,112,128,54,166
26,compute_saturation,vllm_compute_saturation,1781642153.5541399,1781642163.2033322,9649.192333221436,1,200,,112,128,54,166
31,compute_saturation,vllm_compute_saturation,1781642153.556164,1781642163.2034357,9647.271633148193,1,200,,112,128,54,166
30,compute_saturation,vllm_compute_saturation,1781642153.555793,1781642163.2035587,9647.765636444092,1,200,,112,128,64,176
27,compute_saturation,vllm_compute_saturation,1781642153.5544746,1781642163.2037463,9649.271726608276,1,200,,112,128,54,166
32,compute_saturation,vllm_compute_saturation,1781642153.556475,1781642163.2038918,9647.416830062866,1,200,,112,128,54,166
44,compute_saturation,vllm_compute_saturation,1781642153.5620685,1781642163.264508,9702.439546585083,1,200,,112,128,64,176
39,compute_saturation,vllm_compute_saturation,1781642153.5597527,1781642163.264721,9704.968214035034,1,200,,112,128,65,177
38,compute_saturation,vllm_compute_saturation,1781642153.5591176,1781642163.2651043,9705.986738204956,1,200,,112,128,64,176
35,compute_saturation,vllm_compute_saturation,1781642153.5577903,1781642163.2652164,9707.426071166992,1,200,,112,128,54,166
34,compute_saturation,vllm_compute_saturation,1781642153.5573928,1781642163.265523,9708.13012123108,1,200,,112,128,54,166
37,compute_saturation,vllm_compute_saturation,1781642153.5586238,1781642163.2658603,9707.236528396606,1,200,,112,128,54,166
36,compute_saturation,vllm_compute_saturation,1781642153.5583131,1781642163.2661626,9707.849502563477,1,200,,112,128,54,166
41,compute_saturation,vllm_compute_saturation,1781642153.5608401,1781642163.2663019,9705.461740493774,1,200,,112,128,54,166
40,compute_saturation,vllm_compute_saturation,1781642153.5603976,1781642163.2664158,9706.018209457397,1,200,,112,128,64,176
43,compute_saturation,vllm_compute_saturation,1781642153.561579,1781642163.2665493,9704.970359802246,1,200,,112,128,64,176
47,compute_saturation,vllm_compute_saturation,1781642153.5638916,1781642163.318631,9754.73928451538,1,200,,112,128,64,176
42,compute_saturation,vllm_compute_saturation,1781642153.5611908,1781642163.3188493,9757.6584815979,1,200,,112,128,54,166
45,compute_saturation,vllm_compute_saturation,1781642153.5624573,1781642163.319387,9756.929636001587,1,200,,112,128,64,176
46,compute_saturation,vllm_compute_saturation,1781642153.5631301,1781642163.319499,9756.36887550354,1,200,,112,128,64,176
49,compute_saturation,vllm_compute_saturation,1781642163.320688,1781642172.8877926,9567.104578018188,1,200,,112,128,64,176
55,compute_saturation,vllm_compute_saturation,1781642163.3234193,1781642172.9589,9635.480642318726,1,200,,112,128,64,176
56,compute_saturation,vllm_compute_saturation,1781642163.324183,1781642172.9592412,9635.058164596558,1,200,,112,128,65,177
53,compute_saturation,vllm_compute_saturation,1781642163.3222675,1781642172.9597578,9637.490272521973,1,200,,112,128,65,177
51,compute_saturation,vllm_compute_saturation,1781642163.321566,1781642172.9601498,9638.583660125732,1,200,,112,128,65,177
50,compute_saturation,vllm_compute_saturation,1781642163.3211308,1781642172.9602742,9639.143466949463,1,200,,112,128,64,176
54,compute_saturation,vllm_compute_saturation,1781642163.3226514,1781642172.9604068,9637.755393981934,1,200,,112,128,65,177
48,compute_saturation,vllm_compute_saturation,1781642163.3203466,1781642172.9605322,9640.185594558716,1,200,,112,128,88,200
52,compute_saturation,vllm_compute_saturation,1781642163.3218691,1781642172.9606318,9638.762712478638,1,200,,112,128,121,233
57,compute_saturation,vllm_compute_saturation,1781642163.3245993,1781642172.960744,9636.144638061523,1,200,,112,128,64,176
60,compute_saturation,vllm_compute_saturation,1781642163.3258874,1781642173.019959,9694.071531295776,1,200,,112,128,64,176
59,compute_saturation,vllm_compute_saturation,1781642163.3254747,1781642173.0209365,9695.461750030518,1,200,,112,128,64,176
62,compute_saturation,vllm_compute_saturation,1781642163.32657,1781642173.021058,9694.488048553467,1,200,,112,128,88,200
63,compute_saturation,vllm_compute_saturation,1781642163.3271534,1781642173.0214484,9694.294929504395,1,200,,112,128,123,235
66,compute_saturation,vllm_compute_saturation,1781642163.328783,1781642173.0215714,9692.788362503052,1,200,,112,128,85,197
65,compute_saturation,vllm_compute_saturation,1781642163.3279529,1781642173.0216844,9693.731546401978,1,200,,112,128,86,198
68,compute_saturation,vllm_compute_saturation,1781642163.3296473,1781642173.0218265,9692.179203033447,1,200,,112,128,119,231
64,compute_saturation,vllm_compute_saturation,1781642163.3275545,1781642173.0219495,9694.395065307617,1,200,,112,128,116,228
58,compute_saturation,vllm_compute_saturation,1781642163.3249993,1781642173.0220628,9697.063446044922,1,200,,112,128,64,176
61,compute_saturation,vllm_compute_saturation,1781642163.3262515,1781642173.0221765,9695.924997329712,1,200,,112,128,64,176
71,compute_saturation,vllm_compute_saturation,1781642163.3308005,1781642173.0759816,9745.1810836792,1,200,,112,128,115,227
70,compute_saturation,vllm_compute_saturation,1781642163.3304532,1781642173.076159,9745.705842971802,1,200,,112,128,119,231
67,compute_saturation,vllm_compute_saturation,1781642163.3292398,1781642173.0762727,9747.032880783081,1,200,,112,128,64,176
69,compute_saturation,vllm_compute_saturation,1781642163.3300738,1781642173.0763974,9746.323585510254,1,200,,112,128,116,228
72,compute_saturation,vllm_compute_saturation,1781642173.0770304,1781642182.647591,9570.560693740845,1,200,,112,128,112,224
78,compute_saturation,vllm_compute_saturation,1781642173.0793881,1781642182.7179778,9638.58962059021,1,200,,112,128,106,218
76,compute_saturation,vllm_compute_saturation,1781642173.0783398,1781642182.7186549,9640.315055847168,1,200,,112,128,65,177
80,compute_saturation,vllm_compute_saturation,1781642173.0805402,1781642182.7195005,9638.960361480713,1,200,,112,128,102,214
74,compute_saturation,vllm_compute_saturation,1781642173.0776896,1781642182.7196312,9641.941547393799,1,200,,112,128,110,222
82,compute_saturation,vllm_compute_saturation,1781642173.0811446,1781642182.7198427,9638.698101043701,1,200,,112,128,99,211
77,compute_saturation,vllm_compute_saturation,1781642173.0786498,1781642182.719989,9641.339302062988,1,200,,112,128,104,216
73,compute_saturation,vllm_compute_saturation,1781642173.077402,1781642182.7201467,9642.744541168213,1,200,,112,128,111,223
79,compute_saturation,vllm_compute_saturation,1781642173.079898,1781642182.7202759,9640.377759933472,1,200,,112,128,102,214
75,compute_saturation,vllm_compute_saturation,1781642173.0779736,1781642182.72041,9642.436504364014,1,200,,112,128,107,219
84,compute_saturation,vllm_compute_saturation,1781642173.0820012,1781642182.7794108,9697.409629821777,1,200,,112,128,97,209
85,compute_saturation,vllm_compute_saturation,1781642173.0825202,1781642182.780945,9698.424816131592,1,200,,112,128,84,196
90,compute_saturation,vllm_compute_saturation,1781642173.084676,1781642182.7812998,9696.623802185059,1,200,,112,128,82,194
89,compute_saturation,vllm_compute_saturation,1781642173.0842803,1781642182.7814336,9697.153329849243,1,200,,112,128,82,194
81,compute_saturation,vllm_compute_saturation,1781642173.0808694,1781642182.7816174,9700.747966766357,1,200,,112,128,98,210
86,compute_saturation,vllm_compute_saturation,1781642173.0828729,1781642182.7819579,9699.084997177124,1,200,,112,128,82,194
88,compute_saturation,vllm_compute_saturation,1781642173.083892,1781642182.7821043,9698.212146759033,1,200,,112,128,81,193
87,compute_saturation,vllm_compute_saturation,1781642173.08338,1781642182.7822297,9698.84967803955,1,200,,112,128,82,194
91,compute_saturation,vllm_compute_saturation,1781642173.0849771,1781642182.7823844,9697.407245635986,1,200,,112,128,82,194
83,compute_saturation,vllm_compute_saturation,1781642173.0815625,1781642182.782505,9700.942516326904,1,200,,112,128,99,211
93,compute_saturation,vllm_compute_saturation,1781642173.0857368,1781642182.8363214,9750.584602355957,1,200,,112,128,76,188
94,compute_saturation,vllm_compute_saturation,1781642173.086082,1781642182.8366914,9750.609397888184,1,200,,112,128,76,188
95,compute_saturation,vllm_compute_saturation,1781642173.086558,1781642182.8368845,9750.32639503479,1,200,,112,128,72,184
92,compute_saturation,vllm_compute_saturation,1781642173.085407,1781642182.8370724,9751.665353775024,1,200,,112,128,76,188
96,compute_saturation,vllm_compute_saturation,1781642182.8377426,1781642192.4163246,9578.582048416138,1,200,,112,128,72,184
100,compute_saturation,vllm_compute_saturation,1781642182.8391259,1781642192.4873447,9648.218870162964,1,200,,112,128,65,177
103,compute_saturation,vllm_compute_saturation,1781642182.8403065,1781642192.4877183,9647.411823272705,1,200,,112,128,65,177
98,compute_saturation,vllm_compute_saturation,1781642182.838451,1781642192.4878523,9649.401426315308,1,200,,112,128,67,179
107,compute_saturation,vllm_compute_saturation,1781642182.842247,1781642192.487979,9645.731925964355,1,200,,112,128,54,166
104,compute_saturation,vllm_compute_saturation,1781642182.8408728,1781642192.4881306,9647.257804870605,1,200,,112,128,64,176
99,compute_saturation,vllm_compute_saturation,1781642182.8387885,1781642192.4882581,9649.46961402893,1,200,,112,128,64,176
101,compute_saturation,vllm_compute_saturation,1781642182.8395288,1781642192.4884014,9648.87261390686,1,200,,112,128,65,177
102,compute_saturation,vllm_compute_saturation,1781642182.8400002,1781642192.4886022,9648.60200881958,1,200,,112,128,56,168
97,compute_saturation,vllm_compute_saturation,1781642182.8381023,1781642192.4887278,9650.625467300415,1,200,,112,128,69,181
113,compute_saturation,vllm_compute_saturation,1781642182.8453507,1781642192.548683,9703.33218574524,1,200,,112,128,54,166
108,compute_saturation,vllm_compute_saturation,1781642182.842753,1781642192.5492344,9706.481456756592,1,200,,112,128,54,166
109,compute_saturation,vllm_compute_saturation,1781642182.8432424,1781642192.5496225,9706.380128860474,1,200,,112,128,65,177
111,compute_saturation,vllm_compute_saturation,1781642182.844367,1781642192.5497546,9705.387592315674,1,200,,112,128,54,166
116,compute_saturation,vllm_compute_saturation,1781642182.8471742,1781642192.5500326,9702.858448028564,1,200,,112,128,54,166
115,compute_saturation,vllm_compute_saturation,1781642182.8465672,1781642192.5502691,9703.701972961426,1,200,,112,128,54,166
105,compute_saturation,vllm_compute_saturation,1781642182.841288,1781642192.5504856,9709.197521209717,1,200,,112,128,54,166
106,compute_saturation,vllm_compute_saturation,1781642182.8416958,1781642192.5506122,9708.916425704956,1,200,,112,128,54,166
112,compute_saturation,vllm_compute_saturation,1781642182.8447373,1781642192.5507288,9705.991506576538,1,200,,112,128,54,166
110,compute_saturation,vllm_compute_saturation,1781642182.843884,1781642192.5508559,9706.971883773804,1,200,,112,128,54,166
114,compute_saturation,vllm_compute_saturation,1781642182.8457208,1781642192.6039762,9758.25548171997,1,200,,112,128,54,166
118,compute_saturation,vllm_compute_saturation,1781642182.8481383,1781642192.6041355,9755.99718093872,1,200,,112,128,54,166
119,compute_saturation,vllm_compute_saturation,1781642182.8485065,1781642192.6045935,9756.087064743042,1,200,,112,128,54,166
117,compute_saturation,vllm_compute_saturation,1781642182.8475575,1781642192.604725,9757.167339324951,1,200,,112,128,54,166
121,compute_saturation,vllm_compute_saturation,1781642192.6058,1781642202.1848025,9579.002618789673,1,200,,112,128,54,166
123,compute_saturation,vllm_compute_saturation,1781642192.6064172,1781642202.253964,9647.546768188477,1,200,,112,128,54,166
126,compute_saturation,vllm_compute_saturation,1781642192.6074486,1781642202.2544246,9646.975994110107,1,200,,112,128,54,166
129,compute_saturation,vllm_compute_saturation,1781642192.6088436,1781642202.254762,9645.918369293213,1,200,,112,128,54,166
124,compute_saturation,vllm_compute_saturation,1781642192.6066647,1781642202.2548683,9648.203611373901,1,200,,112,128,54,166
127,compute_saturation,vllm_compute_saturation,1781642192.6077826,1781642202.2549741,9647.191524505615,1,200,,112,128,65,177
120,compute_saturation,vllm_compute_saturation,1781642192.6054745,1781642202.2551403,9649.665832519531,1,200,,112,128,54,166
125,compute_saturation,vllm_compute_saturation,1781642192.6071093,1781642202.2552707,9648.1614112854,1,200,,112,128,54,166
128,compute_saturation,vllm_compute_saturation,1781642192.6084735,1781642202.2553911,9646.917581558228,1,200,,112,128,54,166
122,compute_saturation,vllm_compute_saturation,1781642192.6061084,1781642202.2555084,9649.399995803833,1,200,,112,128,54,166
138,compute_saturation,vllm_compute_saturation,1781642192.6146595,1781642202.3167968,9702.137231826782,1,200,,112,128,54,166
133,compute_saturation,vllm_compute_saturation,1781642192.6116834,1781642202.318145,9706.461668014526,1,200,,112,128,54,166
136,compute_saturation,vllm_compute_saturation,1781642192.6136584,1781642202.3183258,9704.667329788208,1,200,,112,128,54,166
131,compute_saturation,vllm_compute_saturation,1781642192.6107597,1781642202.3184435,9707.683801651001,1,200,,112,128,54,166
137,compute_saturation,vllm_compute_saturation,1781642192.6142814,1781642202.3185923,9704.310894012451,1,200,,112,128,54,166
134,compute_saturation,vllm_compute_saturation,1781642192.6123607,1781642202.3187606,9706.399917602539,1,200,,112,128,54,166
132,compute_saturation,vllm_compute_saturation,1781642192.6113155,1781642202.318931,9707.615613937378,1,200,,112,128,54,166
