request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.2800283,1781642475.2945213,19014.492988586426,1,200,,1589,192,86,1675
2,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.2810495,1781642475.4237714,19142.7218914032,1,200,,1589,192,86,1675
4,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.2834475,1781642475.5525417,19269.094228744507,1,200,,1589,192,86,1675
0,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.2778502,1781642475.6147153,19336.865186691284,1,200,,1589,192,86,1675
6,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.286567,1781642475.7393255,19452.75855064392,1,200,,1589,192,86,1675
5,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.2854524,1781642475.861711,19576.258659362793,1,200,,1589,192,86,1675
7,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.287832,1781642475.9226332,19634.801149368286,1,200,,1589,192,86,1675
3,kv_cache_pressure,vllm_kv_cache_pressure,1781642456.282329,1781642476.0398133,19757.484197616577,1,200,,1589,192,86,1675
8,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0410252,1781642495.0546186,19013.593435287476,1,200,,1589,192,86,1675
10,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.042579,1781642495.1824594,19139.880418777466,1,200,,1589,192,86,1675
11,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0431404,1781642495.311802,19268.661499023438,1,200,,1589,192,86,1675
13,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0441666,1781642495.3748806,19330.713987350464,1,200,,1589,192,86,1675
12,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0436878,1781642495.4995596,19455.87182044983,1,200,,1589,192,86,1675
14,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0446405,1781642495.6223974,19577.756881713867,1,200,,1589,192,86,1675
9,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0418396,1781642495.6831982,19641.358613967896,1,200,,1589,192,86,1675
15,kv_cache_pressure,vllm_kv_cache_pressure,1781642476.0451918,1781642495.8009098,19755.717992782593,1,200,,1589,192,86,1675
16,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.8022342,1781642514.8668728,19064.63861465454,1,200,,1589,192,86,1675
17,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.8031425,1781642514.996383,19193.24040412903,1,200,,1589,192,86,1675
19,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.804766,1781642515.1257167,19320.950746536255,1,200,,1589,192,86,1675
20,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.8057146,1781642515.1889782,19383.26358795166,1,200,,1589,192,86,1675
18,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.803915,1781642515.3137498,19509.83476638794,1,200,,1589,192,86,1675
22,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.8078864,1781642515.4367237,19628.83734703064,1,200,,1589,192,86,1675
23,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.8089511,1781642515.4971142,19688.16304206848,1,200,,1589,192,86,1675
21,kv_cache_pressure,vllm_kv_cache_pressure,1781642495.806876,1781642515.614557,19807.6810836792,1,200,,1589,192,86,1675
24,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.6156404,1781642534.65295,19037.309646606445,1,200,,1589,192,86,1675
25,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.6164553,1781642534.780106,19163.65075111389,1,200,,1589,192,86,1675
27,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.618163,1781642534.909188,19291.024923324585,1,200,,1589,192,86,1675
26,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.6173065,1781642534.9724526,19355.146169662476,1,200,,1589,192,86,1675
31,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.6225038,1781642535.0972877,19474.783897399902,1,200,,1589,192,86,1675
29,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.620322,1781642535.2198453,19599.523305892944,1,200,,1589,192,86,1675
28,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.6191654,1781642535.2802112,19661.045789718628,1,200,,1589,192,86,1675
30,kv_cache_pressure,vllm_kv_cache_pressure,1781642515.6214354,1781642535.3971515,19775.716066360474,1,200,,1589,192,86,1675
