request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,long_prompt,vllm_long_prompt,1781642384.5466683,1781642391.6954327,7148.764371871948,1,200,,1589,64,29,1618
1,long_prompt,vllm_long_prompt,1781642384.5456138,1781642391.8176289,7272.01509475708,1,200,,1589,64,29,1618
0,long_prompt,vllm_long_prompt,1781642384.5439918,1781642391.9376721,7393.6803340911865,1,200,,1589,64,29,1618
3,long_prompt,vllm_long_prompt,1781642384.54817,1781642391.9960775,7447.907447814941,1,200,,1589,64,29,1618
4,long_prompt,vllm_long_prompt,1781642391.9973254,1781642399.1487103,7151.3848304748535,1,200,,1589,64,29,1618
7,long_prompt,vllm_long_prompt,1781642391.9998088,1781642399.2699602,7270.151376724243,1,200,,1589,64,29,1618
5,long_prompt,vllm_long_prompt,1781642391.9983244,1781642399.3899004,7391.576051712036,1,200,,1589,64,29,1618
6,long_prompt,vllm_long_prompt,1781642391.999132,1781642399.448484,7449.352025985718,1,200,,1589,64,29,1618
8,long_prompt,vllm_long_prompt,1781642399.450647,1781642406.6045473,7153.900146484375,1,200,,1589,64,29,1618
11,long_prompt,vllm_long_prompt,1781642399.4538789,1781642406.7267807,7272.901773452759,1,200,,1589,64,29,1618
9,long_prompt,vllm_long_prompt,1781642399.4518142,1781642406.8471599,7395.345687866211,1,200,,1589,64,29,1618
10,long_prompt,vllm_long_prompt,1781642399.4528363,1781642406.9056947,7452.858448028564,1,200,,1589,64,29,1618
13,long_prompt,vllm_long_prompt,1781642406.9077015,1781642414.0721605,7164.458990097046,1,200,,1589,64,29,1618
14,long_prompt,vllm_long_prompt,1781642406.9086921,1781642414.1928325,7284.140348434448,1,200,,1589,64,29,1618
15,long_prompt,vllm_long_prompt,1781642406.909579,1781642414.313115,7403.535842895508,1,200,,1589,64,29,1618
12,long_prompt,vllm_long_prompt,1781642406.906878,1781642414.372276,7465.398073196411,1,200,,1589,64,29,1618
17,long_prompt,vllm_long_prompt,1781642414.3743143,1781642421.53976,7165.445804595947,1,200,,1589,64,29,1618
16,long_prompt,vllm_long_prompt,1781642414.3734584,1781642421.662069,7288.6106967926025,1,200,,1589,64,29,1618
18,long_prompt,vllm_long_prompt,1781642414.37519,1781642421.7821996,7407.009601593018,1,200,,1589,64,29,1618
19,long_prompt,vllm_long_prompt,1781642414.376067,1781642421.8405013,7464.434385299683,1,200,,1589,64,29,1618
21,long_prompt,vllm_long_prompt,1781642421.8425598,1781642429.0254958,7182.935953140259,1,200,,1589,64,29,1618
20,long_prompt,vllm_long_prompt,1781642421.8417232,1781642429.1465616,7304.838418960571,1,200,,1589,64,29,1618
22,long_prompt,vllm_long_prompt,1781642421.843328,1781642429.2671301,7423.802137374878,1,200,,1589,64,29,1618
23,long_prompt,vllm_long_prompt,1781642421.8443632,1781642429.3257415,7481.3783168792725,1,200,,1589,64,29,1618
26,long_prompt,vllm_long_prompt,1781642429.3294013,1781642436.5061507,7176.749467849731,1,200,,1589,64,29,1618
24,long_prompt,vllm_long_prompt,1781642429.3273385,1781642436.6293194,7301.980972290039,1,200,,1589,64,29,1618
25,long_prompt,vllm_long_prompt,1781642429.3284001,1781642436.7488444,7420.4442501068115,1,200,,1589,64,29,1618
27,long_prompt,vllm_long_prompt,1781642429.3305774,1781642436.8071694,7476.592063903809,1,200,,1589,64,29,1618
29,long_prompt,vllm_long_prompt,1781642436.809308,1781642443.9965847,7187.276601791382,1,200,,1589,64,29,1618
28,long_prompt,vllm_long_prompt,1781642436.8083527,1781642444.118779,7310.426235198975,1,200,,1589,64,29,1618
30,long_prompt,vllm_long_prompt,1781642436.8102472,1781642444.2392385,7428.991317749023,1,200,,1589,64,29,1618
31,long_prompt,vllm_long_prompt,1781642436.8111115,1781642444.2976635,7486.552000045776,1,200,,1589,64,29,1618
34,long_prompt,vllm_long_prompt,1781642444.3001826,1781642451.4797502,7179.567575454712,1,200,,1589,64,29,1618
32,long_prompt,vllm_long_prompt,1781642444.2984803,1781642451.6002142,7301.73397064209,1,200,,1589,64,29,1618
35,long_prompt,vllm_long_prompt,1781642444.3007941,1781642451.720405,7419.610977172852,1,200,,1589,64,29,1618
33,long_prompt,vllm_long_prompt,1781642444.299323,1781642451.7790031,7479.680061340332,1,200,,1589,64,29,1618
