request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,compute_saturation,vllm_compute_saturation,1782184674.304984,1782184676.6972125,2392.228364944458,1,200,,115,128,54,169
1,compute_saturation,vllm_compute_saturation,1782184674.3070738,1782184676.7164488,2409.374952316284,1,200,,115,128,54,169
2,compute_saturation,vllm_compute_saturation,1782184674.3089204,1782184676.7169492,2408.0288410186768,1,200,,115,128,54,169
5,compute_saturation,vllm_compute_saturation,1782184674.3139017,1782184676.7170503,2403.148651123047,1,200,,115,128,54,169
8,compute_saturation,vllm_compute_saturation,1782184674.3188217,1782184676.7173967,2398.5750675201416,1,200,,115,128,54,169
7,compute_saturation,vllm_compute_saturation,1782184674.317189,1782184676.717651,2400.4619121551514,1,200,,115,128,54,169
6,compute_saturation,vllm_compute_saturation,1782184674.3158479,1782184676.7178562,2402.008295059204,1,200,,115,128,54,169
3,compute_saturation,vllm_compute_saturation,1782184674.3110473,1782184676.7180219,2406.9745540618896,1,200,,115,128,54,169
9,compute_saturation,vllm_compute_saturation,1782184674.3199656,1782184676.7181497,2398.184061050415,1,200,,115,128,54,169
4,compute_saturation,vllm_compute_saturation,1782184674.3126264,1782184676.7182686,2405.64227104187,1,200,,115,128,54,169
18,compute_saturation,vllm_compute_saturation,1782184674.3305244,1782184676.7312317,2400.707244873047,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1782184674.3253949,1782184676.7313156,2405.9207439422607,1,200,,115,128,54,169
14,compute_saturation,vllm_compute_saturation,1782184674.3269908,1782184676.7313895,2404.3986797332764,1,200,,115,128,54,169
17,compute_saturation,vllm_compute_saturation,1782184674.3296878,1782184676.7314763,2401.7884731292725,1,200,,115,128,54,169
16,compute_saturation,vllm_compute_saturation,1782184674.3288004,1782184676.7315702,2402.7698040008545,1,200,,115,128,63,178
12,compute_saturation,vllm_compute_saturation,1782184674.324044,1782184676.7316504,2407.606363296509,1,200,,115,128,54,169
15,compute_saturation,vllm_compute_saturation,1782184674.3279314,1782184676.7317164,2403.784990310669,1,200,,115,128,54,169
11,compute_saturation,vllm_compute_saturation,1782184674.323088,1782184676.732178,2409.090042114258,1,200,,115,128,63,178
10,compute_saturation,vllm_compute_saturation,1782184674.3215425,1782184676.7322679,2410.7253551483154,1,200,,115,128,63,178
21,compute_saturation,vllm_compute_saturation,1782184674.3335273,1782184676.742872,2409.3446731567383,1,200,,115,128,54,169
19,compute_saturation,vllm_compute_saturation,1782184674.3315315,1782184676.7430987,2411.567211151123,1,200,,115,128,63,178
20,compute_saturation,vllm_compute_saturation,1782184674.3325238,1782184676.7431684,2410.64453125,1,200,,115,128,63,178
22,compute_saturation,vllm_compute_saturation,1782184674.3344958,1782184676.7434323,2408.9365005493164,1,200,,115,128,54,169
23,compute_saturation,vllm_compute_saturation,1782184674.3354366,1782184676.7435226,2408.086061477661,1,200,,115,128,54,169
25,compute_saturation,vllm_compute_saturation,1782184676.744577,1782184679.0603213,2315.744400024414,1,200,,115,128,54,169
28,compute_saturation,vllm_compute_saturation,1782184676.7452135,1782184679.081581,2336.367607116699,1,200,,115,128,54,169
33,compute_saturation,vllm_compute_saturation,1782184676.7479677,1782184679.0818496,2333.8818550109863,1,200,,115,128,54,169
24,compute_saturation,vllm_compute_saturation,1782184676.7443564,1782184679.082052,2337.695598602295,1,200,,115,128,54,169
31,compute_saturation,vllm_compute_saturation,1782184676.746855,1782184679.0822072,2335.3521823883057,1,200,,115,128,54,169
29,compute_saturation,vllm_compute_saturation,1782184676.7459767,1782184679.0825593,2336.582660675049,1,200,,115,128,54,169
26,compute_saturation,vllm_compute_saturation,1782184676.7447777,1782184679.0826974,2337.9197120666504,1,200,,115,128,63,178
32,compute_saturation,vllm_compute_saturation,1782184676.7471676,1782184679.0831409,2335.9732627868652,1,200,,115,128,54,169
30,compute_saturation,vllm_compute_saturation,1782184676.7463906,1782184679.0832963,2336.9057178497314,1,200,,115,128,63,178
27,compute_saturation,vllm_compute_saturation,1782184676.7450302,1782184679.0834203,2338.390111923218,1,200,,115,128,54,169
37,compute_saturation,vllm_compute_saturation,1782184676.7501292,1782184679.0958319,2345.702648162842,1,200,,115,128,63,178
38,compute_saturation,vllm_compute_saturation,1782184676.7508657,1782184679.095979,2345.1132774353027,1,200,,115,128,54,169
39,compute_saturation,vllm_compute_saturation,1782184676.7517805,1782184679.096336,2344.555377960205,1,200,,115,128,54,169
43,compute_saturation,vllm_compute_saturation,1782184676.753739,1782184679.0964715,2342.7324295043945,1,200,,115,128,63,178
42,compute_saturation,vllm_compute_saturation,1782184676.7531757,1782184679.0966246,2343.4488773345947,1,200,,115,128,54,169
34,compute_saturation,vllm_compute_saturation,1782184676.7483768,1782184679.09674,2348.363161087036,1,200,,115,128,54,169
41,compute_saturation,vllm_compute_saturation,1782184676.752783,1782184679.096859,2344.075918197632,1,200,,115,128,54,169
35,compute_saturation,vllm_compute_saturation,1782184676.7490063,1782184679.0971181,2348.111867904663,1,200,,115,128,63,178
36,compute_saturation,vllm_compute_saturation,1782184676.7494504,1782184679.097281,2347.8305339813232,1,200,,115,128,54,169
45,compute_saturation,vllm_compute_saturation,1782184676.7555652,1782184679.1073005,2351.7353534698486,1,200,,115,128,63,178
47,compute_saturation,vllm_compute_saturation,1782184676.7567928,1782184679.1077342,2350.9414196014404,1,200,,115,128,63,178
44,compute_saturation,vllm_compute_saturation,1782184676.7543979,1782184679.1079223,2353.5244464874268,1,200,,115,128,63,178
46,compute_saturation,vllm_compute_saturation,1782184676.7562943,1782184679.1083198,2352.0255088806152,1,200,,115,128,63,178
40,compute_saturation,vllm_compute_saturation,1782184676.7523406,1782184679.1084902,2356.149673461914,1,200,,115,128,54,169
48,compute_saturation,vllm_compute_saturation,1782184679.1095674,1782184681.4181902,2308.6228370666504,1,200,,115,128,54,169
49,compute_saturation,vllm_compute_saturation,1782184679.1101367,1782184681.4183645,2308.227777481079,1,200,,115,128,63,178
53,compute_saturation,vllm_compute_saturation,1782184679.1116729,1782184681.4356475,2323.974609375,1,200,,115,128,54,169
57,compute_saturation,vllm_compute_saturation,1782184679.1147265,1782184681.4360528,2321.32625579834,1,200,,115,128,54,169
55,compute_saturation,vllm_compute_saturation,1782184679.1132088,1782184681.4362779,2323.0690956115723,1,200,,115,128,54,169
54,compute_saturation,vllm_compute_saturation,1782184679.1122348,1782184681.4366066,2324.371814727783,1,200,,115,128,54,169
50,compute_saturation,vllm_compute_saturation,1782184679.1104286,1782184681.436831,2326.402425765991,1,200,,115,128,65,180
56,compute_saturation,vllm_compute_saturation,1782184679.1138446,1782184681.4369097,2323.0650424957275,1,200,,115,128,54,169
51,compute_saturation,vllm_compute_saturation,1782184679.1108146,1782184681.4369798,2326.165199279785,1,200,,115,128,54,169
58,compute_saturation,vllm_compute_saturation,1782184679.1157804,1782184681.4370558,2321.275472640991,1,200,,115,128,54,169
52,compute_saturation,vllm_compute_saturation,1782184679.111109,1782184681.437228,2326.1189460754395,1,200,,115,128,54,169
66,compute_saturation,vllm_compute_saturation,1782184679.1204045,1782184681.449432,2329.0274143218994,1,200,,115,128,54,169
59,compute_saturation,vllm_compute_saturation,1782184679.1161768,1782184681.4500108,2333.833932876587,1,200,,115,128,54,169
63,compute_saturation,vllm_compute_saturation,1782184679.117866,1782184681.4504607,2332.594633102417,1,200,,115,128,54,169
62,compute_saturation,vllm_compute_saturation,1782184679.1173089,1782184681.450565,2333.256244659424,1,200,,115,128,54,169
61,compute_saturation,vllm_compute_saturation,1782184679.116959,1782184681.4509203,2333.961248397827,1,200,,115,128,54,169
67,compute_saturation,vllm_compute_saturation,1782184679.1207309,1782184681.4509993,2330.268383026123,1,200,,115,128,54,169
64,compute_saturation,vllm_compute_saturation,1782184679.119175,1782184681.4511864,2332.0114612579346,1,200,,115,128,114,229
65,compute_saturation,vllm_compute_saturation,1782184679.1198645,1782184681.4513311,2331.4666748046875,1,200,,115,128,123,238
60,compute_saturation,vllm_compute_saturation,1782184679.1165419,1782184681.4516678,2335.1259231567383,1,200,,115,128,54,169
68,compute_saturation,vllm_compute_saturation,1782184679.1210918,1782184681.462416,2341.3240909576416,1,200,,115,128,63,178
70,compute_saturation,vllm_compute_saturation,1782184679.1219273,1782184681.462653,2340.7256603240967,1,200,,115,128,107,222
69,compute_saturation,vllm_compute_saturation,1782184679.1214137,1782184681.4627352,2341.3214683532715,1,200,,115,128,54,169
71,compute_saturation,vllm_compute_saturation,1782184679.1229799,1782184681.4628966,2339.916706085205,1,200,,115,128,114,229
74,compute_saturation,vllm_compute_saturation,1782184681.4641573,1782184683.7575781,2293.4207916259766,1,200,,115,128,54,169
80,compute_saturation,vllm_compute_saturation,1782184681.4666162,1782184683.7776217,2311.0055923461914,1,200,,115,128,106,221
76,compute_saturation,vllm_compute_saturation,1782184681.4646215,1782184683.7778492,2313.227653503418,1,200,,115,128,54,169
81,compute_saturation,vllm_compute_saturation,1782184681.466982,1782184683.7780094,2311.0275268554688,1,200,,115,128,97,212
77,compute_saturation,vllm_compute_saturation,1782184681.4648743,1782184683.7781503,2313.2760524749756,1,200,,115,128,54,169
75,compute_saturation,vllm_compute_saturation,1782184681.464412,1782184683.7785242,2314.1121864318848,1,200,,115,128,94,209
78,compute_saturation,vllm_compute_saturation,1782184681.4651358,1782184683.779346,2314.2101764678955,1,200,,115,128,54,169
72,compute_saturation,vllm_compute_saturation,1782184681.4636936,1782184683.7795012,2315.807580947876,1,200,,115,128,121,236
79,compute_saturation,vllm_compute_saturation,1782184681.4655554,1782184683.7797642,2314.208745956421,1,200,,115,128,54,169
73,compute_saturation,vllm_compute_saturation,1782184681.4639504,1782184683.7799072,2315.9568309783936,1,200,,115,128,54,169
83,compute_saturation,vllm_compute_saturation,1782184681.4674094,1782184683.7910197,2323.610305786133,1,200,,115,128,54,169
85,compute_saturation,vllm_compute_saturation,1782184681.4680796,1782184683.792754,2324.674367904663,1,200,,115,128,97,212
89,compute_saturation,vllm_compute_saturation,1782184681.4690607,1782184683.7929518,2323.8911628723145,1,200,,115,128,91,206
90,compute_saturation,vllm_compute_saturation,1782184681.4692528,1782184683.7931337,2323.880910873413,1,200,,115,128,88,203
87,compute_saturation,vllm_compute_saturation,1782184681.468491,1782184683.7933419,2324.8507976531982,1,200,,115,128,90,205
82,compute_saturation,vllm_compute_saturation,1782184681.4671688,1782184683.7935426,2326.373815536499,1,200,,115,128,94,209
84,compute_saturation,vllm_compute_saturation,1782184681.4678354,1782184683.793777,2325.941562652588,1,200,,115,128,102,217
86,compute_saturation,vllm_compute_saturation,1782184681.4682918,1782184683.7939436,2325.6518840789795,1,200,,115,128,54,169
91,compute_saturation,vllm_compute_saturation,1782184681.469522,1782184683.7943766,2324.854612350464,1,200,,115,128,86,201
94,compute_saturation,vllm_compute_saturation,1782184681.470502,1782184683.80347,2332.96799659729,1,200,,115,128,54,169
95,compute_saturation,vllm_compute_saturation,1782184681.471267,1782184683.8038466,2332.5796127319336,1,200,,115,128,75,190
92,compute_saturation,vllm_compute_saturation,1782184681.4698987,1782184683.8041644,2334.26570892334,1,200,,115,128,81,196
88,compute_saturation,vllm_compute_saturation,1782184681.4688313,1782184683.8043828,2335.5515003204346,1,200,,115,128,86,201
