request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,compute_saturation,vllm_compute_saturation,1782185011.9533381,1782185014.322013,2368.6747550964355,1,200,,115,128,54,169
2,compute_saturation,vllm_compute_saturation,1782185011.9570162,1782185014.3395433,2382.5271129608154,1,200,,115,128,54,169
3,compute_saturation,vllm_compute_saturation,1782185011.9590454,1782185014.340246,2381.2005519866943,1,200,,115,128,54,169
1,compute_saturation,vllm_compute_saturation,1782185011.9553866,1782185014.3405223,2385.1356506347656,1,200,,115,128,54,169
4,compute_saturation,vllm_compute_saturation,1782185011.9600887,1782185014.340691,2380.6023597717285,1,200,,115,128,54,169
8,compute_saturation,vllm_compute_saturation,1782185011.9656594,1782185014.340825,2375.1657009124756,1,200,,115,128,54,169
7,compute_saturation,vllm_compute_saturation,1782185011.9647012,1782185014.3409088,2376.2075901031494,1,200,,115,128,54,169
6,compute_saturation,vllm_compute_saturation,1782185011.9636233,1782185014.3409765,2377.3531913757324,1,200,,115,128,54,169
5,compute_saturation,vllm_compute_saturation,1782185011.9614391,1782185014.3411646,2379.725456237793,1,200,,115,128,54,169
9,compute_saturation,vllm_compute_saturation,1782185011.9677687,1782185014.341314,2373.5454082489014,1,200,,115,128,54,169
11,compute_saturation,vllm_compute_saturation,1782185011.97021,1782185014.3537946,2383.584499359131,1,200,,115,128,54,169
10,compute_saturation,vllm_compute_saturation,1782185011.9692779,1782185014.354316,2385.038137435913,1,200,,115,128,63,178
12,compute_saturation,vllm_compute_saturation,1782185011.9715037,1782185014.3546321,2383.1284046173096,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1782185011.9729047,1782185014.3547668,2381.862163543701,1,200,,115,128,54,169
18,compute_saturation,vllm_compute_saturation,1782185011.9776804,1782185014.355049,2377.368450164795,1,200,,115,128,54,169
16,compute_saturation,vllm_compute_saturation,1782185011.9758215,1782185014.3559904,2380.168914794922,1,200,,115,128,54,169
14,compute_saturation,vllm_compute_saturation,1782185011.973952,1782185014.3561008,2382.1487426757812,1,200,,115,128,54,169
17,compute_saturation,vllm_compute_saturation,1782185011.9767098,1782185014.35628,2379.570245742798,1,200,,115,128,54,169
15,compute_saturation,vllm_compute_saturation,1782185011.9749794,1782185014.3564782,2381.4988136291504,1,200,,115,128,54,169
23,compute_saturation,vllm_compute_saturation,1782185011.9826071,1782185014.3673234,2384.716272354126,1,200,,115,128,54,169
19,compute_saturation,vllm_compute_saturation,1782185011.978652,1782185014.3676922,2389.040231704712,1,200,,115,128,54,169
20,compute_saturation,vllm_compute_saturation,1782185011.9796243,1782185014.367768,2388.14377784729,1,200,,115,128,54,169
21,compute_saturation,vllm_compute_saturation,1782185011.9805264,1782185014.3679185,2387.392044067383,1,200,,115,128,54,169
22,compute_saturation,vllm_compute_saturation,1782185011.981577,1782185014.368008,2386.4309787750244,1,200,,115,128,54,169
28,compute_saturation,vllm_compute_saturation,1782185014.3696456,1782185016.6770837,2307.4381351470947,1,200,,115,128,54,169
25,compute_saturation,vllm_compute_saturation,1782185014.3690455,1782185016.6772468,2308.201313018799,1,200,,115,128,54,169
24,compute_saturation,vllm_compute_saturation,1782185014.3688116,1782185016.696412,2327.6004791259766,1,200,,115,128,54,169
27,compute_saturation,vllm_compute_saturation,1782185014.3694239,1782185016.6968448,2327.420949935913,1,200,,115,128,54,169
31,compute_saturation,vllm_compute_saturation,1782185014.3703969,1782185016.6970196,2326.622724533081,1,200,,115,128,54,169
26,compute_saturation,vllm_compute_saturation,1782185014.3692327,1782185016.6971686,2327.9359340667725,1,200,,115,128,54,169
32,compute_saturation,vllm_compute_saturation,1782185014.3708563,1782185016.6975076,2326.6513347625732,1,200,,115,128,54,169
30,compute_saturation,vllm_compute_saturation,1782185014.3701146,1782185016.6978705,2327.755928039551,1,200,,115,128,54,169
33,compute_saturation,vllm_compute_saturation,1782185014.3721943,1782185016.698314,2326.1196613311768,1,200,,115,128,54,169
29,compute_saturation,vllm_compute_saturation,1782185014.3698804,1782185016.6985223,2328.641891479492,1,200,,115,128,54,169
34,compute_saturation,vllm_compute_saturation,1782185014.3724415,1782185016.6986876,2326.2460231781006,1,200,,115,128,54,169
45,compute_saturation,vllm_compute_saturation,1782185014.3765,1782185016.7104266,2333.9266777038574,1,200,,115,128,54,169
39,compute_saturation,vllm_compute_saturation,1782185014.3739493,1782185016.710668,2336.718797683716,1,200,,115,128,54,169
38,compute_saturation,vllm_compute_saturation,1782185014.3737211,1782185016.7118874,2338.1662368774414,1,200,,115,128,54,169
35,compute_saturation,vllm_compute_saturation,1782185014.372737,1782185016.7120385,2339.301586151123,1,200,,115,128,54,169
42,compute_saturation,vllm_compute_saturation,1782185014.3756876,1782185016.7121856,2336.498022079468,1,200,,115,128,54,169
37,compute_saturation,vllm_compute_saturation,1782185014.373422,1782185016.7123165,2338.8946056365967,1,200,,115,128,54,169
43,compute_saturation,vllm_compute_saturation,1782185014.3759732,1782185016.7124443,2336.4710807800293,1,200,,115,128,54,169
36,compute_saturation,vllm_compute_saturation,1782185014.372947,1782185016.7125561,2339.609146118164,1,200,,115,128,54,169
40,compute_saturation,vllm_compute_saturation,1782185014.3744397,1782185016.7126753,2338.23561668396,1,200,,115,128,54,169
41,compute_saturation,vllm_compute_saturation,1782185014.3752375,1782185016.7220185,2346.781015396118,1,200,,115,128,54,169
44,compute_saturation,vllm_compute_saturation,1782185014.3762455,1782185016.7222307,2345.985174179077,1,200,,115,128,54,169
47,compute_saturation,vllm_compute_saturation,1782185014.3771377,1782185016.722295,2345.1573848724365,1,200,,115,128,54,169
46,compute_saturation,vllm_compute_saturation,1782185014.3767605,1782185016.722468,2345.707416534424,1,200,,115,128,54,169
53,compute_saturation,vllm_compute_saturation,1782185016.7243907,1782185019.0261178,2301.727056503296,1,200,,115,128,54,169
49,compute_saturation,vllm_compute_saturation,1782185016.7235074,1782185019.0424724,2318.964958190918,1,200,,115,128,54,169
55,compute_saturation,vllm_compute_saturation,1782185016.725722,1782185019.0430384,2317.3162937164307,1,200,,115,128,54,169
57,compute_saturation,vllm_compute_saturation,1782185016.727031,1782185019.0431232,2316.0922527313232,1,200,,115,128,54,169
