request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,compute_saturation,vllm_compute_saturation,1782185253.974749,1782185256.3776991,2402.9500484466553,1,200,,115,128,54,169
1,compute_saturation,vllm_compute_saturation,1782185253.9764283,1782185256.377994,2401.5657901763916,1,200,,115,128,54,169
6,compute_saturation,vllm_compute_saturation,1782185253.9866974,1782185256.3965507,2409.853219985962,1,200,,115,128,54,169
9,compute_saturation,vllm_compute_saturation,1782185253.9901617,1782185256.3973122,2407.1505069732666,1,200,,115,128,54,169
5,compute_saturation,vllm_compute_saturation,1782185253.9844854,1782185256.3976488,2413.163423538208,1,200,,115,128,54,169
3,compute_saturation,vllm_compute_saturation,1782185253.980681,1782185256.3977315,2417.05060005188,1,200,,115,128,54,169
10,compute_saturation,vllm_compute_saturation,1782185253.9913301,1782185256.398011,2406.6808223724365,1,200,,115,128,63,178
2,compute_saturation,vllm_compute_saturation,1782185253.9782484,1782185256.3980908,2419.842481613159,1,200,,115,128,54,169
4,compute_saturation,vllm_compute_saturation,1782185253.9822195,1782185256.3982377,2416.01824760437,1,200,,115,128,54,169
7,compute_saturation,vllm_compute_saturation,1782185253.9878514,1782185256.3983362,2410.484790802002,1,200,,115,128,54,169
8,compute_saturation,vllm_compute_saturation,1782185253.9888327,1782185256.3984358,2409.6031188964844,1,200,,115,128,54,169
16,compute_saturation,vllm_compute_saturation,1782185253.9970484,1782185256.4104633,2413.41495513916,1,200,,115,128,54,169
19,compute_saturation,vllm_compute_saturation,1782185254.0001907,1782185256.410875,2410.68434715271,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1782185253.9944756,1782185256.4114406,2416.9650077819824,1,200,,115,128,54,169
15,compute_saturation,vllm_compute_saturation,1782185253.9962163,1782185256.4118624,2415.6460762023926,1,200,,115,128,54,169
11,compute_saturation,vllm_compute_saturation,1782185253.9924479,1782185256.412151,2419.703245162964,1,200,,115,128,54,169
12,compute_saturation,vllm_compute_saturation,1782185253.993531,1782185256.4123464,2418.8153743743896,1,200,,115,128,54,169
17,compute_saturation,vllm_compute_saturation,1782185253.9982195,1782185256.4124172,2414.1976833343506,1,200,,115,128,54,169
18,compute_saturation,vllm_compute_saturation,1782185253.999116,1782185256.4126835,2413.567543029785,1,200,,115,128,54,169
14,compute_saturation,vllm_compute_saturation,1782185253.9954014,1782185256.4127586,2417.3572063446045,1,200,,115,128,54,169
22,compute_saturation,vllm_compute_saturation,1782185254.003643,1782185256.4221025,2418.459415435791,1,200,,115,128,54,169
