request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782181783.535765,1782181784.4867015,950.9365558624268,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782181784.487213,1782181785.3802285,893.0156230926514,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782181785.3807273,1782181786.2717516,891.0243511199951,1,200,,156,64,52,208
3,healthy,vllm_healthy,1782181786.2723043,1782181787.1704016,898.0972766876221,1,200,,156,64,58,214
4,healthy,vllm_healthy,1782181787.17089,1782181788.066719,895.8289623260498,1,200,,156,64,52,208
5,healthy,vllm_healthy,1782181788.0672472,1782181788.9524071,885.159969329834,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782181788.9529042,1782181789.8432484,890.3441429138184,1,200,,156,64,49,205
7,healthy,vllm_healthy,1782181789.8438964,1782181790.7306867,886.7902755737305,1,200,,156,64,49,205
8,healthy,vllm_healthy,1782181790.7312078,1782181791.6329587,901.7508029937744,1,200,,156,64,47,203
9,healthy,vllm_healthy,1782181791.6335995,1782181792.5306442,897.0446586608887,1,200,,156,64,47,203
10,healthy,vllm_healthy,1782181792.531149,1782181793.4262,895.0510025024414,1,200,,156,64,47,203
11,healthy,vllm_healthy,1782181793.4267983,1782181794.3128753,886.0769271850586,1,200,,156,64,47,203
12,healthy,vllm_healthy,1782181794.3133643,1782181795.2003696,887.0053291320801,1,200,,156,64,55,211
13,healthy,vllm_healthy,1782181795.2008817,1782181796.0859053,885.0235939025879,1,200,,156,64,47,203
14,healthy,vllm_healthy,1782181796.0863156,1782181796.9713788,885.0631713867188,1,200,,156,64,47,203
15,healthy,vllm_healthy,1782181796.9718316,1782181797.877298,905.4665565490723,1,200,,156,64,55,211
16,healthy,vllm_healthy,1782181797.8778865,1782181798.7654305,887.5439167022705,1,200,,156,64,47,203
17,healthy,vllm_healthy,1782181798.7659426,1782181799.6583226,892.3799991607666,1,200,,156,64,47,203
18,healthy,vllm_healthy,1782181799.658887,1782181800.5463843,887.4974250793457,1,200,,156,64,47,203
19,healthy,vllm_healthy,1782181800.546894,1782181801.4359183,889.0242576599121,1,200,,156,64,47,203
20,healthy,vllm_healthy,1782181801.4364502,1782181802.3286977,892.2474384307861,1,200,,156,64,55,211
21,healthy,vllm_healthy,1782181802.3293626,1782181803.217432,888.0693912506104,1,200,,156,64,55,211
22,healthy,vllm_healthy,1782181803.2179654,1782181804.1149795,897.0141410827637,1,200,,156,64,47,203
23,healthy,vllm_healthy,1782181804.1154323,1782181805.0101557,894.7234153747559,1,200,,156,64,49,205
24,healthy,vllm_healthy,1782181805.013031,1782181805.8999765,886.9454860687256,1,200,,156,64,54,210
25,healthy,vllm_healthy,1782181805.9005103,1782181806.7836711,883.1608295440674,1,200,,156,64,52,208
26,healthy,vllm_healthy,1782181806.7841399,1782181807.6679327,883.7928771972656,1,200,,156,64,47,203
27,healthy,vllm_healthy,1782181807.6684248,1782181808.5526383,884.2134475708008,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782181808.5530674,1782181809.4422195,889.1520500183105,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782181809.4426925,1782181810.334283,891.5905952453613,1,200,,156,64,54,210
30,healthy,vllm_healthy,1782181810.334888,1782181811.2304332,895.545244216919,1,200,,156,64,47,203
31,healthy,vllm_healthy,1782181811.2311172,1782181812.1141913,883.0740451812744,1,200,,156,64,55,211
32,healthy,vllm_healthy,1782181812.114636,1782181812.995898,881.2620639801025,1,200,,156,64,55,211
33,healthy,vllm_healthy,1782181812.9963293,1782181813.877013,880.6836605072021,1,200,,156,64,54,210
