request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782181882.4499385,1782181883.4338682,983.9296340942383,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782181883.4345565,1782181884.3309326,896.3761329650879,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782181884.3314419,1782181885.227932,896.4900970458984,1,200,,156,64,52,208
3,healthy,vllm_healthy,1782181885.2285814,1782181886.118222,889.6405696868896,1,200,,156,64,58,214
4,healthy,vllm_healthy,1782181886.1188276,1782181887.0094953,890.6676769256592,1,200,,156,64,52,208
5,healthy,vllm_healthy,1782181887.0099728,1782181887.9019282,891.9553756713867,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782181887.90257,1782181888.7905471,887.977123260498,1,200,,156,64,49,205
7,healthy,vllm_healthy,1782181888.7912204,1782181889.6895297,898.3092308044434,1,200,,156,64,49,205
8,healthy,vllm_healthy,1782181889.6901326,1782181890.5989456,908.8129997253418,1,200,,156,64,47,203
9,healthy,vllm_healthy,1782181890.5994647,1782181891.4904542,890.9895420074463,1,200,,156,64,47,203
10,healthy,vllm_healthy,1782181891.4910946,1782181892.3784223,887.3276710510254,1,200,,156,64,47,203
11,healthy,vllm_healthy,1782181892.378953,1782181893.2676885,888.7355327606201,1,200,,156,64,47,203
12,healthy,vllm_healthy,1782181893.268155,1782181894.1573215,889.1663551330566,1,200,,156,64,55,211
13,healthy,vllm_healthy,1782181894.1577656,1782181895.047982,890.2163505554199,1,200,,156,64,47,203
14,healthy,vllm_healthy,1782181895.04832,1782181895.9470828,898.7627029418945,1,200,,156,64,47,203
15,healthy,vllm_healthy,1782181895.9474735,1782181896.848393,900.9194374084473,1,200,,156,64,55,211
16,healthy,vllm_healthy,1782181896.8488297,1782181897.737556,888.7262344360352,1,200,,156,64,47,203
17,healthy,vllm_healthy,1782181897.7379658,1782181898.6238573,885.8914375305176,1,200,,156,64,47,203
18,healthy,vllm_healthy,1782181898.6242046,1782181899.5158725,891.6678428649902,1,200,,156,64,47,203
19,healthy,vllm_healthy,1782181899.5161598,1782181900.4042118,888.0519866943359,1,200,,156,64,47,203
20,healthy,vllm_healthy,1782181900.4045355,1782181901.2987154,894.1798210144043,1,200,,156,64,55,211
21,healthy,vllm_healthy,1782181901.2989776,1782181902.191712,892.7342891693115,1,200,,156,64,55,211
22,healthy,vllm_healthy,1782181902.1921105,1782181903.0941904,902.0798206329346,1,200,,156,64,47,203
23,healthy,vllm_healthy,1782181903.0945804,1782181903.9827359,888.155460357666,1,200,,156,64,49,205
24,healthy,vllm_healthy,1782181903.9830914,1782181904.8694813,886.389970779419,1,200,,156,64,54,210
25,healthy,vllm_healthy,1782181904.869872,1782181905.761699,891.826868057251,1,200,,156,64,52,208
26,healthy,vllm_healthy,1782181905.7620263,1782181906.649464,887.4375820159912,1,200,,156,64,47,203
27,healthy,vllm_healthy,1782181906.649832,1782181907.552741,902.9090404510498,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782181907.55306,1782181908.464448,911.3879203796387,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782181908.4650161,1782181909.3587523,893.7361240386963,1,200,,156,64,54,210
30,healthy,vllm_healthy,1782181909.3591328,1782181910.268807,909.6741676330566,1,200,,156,64,47,203
31,healthy,vllm_healthy,1782181910.269207,1782181911.1983793,929.1722774505615,1,200,,156,64,55,211
32,healthy,vllm_healthy,1782181911.1988332,1782181912.1061387,907.3054790496826,1,200,,156,64,55,211
33,healthy,vllm_healthy,1782181912.1069415,1782181913.0016806,894.7391510009766,1,200,,156,64,54,210
34,healthy,vllm_healthy,1782181913.0021708,1782181913.9120224,909.8515510559082,1,200,,156,64,55,211
35,healthy,vllm_healthy,1782181913.9126651,1782181914.8192077,906.5425395965576,1,200,,156,64,47,203
36,healthy,vllm_healthy,1782181914.8197734,1782181915.7323785,912.6050472259521,1,200,,156,64,54,210
37,healthy,vllm_healthy,1782181915.7328634,1782181916.6246314,891.7679786682129,1,200,,156,64,47,203
38,healthy,vllm_healthy,1782181916.6250744,1782181917.5129752,887.9008293151855,1,200,,156,64,55,211
39,healthy,vllm_healthy,1782181917.5134273,1782181918.4179225,904.4952392578125,1,200,,156,64,23,179
40,healthy,vllm_healthy,1782181918.4184592,1782181919.3260477,907.5884819030762,1,200,,156,64,55,211
41,healthy,vllm_healthy,1782181919.3265622,1782181920.2275739,901.0117053985596,1,200,,156,64,54,210
42,healthy,vllm_healthy,1782181920.2280922,1782181921.129273,901.1807441711426,1,200,,156,64,49,205
43,healthy,vllm_healthy,1782181921.1298618,1782181922.0220122,892.1504020690918,1,200,,156,64,54,210
44,healthy,vllm_healthy,1782181922.0225081,1782181922.924831,902.3227691650391,1,200,,156,64,54,210
45,healthy,vllm_healthy,1782181922.925397,1782181923.8176703,892.2734260559082,1,200,,156,64,23,179
46,healthy,vllm_healthy,1782181923.8181252,1782181924.7018416,883.716344833374,1,200,,156,64,54,210
47,healthy,vllm_healthy,1782181924.7022548,1782181925.5958025,893.547773361206,1,200,,156,64,47,203
48,healthy,vllm_healthy,1782181925.5962172,1782181926.4937758,897.5586891174316,1,200,,156,64,23,179
49,healthy,vllm_healthy,1782181926.4941652,1782181927.3891037,894.9384689331055,1,200,,156,64,50,206
50,healthy,vllm_healthy,1782181927.389517,1782181928.2745786,885.061502456665,1,200,,156,64,54,210
51,healthy,vllm_healthy,1782181928.275053,1782181929.1592965,884.2434883117676,1,200,,156,64,23,179
52,healthy,vllm_healthy,1782181929.1597302,1782181930.0433557,883.6255073547363,1,200,,156,64,23,179
53,healthy,vllm_healthy,1782181930.0438187,1782181930.9299576,886.138916015625,1,200,,156,64,23,179
54,healthy,vllm_healthy,1782181930.930364,1782181931.826488,896.1241245269775,1,200,,156,64,23,179
55,healthy,vllm_healthy,1782181931.8269844,1782181932.7241085,897.1240520477295,1,200,,156,64,23,179
56,healthy,vllm_healthy,1782181932.7245033,1782181933.6245265,900.0232219696045,1,200,,156,64,55,211
57,healthy,vllm_healthy,1782181933.6250958,1782181934.5102618,885.1659297943115,1,200,,156,64,23,179
58,healthy,vllm_healthy,1782181934.5106666,1782181935.396148,885.4813575744629,1,200,,156,64,23,179
59,healthy,vllm_healthy,1782181935.396546,1782181936.2816963,885.1504325866699,1,200,,156,64,23,179
60,healthy,vllm_healthy,1782181936.282122,1782181937.180856,898.7340927124023,1,200,,156,64,54,210
61,healthy,vllm_healthy,1782181937.1812568,1782181938.07664,895.3831195831299,1,200,,156,64,23,179
62,healthy,vllm_healthy,1782181938.0771873,1782181938.9821393,904.9520492553711,1,200,,156,64,23,179
63,healthy,vllm_healthy,1782181938.9826293,1782181939.870043,887.413740158081,1,200,,156,64,23,179
64,healthy,vllm_healthy,1782181939.8704515,1782181940.7556548,885.2033615112305,1,200,,156,64,54,210
65,healthy,vllm_healthy,1782181940.7560837,1782181941.63958,883.4962844848633,1,200,,156,64,23,179
66,healthy,vllm_healthy,1782181941.639955,1782181942.5249505,884.9954605102539,1,200,,156,64,23,179
