request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782182118.8712373,1782182119.8661675,994.9302673339844,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782182119.8666334,1782182120.7717664,905.1330089569092,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782182120.7722898,1782182121.6658494,893.5596942901611,1,200,,156,64,23,179
3,healthy,vllm_healthy,1782182121.6672988,1782182122.5582433,890.9444808959961,1,200,,156,64,23,179
4,healthy,vllm_healthy,1782182122.558877,1782182123.444876,885.9989643096924,1,200,,156,64,23,179
5,healthy,vllm_healthy,1782182123.4452775,1782182124.3240523,878.774881362915,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782182124.3243978,1782182125.2043295,879.9316883087158,1,200,,156,64,23,179
7,healthy,vllm_healthy,1782182125.204692,1782182126.086747,882.0550441741943,1,200,,156,64,23,179
8,healthy,vllm_healthy,1782182126.0870543,1782182126.9874358,900.3815650939941,1,200,,156,64,23,179
9,healthy,vllm_healthy,1782182126.9877877,1782182127.8843389,896.5511322021484,1,200,,156,64,23,179
10,healthy,vllm_healthy,1782182127.8846748,1782182128.7704055,885.7307434082031,1,200,,156,64,54,210
11,healthy,vllm_healthy,1782182128.7707922,1782182129.6549504,884.1581344604492,1,200,,156,64,23,179
12,healthy,vllm_healthy,1782182129.655263,1782182130.5447817,889.5187377929688,1,200,,156,64,23,179
13,healthy,vllm_healthy,1782182130.545155,1782182131.4300244,884.8693370819092,1,200,,156,64,23,179
14,healthy,vllm_healthy,1782182131.4303982,1782182132.3367698,906.3715934753418,1,200,,156,64,23,179
15,healthy,vllm_healthy,1782182132.3371174,1782182133.2340763,896.9588279724121,1,200,,156,64,23,179
16,healthy,vllm_healthy,1782182133.2343197,1782182134.1291916,894.8719501495361,1,200,,156,64,54,210
17,healthy,vllm_healthy,1782182134.1296775,1782182135.0155437,885.8661651611328,1,200,,156,64,23,179
18,healthy,vllm_healthy,1782182135.0159419,1782182135.8997557,883.8138580322266,1,200,,156,64,23,179
19,healthy,vllm_healthy,1782182135.9001667,1782182136.778905,878.7381649017334,1,200,,156,64,54,210
20,healthy,vllm_healthy,1782182136.7793489,1782182137.6592548,879.9059391021729,1,200,,156,64,47,203
21,healthy,vllm_healthy,1782182137.6597717,1782182138.554774,895.0023651123047,1,200,,156,64,23,179
22,healthy,vllm_healthy,1782182138.5552313,1782182139.4473407,892.1093940734863,1,200,,156,64,52,208
23,healthy,vllm_healthy,1782182139.447795,1782182140.3563364,908.5414409637451,1,200,,156,64,23,179
24,healthy,vllm_healthy,1782182140.3568234,1782182141.2426913,885.8678340911865,1,200,,156,64,23,179
25,healthy,vllm_healthy,1782182141.2430856,1782182142.1319,888.8144493103027,1,200,,156,64,23,179
26,healthy,vllm_healthy,1782182142.132299,1782182143.0131092,880.8102607727051,1,200,,156,64,47,203
27,healthy,vllm_healthy,1782182143.0134866,1782182143.9058847,892.3981189727783,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782182143.9063165,1782182144.8053,898.9834785461426,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782182144.8117442,1782182145.707319,895.5748081207275,1,200,,156,64,23,179
30,healthy,vllm_healthy,1782182145.7078404,1782182146.5987382,890.8977508544922,1,200,,156,64,23,179
31,healthy,vllm_healthy,1782182146.5991504,1782182147.482702,883.5515975952148,1,200,,156,64,23,179
32,healthy,vllm_healthy,1782182147.483098,1782182148.3708105,887.7124786376953,1,200,,156,64,23,179
33,healthy,vllm_healthy,1782182148.3712301,1782182149.2557952,884.5651149749756,1,200,,156,64,23,179
34,healthy,vllm_healthy,1782182149.2561388,1782182150.147209,891.0701274871826,1,200,,156,64,23,179
35,healthy,vllm_healthy,1782182150.1476135,1782182151.0437396,896.1260318756104,1,200,,156,64,23,179
36,healthy,vllm_healthy,1782182151.0440807,1782182151.9397888,895.7080841064453,1,200,,156,64,23,179
37,healthy,vllm_healthy,1782182151.940184,1782182152.8233638,883.1796646118164,1,200,,156,64,23,179
38,healthy,vllm_healthy,1782182152.823805,1782182153.7058554,882.0502758026123,1,200,,156,64,23,179
39,healthy,vllm_healthy,1782182153.7062156,1782182154.5912383,885.0226402282715,1,200,,156,64,23,179
40,healthy,vllm_healthy,1782182154.5916183,1782182155.4728248,881.2065124511719,1,200,,156,64,54,210
41,healthy,vllm_healthy,1782182155.4732788,1782182156.3917074,918.4286594390869,1,200,,156,64,23,179
42,healthy,vllm_healthy,1782182156.3921752,1782182157.2964113,904.2360782623291,1,200,,156,64,23,179
43,healthy,vllm_healthy,1782182157.2969136,1782182158.197764,900.8502960205078,1,200,,156,64,23,179
44,healthy,vllm_healthy,1782182158.1981678,1782182159.0832698,885.1020336151123,1,200,,156,64,23,179
45,healthy,vllm_healthy,1782182159.0838404,1782182159.9700007,886.1603736877441,1,200,,156,64,23,179
46,healthy,vllm_healthy,1782182159.9704635,1782182160.854491,884.0274810791016,1,200,,156,64,23,179
47,healthy,vllm_healthy,1782182160.8549507,1782182161.7500942,895.1435089111328,1,200,,156,64,23,179
48,healthy,vllm_healthy,1782182161.7505643,1782182162.6435618,892.9975032806396,1,200,,156,64,23,179
49,healthy,vllm_healthy,1782182162.6439247,1782182163.5487056,904.7808647155762,1,200,,156,64,55,211
50,healthy,vllm_healthy,1782182163.5490625,1782182164.4331155,884.0529918670654,1,200,,156,64,55,211
51,healthy,vllm_healthy,1782182164.433489,1782182165.3524914,919.0022945404053,1,200,,156,64,23,179
52,healthy,vllm_healthy,1782182165.3528998,1782182166.2786977,925.7979393005371,1,200,,156,64,23,179
53,healthy,vllm_healthy,1782182166.2790902,1782182167.2112854,932.1951866149902,1,200,,156,64,23,179
54,healthy,vllm_healthy,1782182167.211674,1782182168.0972557,885.5817317962646,1,200,,156,64,23,179
55,healthy,vllm_healthy,1782182168.0976143,1782182168.9827404,885.1261138916016,1,200,,156,64,23,179
56,healthy,vllm_healthy,1782182168.983083,1782182169.8696706,886.5876197814941,1,200,,156,64,23,179
57,healthy,vllm_healthy,1782182169.870074,1782182170.7632356,893.1615352630615,1,200,,156,64,23,179
58,healthy,vllm_healthy,1782182170.7637455,1782182171.6430082,879.2626857757568,1,200,,156,64,23,179
59,healthy,vllm_healthy,1782182171.643456,1782182172.5235295,880.0735473632812,1,200,,156,64,23,179
60,healthy,vllm_healthy,1782182172.5239372,1782182173.403927,879.9898624420166,1,200,,156,64,23,179
61,healthy,vllm_healthy,1782182173.4042885,1782182174.3048253,900.5367755889893,1,200,,156,64,23,179
62,healthy,vllm_healthy,1782182174.3053873,1782182175.2122655,906.8782329559326,1,200,,156,64,23,179
63,healthy,vllm_healthy,1782182175.212652,1782182176.1166248,903.972864151001,1,200,,156,64,23,179
64,healthy,vllm_healthy,1782182176.1170266,1782182177.0189795,901.9529819488525,1,200,,156,64,23,179
65,healthy,vllm_healthy,1782182177.0194855,1782182177.9056313,886.145830154419,1,200,,156,64,23,179
66,healthy,vllm_healthy,1782182177.9059858,1782182178.790524,884.5381736755371,1,200,,156,64,23,179
67,healthy,vllm_healthy,1782182178.7909384,1782182179.67127,880.3315162658691,1,200,,156,64,23,179
