request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1782182259.6023417,1782182260.5811028,978.7611961364746,1,200,,156,64,23,179
1,healthy,vllm_healthy,1782182260.581668,1782182261.4722884,890.6204700469971,1,200,,156,64,23,179
2,healthy,vllm_healthy,1782182261.472721,1782182262.3704817,897.7606296539307,1,200,,156,64,23,179
3,healthy,vllm_healthy,1782182262.370966,1782182263.259988,889.0221118927002,1,200,,156,64,23,179
4,healthy,vllm_healthy,1782182263.2604206,1782182264.1539207,893.5000896453857,1,200,,156,64,23,179
5,healthy,vllm_healthy,1782182264.1543343,1782182265.0427144,888.3800506591797,1,200,,156,64,23,179
6,healthy,vllm_healthy,1782182265.0431635,1782182265.9267914,883.6278915405273,1,200,,156,64,23,179
7,healthy,vllm_healthy,1782182265.9272819,1782182266.8075,880.2180290222168,1,200,,156,64,23,179
8,healthy,vllm_healthy,1782182266.8080473,1782182267.7050042,896.9569206237793,1,200,,156,64,23,179
9,healthy,vllm_healthy,1782182267.7056322,1782182268.5939953,888.3631229400635,1,200,,156,64,23,179
10,healthy,vllm_healthy,1782182268.5945542,1782182269.4798605,885.3063583374023,1,200,,156,64,47,203
11,healthy,vllm_healthy,1782182269.4803345,1782182270.3687637,888.4291648864746,1,200,,156,64,23,179
12,healthy,vllm_healthy,1782182270.369226,1782182271.2589712,889.7452354431152,1,200,,156,64,23,179
13,healthy,vllm_healthy,1782182271.2596147,1782182272.1441314,884.516716003418,1,200,,156,64,23,179
14,healthy,vllm_healthy,1782182272.1446702,1782182273.0259688,881.2985420227051,1,200,,156,64,23,179
15,healthy,vllm_healthy,1782182273.0264053,1782182273.9074316,881.0262680053711,1,200,,156,64,23,179
16,healthy,vllm_healthy,1782182273.9079137,1782182274.78813,880.2163600921631,1,200,,156,64,55,211
17,healthy,vllm_healthy,1782182274.7885718,1782182275.6789227,890.3508186340332,1,200,,156,64,23,179
18,healthy,vllm_healthy,1782182275.6793923,1782182276.568928,889.535665512085,1,200,,156,64,23,179
19,healthy,vllm_healthy,1782182276.5693772,1782182277.4519768,882.5995922088623,1,200,,156,64,23,179
20,healthy,vllm_healthy,1782182277.452449,1782182278.3345003,882.0512294769287,1,200,,156,64,23,179
21,healthy,vllm_healthy,1782182278.335177,1782182279.2373233,902.1463394165039,1,200,,156,64,23,179
22,healthy,vllm_healthy,1782182279.2381833,1782182280.1367497,898.566484451294,1,200,,156,64,23,179
23,healthy,vllm_healthy,1782182280.1372545,1782182281.0270662,889.8117542266846,1,200,,156,64,23,179
24,healthy,vllm_healthy,1782182281.0276268,1782182281.9178896,890.2628421783447,1,200,,156,64,55,211
25,healthy,vllm_healthy,1782182281.9183784,1782182282.8046157,886.237382888794,1,200,,156,64,23,179
26,healthy,vllm_healthy,1782182282.805053,1782182283.7010574,896.0044384002686,1,200,,156,64,23,179
27,healthy,vllm_healthy,1782182283.7014651,1782182284.60349,902.0249843597412,1,200,,156,64,23,179
28,healthy,vllm_healthy,1782182284.6040113,1782182285.5280938,924.0825176239014,1,200,,156,64,23,179
29,healthy,vllm_healthy,1782182285.5307539,1782182286.4474208,916.6669845581055,1,200,,156,64,23,179
30,healthy,vllm_healthy,1782182286.447906,1782182287.3524146,904.5085906982422,1,200,,156,64,23,179
31,healthy,vllm_healthy,1782182287.3528705,1782182288.2729812,920.1107025146484,1,200,,156,64,23,179
32,healthy,vllm_healthy,1782182288.273468,1782182289.173444,899.9760150909424,1,200,,156,64,23,179
33,healthy,vllm_healthy,1782182289.173943,1782182290.07882,904.8769474029541,1,200,,156,64,23,179
