request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2886443,1782185956.3012967,5012.652397155762,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2904944,1782185956.331533,5041.038513183594,1,200,,1592,192,86,1678
2,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2923944,1782185956.3666008,5074.206352233887,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2998443,1782185956.3796778,5079.833507537842,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2963474,1782185956.4093041,5112.956762313843,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.3013318,1782185956.4385478,5137.216091156006,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2978182,1782185956.4674213,5169.603109359741,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1782185951.2946854,1782185956.482139,5187.453746795654,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.4848006,1782185961.3929048,4908.104181289673,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.4852748,1782185961.4228387,4937.563896179199,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.4839892,1782185961.4532094,4969.220161437988,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.4832783,1782185961.4681494,4984.87114906311,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.4861276,1782185961.4968717,5010.744094848633,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.487038,1782185961.5257106,5038.672685623169,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.4828854,1782185961.5544734,5071.588039398193,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1782185956.487991,1782185961.5688272,5080.836057662964,1,200,,1592,192,86,1678
17,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5705016,1782185966.48283,4912.328481674194,1,200,,1592,192,86,1678
21,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5734441,1782185966.514533,4941.088914871216,1,200,,1592,192,86,1678
18,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5712118,1782185966.544272,4973.060131072998,1,200,,1592,192,86,1678
19,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.572011,1782185966.5603302,4988.319158554077,1,200,,1592,192,86,1678
20,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5727115,1782185966.5898685,5017.157077789307,1,200,,1592,192,86,1678
16,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5697906,1782185966.6180086,5048.218011856079,1,200,,1592,192,86,1678
22,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5747986,1782185966.6452725,5070.473909378052,1,200,,1592,192,86,1678
23,kv_cache_pressure,vllm_kv_cache_pressure,1782185961.5755289,1782185966.6605108,5084.981918334961,1,200,,1592,192,86,1678
24,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.6640658,1782185971.5665164,4902.4505615234375,1,200,,1592,192,86,1678
25,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.6659067,1782185971.596621,4930.71436882019,1,200,,1592,192,86,1678
28,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.669223,1782185971.626532,4957.309007644653,1,200,,1592,192,86,1678
27,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.668794,1782185971.6408436,4972.049713134766,1,200,,1592,192,86,1678
26,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.6681173,1782185971.6700747,5001.957416534424,1,200,,1592,192,86,1678
29,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.6699746,1782185971.6983657,5028.391122817993,1,200,,1592,192,86,1678
30,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.6706817,1782185971.7263045,5055.622816085815,1,200,,1592,192,86,1678
31,kv_cache_pressure,vllm_kv_cache_pressure,1782185966.6711068,1782185971.7406669,5069.5600509643555,1,200,,1592,192,86,1678
32,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7415578,1782185976.6729178,4931.3600063323975,1,200,,1592,192,86,1678
34,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7429714,1782185976.7032368,4960.265398025513,1,200,,1592,192,86,1678
33,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7422774,1782185976.733143,4990.865707397461,1,200,,1592,192,86,1678
37,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7454412,1782185976.748131,5002.689838409424,1,200,,1592,192,86,1678
35,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7436838,1782185976.7767909,5033.107042312622,1,200,,1592,192,86,1678
38,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7462487,1782185976.8050723,5058.823585510254,1,200,,1592,192,86,1678
36,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7445614,1782185976.8331132,5088.551759719849,1,200,,1592,192,86,1678
39,kv_cache_pressure,vllm_kv_cache_pressure,1782185971.7478952,1782185976.8473232,5099.427938461304,1,200,,1592,192,86,1678
40,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.848339,1782185981.7860603,4937.721252441406,1,200,,1592,192,86,1678
41,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.8490403,1782185981.8161616,4967.121362686157,1,200,,1592,192,86,1678
43,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.8504875,1782185981.8460865,4995.599031448364,1,200,,1592,192,86,1678
45,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.851995,1782185981.8610644,5009.069442749023,1,200,,1592,192,86,1678
42,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.8497355,1782185981.8896952,5039.959669113159,1,200,,1592,192,86,1678
44,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.851273,1782185981.918002,5066.728830337524,1,200,,1592,192,86,1678
47,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.853574,1782185981.9460132,5092.4391746521,1,200,,1592,192,86,1678
46,kv_cache_pressure,vllm_kv_cache_pressure,1782185976.852911,1782185981.9604137,5107.502698898315,1,200,,1592,192,86,1678
48,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.9614503,1782185986.9155324,4954.082012176514,1,200,,1592,192,86,1678
51,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.963674,1782185986.9458737,4982.199668884277,1,200,,1592,192,86,1678
53,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.9652102,1782185986.9756846,5010.474443435669,1,200,,1592,192,86,1678
49,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.9622004,1782185986.9907954,5028.594970703125,1,200,,1592,192,86,1678
50,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.9629476,1782185987.0194242,5056.476593017578,1,200,,1592,192,86,1678
54,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.9661274,1782185987.047829,5081.7015171051025,1,200,,1592,192,86,1678
52,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.964412,1782185987.075764,5111.35196685791,1,200,,1592,192,86,1678
55,kv_cache_pressure,vllm_kv_cache_pressure,1782185981.9668734,1782185987.090338,5123.464584350586,1,200,,1592,192,86,1678
57,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.092118,1782185992.021186,4929.068088531494,1,200,,1592,192,86,1678
60,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.0943022,1782185992.0513108,4957.008600234985,1,200,,1592,192,86,1678
58,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.0928125,1782185992.0811963,4988.383769989014,1,200,,1592,192,86,1678
56,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.0913942,1782185992.096217,5004.822731018066,1,200,,1592,192,86,1678
61,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.095091,1782185992.1251185,5030.027389526367,1,200,,1592,192,86,1678
59,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.0935822,1782185992.1533804,5059.798240661621,1,200,,1592,192,86,1678
63,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.097022,1782185992.181666,5084.643840789795,1,200,,1592,192,86,1678
62,kv_cache_pressure,vllm_kv_cache_pressure,1782185987.0962224,1782185992.1958194,5099.596977233887,1,200,,1592,192,86,1678
66,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.1982296,1782185997.1382344,4940.004825592041,1,200,,1592,192,86,1678
64,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.1968067,1782185997.1681015,4971.29487991333,1,200,,1592,192,86,1678
65,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.1975136,1782185997.2010453,5003.531694412231,1,200,,1592,192,86,1678
70,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.2013593,1782185997.2131367,5011.777400970459,1,200,,1592,192,86,1678
67,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.1989925,1782185997.2420053,5043.012857437134,1,200,,1592,192,86,1678
69,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.2005625,1782185997.270147,5069.584608078003,1,200,,1592,192,86,1678
68,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.1997058,1782185997.299455,5099.7490882873535,1,200,,1592,192,86,1678
71,kv_cache_pressure,vllm_kv_cache_pressure,1782185992.2021775,1782185997.3136775,5111.500024795532,1,200,,1592,192,86,1678
73,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.3148232,1782186002.239703,4924.879789352417,1,200,,1592,192,86,1678
72,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.3144038,1782186002.2697237,4955.319881439209,1,200,,1592,192,86,1678
74,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.3154151,1782186002.2996354,4984.220266342163,1,200,,1592,192,86,1678
77,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.31707,1782186002.3145187,4997.448682785034,1,200,,1592,192,86,1678
76,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.3166573,1782186002.3424761,5025.818824768066,1,200,,1592,192,86,1678
78,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.3173983,1782186002.3714721,5054.073810577393,1,200,,1592,192,86,1678
75,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.316183,1782186002.3988307,5082.6475620269775,1,200,,1592,192,86,1678
79,kv_cache_pressure,vllm_kv_cache_pressure,1782185997.3178406,1782186002.4136343,5095.793724060059,1,200,,1592,192,86,1678
82,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.415145,1782186007.3627343,4947.58939743042,1,200,,1592,192,86,1678
84,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.4159746,1782186007.393048,4977.073431015015,1,200,,1592,192,86,1678
83,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.4155374,1782186007.4229574,5007.420063018799,1,200,,1592,192,86,1678
80,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.4142892,1782186007.4379368,5023.6475467681885,1,200,,1592,192,86,1678
85,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.4165797,1782186007.466543,5049.9632358551025,1,200,,1592,192,86,1678
81,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.414738,1782186007.4948776,5080.139636993408,1,200,,1592,192,86,1678
86,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.4171517,1782186007.5228493,5105.6976318359375,1,200,,1592,192,86,1678
87,kv_cache_pressure,vllm_kv_cache_pressure,1782186002.4177585,1782186007.5372057,5119.447231292725,1,200,,1592,192,86,1678
89,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.538889,1782186012.4708328,4931.943893432617,1,200,,1592,192,86,1678
88,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.5381827,1782186012.5011175,4962.934732437134,1,200,,1592,192,86,1678
91,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.5403192,1782186012.5310812,4990.761995315552,1,200,,1592,192,86,1678
90,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.5395563,1782186012.5460277,5006.471395492554,1,200,,1592,192,86,1678
92,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.5410814,1782186012.5746293,5033.547878265381,1,200,,1592,192,86,1678
93,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.5420237,1782186012.6028664,5060.842752456665,1,200,,1592,192,86,1678
94,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.542817,1782186012.6308856,5088.06848526001,1,200,,1592,192,86,1678
95,kv_cache_pressure,vllm_kv_cache_pressure,1782186007.5435672,1782186012.645239,5101.671934127808,1,200,,1592,192,86,1678
