request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
2,long_output,vllm_long_output,1782184013.6138005,1782184020.810478,7196.677446365356,1,200,,198,512,394,592
0,long_output,vllm_long_output,1782184013.6098955,1782184020.810663,7200.767517089844,1,200,,198,512,393,591
1,long_output,vllm_long_output,1782184013.6118093,1782184020.823582,7211.772680282593,1,200,,198,512,422,620
3,long_output,vllm_long_output,1782184013.615522,1782184020.8237,7208.1780433654785,1,200,,198,512,409,607
5,long_output,vllm_long_output,1782184020.8243127,1782184027.9251468,7100.834131240845,1,200,,198,512,405,603
6,long_output,vllm_long_output,1782184020.8245406,1782184027.9253197,7100.779056549072,1,200,,198,512,396,594
7,long_output,vllm_long_output,1782184020.8248034,1782184027.9386444,7113.8410568237305,1,200,,198,512,396,594
4,long_output,vllm_long_output,1782184020.824116,1782184027.9388566,7114.740610122681,1,200,,198,512,397,595
8,long_output,vllm_long_output,1782184027.939391,1782184035.0127902,7073.399305343628,1,200,,198,512,403,601
9,long_output,vllm_long_output,1782184027.9397368,1782184035.012962,7073.225259780884,1,200,,198,512,406,604
11,long_output,vllm_long_output,1782184027.9405506,1782184035.0263467,7085.796117782593,1,200,,198,512,392,590
10,long_output,vllm_long_output,1782184027.9400868,1782184035.0264757,7086.388826370239,1,200,,198,512,402,600
14,long_output,vllm_long_output,1782184035.0275319,1782184042.1101377,7082.605838775635,1,200,,198,512,397,595
12,long_output,vllm_long_output,1782184035.026869,1782184042.1246667,7097.797632217407,1,200,,198,512,410,608
15,long_output,vllm_long_output,1782184035.027931,1782184042.124798,7096.867084503174,1,200,,198,512,401,599
13,long_output,vllm_long_output,1782184035.0272057,1782184042.1248944,7097.688674926758,1,200,,198,512,409,607
19,long_output,vllm_long_output,1782184042.1259825,1782184049.2293181,7103.335618972778,1,200,,198,512,401,599
17,long_output,vllm_long_output,1782184042.1255486,1782184049.2295785,7104.029893875122,1,200,,198,512,392,590
16,long_output,vllm_long_output,1782184042.1253326,1782184049.2428455,7117.512941360474,1,200,,198,512,406,604
18,long_output,vllm_long_output,1782184042.1257503,1782184049.2430553,7117.305040359497,1,200,,198,512,405,603
21,long_output,vllm_long_output,1782184049.2439752,1782184056.3602612,7116.286039352417,1,200,,198,512,388,586
20,long_output,vllm_long_output,1782184049.243611,1782184056.3605142,7116.903066635132,1,200,,198,512,405,603
23,long_output,vllm_long_output,1782184049.2447112,1782184056.3739114,7129.200220108032,1,200,,198,512,398,596
22,long_output,vllm_long_output,1782184049.2443013,1782184056.3741133,7129.812002182007,1,200,,198,512,396,594
25,long_output,vllm_long_output,1782184056.3751976,1782184063.478179,7102.981328964233,1,200,,198,512,409,607
27,long_output,vllm_long_output,1782184056.3761363,1782184063.4930015,7116.865158081055,1,200,,198,512,398,596
26,long_output,vllm_long_output,1782184056.3757303,1782184063.4932353,7117.505073547363,1,200,,198,512,416,614
24,long_output,vllm_long_output,1782184056.3748515,1782184063.4937873,7118.935823440552,1,200,,198,512,406,604
28,long_output,vllm_long_output,1782184063.4943275,1782184070.5950217,7100.694179534912,1,200,,198,512,402,600
29,long_output,vllm_long_output,1782184063.4946709,1782184070.5952713,7100.600481033325,1,200,,198,512,414,612
31,long_output,vllm_long_output,1782184063.49538,1782184070.6082,7112.820148468018,1,200,,198,512,403,601
30,long_output,vllm_long_output,1782184063.4949908,1782184070.6084106,7113.419771194458,1,200,,198,512,398,596
32,long_output,vllm_long_output,1782184070.6089675,1782184077.7131932,7104.225635528564,1,200,,198,512,396,594
33,long_output,vllm_long_output,1782184070.6093023,1782184077.7134392,7104.136943817139,1,200,,198,512,392,590
34,long_output,vllm_long_output,1782184070.6096327,1782184077.7136428,7104.010105133057,1,200,,198,512,407,605
35,long_output,vllm_long_output,1782184070.6100543,1782184077.7253258,7115.27156829834,1,200,,198,512,407,605
