request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,long_output,vllm_long_output,1782184419.5617666,1782184426.7391036,7177.336931228638,1,200,,198,512,405,603
0,long_output,vllm_long_output,1782184419.5597584,1782184426.7539704,7194.211959838867,1,200,,198,512,394,592
3,long_output,vllm_long_output,1782184419.565674,1782184426.7541628,7188.488721847534,1,200,,198,512,398,596
2,long_output,vllm_long_output,1782184419.5633001,1782184426.754449,7191.14875793457,1,200,,198,512,394,592
7,long_output,vllm_long_output,1782184426.7555327,1782184433.8576627,7102.129936218262,1,200,,198,512,416,614
5,long_output,vllm_long_output,1782184426.7551188,1782184433.8578348,7102.715969085693,1,200,,198,512,392,590
4,long_output,vllm_long_output,1782184426.754917,1782184433.871351,7116.434097290039,1,200,,198,512,405,603
6,long_output,vllm_long_output,1782184426.7552927,1782184433.8715723,7116.279602050781,1,200,,198,512,406,604
9,long_output,vllm_long_output,1782184433.872357,1782184440.9664001,7094.043254852295,1,200,,198,512,407,605
8,long_output,vllm_long_output,1782184433.8721097,1782184440.966605,7094.4952964782715,1,200,,198,512,405,603
11,long_output,vllm_long_output,1782184433.8730016,1782184440.9797142,7106.712579727173,1,200,,198,512,414,612
10,long_output,vllm_long_output,1782184433.872572,1782184440.9798427,7107.27071762085,1,200,,198,512,403,601
12,long_output,vllm_long_output,1782184440.9803872,1782184448.0668797,7086.492538452148,1,200,,198,512,389,587
13,long_output,vllm_long_output,1782184440.9807675,1782184448.0670626,7086.295127868652,1,200,,198,512,402,600
14,long_output,vllm_long_output,1782184440.9810853,1782184448.080558,7099.472761154175,1,200,,198,512,385,583
15,long_output,vllm_long_output,1782184440.9814868,1782184448.0806987,7099.211931228638,1,200,,198,512,401,599
19,long_output,vllm_long_output,1782184448.082344,1782184455.183619,7101.2749671936035,1,200,,198,512,406,604
17,long_output,vllm_long_output,1782184448.0816748,1782184455.183795,7102.120161056519,1,200,,198,512,392,590
18,long_output,vllm_long_output,1782184448.081999,1782184455.183904,7101.90486907959,1,200,,198,512,407,605
16,long_output,vllm_long_output,1782184448.0812962,1782184455.1961257,7114.829540252686,1,200,,198,512,396,594
