request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,long_prompt,vllm_long_prompt,1782183545.182435,1782183547.213773,2031.3379764556885,1,200,,1592,64,29,1621
1,long_prompt,vllm_long_prompt,1782183545.1848483,1782183547.2412636,2056.415319442749,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1782183545.186221,1782183547.269345,2083.1241607666016,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1782183545.1888993,1782183547.284068,2095.1688289642334,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1782183547.2847931,1782183549.1934555,1908.6623191833496,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1782183547.2856257,1782183549.2207818,1935.1561069488525,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1782183547.2852168,1782183549.2487803,1963.5634422302246,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1782183547.2860868,1782183549.2633235,1977.2367477416992,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1782183549.2648442,1782183551.190479,1925.6348609924316,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1782183549.2654939,1782183551.2198658,1954.3719291687012,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1782183549.2641878,1782183551.2481587,1983.9708805084229,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1782183549.2661967,1782183551.2630723,1996.875524520874,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1782183551.2649705,1782183553.186787,1921.816349029541,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1782183551.2642927,1782183553.2150247,1950.7319927215576,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1782183551.265828,1782183553.2430446,1977.2167205810547,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1782183551.2667687,1782183553.2574806,1990.7119274139404,1,200,,1592,64,29,1621
18,long_prompt,vllm_long_prompt,1782183553.25963,1782183555.1783214,1918.6913967132568,1,200,,1592,64,29,1621
17,long_prompt,vllm_long_prompt,1782183553.2589476,1782183555.2065272,1947.5796222686768,1,200,,1592,64,29,1621
16,long_prompt,vllm_long_prompt,1782183553.258285,1782183555.234499,1976.2139320373535,1,200,,1592,64,29,1621
19,long_prompt,vllm_long_prompt,1782183553.2603252,1782183555.2491019,1988.776683807373,1,200,,1592,64,29,1621
21,long_prompt,vllm_long_prompt,1782183555.2505336,1782183557.1732302,1922.696590423584,1,200,,1592,64,29,1621
20,long_prompt,vllm_long_prompt,1782183555.2499142,1782183557.20124,1951.3258934020996,1,200,,1592,64,29,1621
22,long_prompt,vllm_long_prompt,1782183555.2512043,1782183557.2291121,1977.9078960418701,1,200,,1592,64,29,1621
23,long_prompt,vllm_long_prompt,1782183555.251924,1782183557.2433505,1991.4264678955078,1,200,,1592,64,29,1621
25,long_prompt,vllm_long_prompt,1782183557.244909,1782183559.160525,1915.6160354614258,1,200,,1592,64,29,1621
26,long_prompt,vllm_long_prompt,1782183557.2455556,1782183559.1887484,1943.192720413208,1,200,,1592,64,29,1621
24,long_prompt,vllm_long_prompt,1782183557.2442307,1782183559.2166529,1972.4221229553223,1,200,,1592,64,29,1621
27,long_prompt,vllm_long_prompt,1782183557.246282,1782183559.231,1984.717845916748,1,200,,1592,64,29,1621
29,long_prompt,vllm_long_prompt,1782183559.232431,1782183561.1589992,1926.5682697296143,1,200,,1592,64,29,1621
30,long_prompt,vllm_long_prompt,1782183559.2330923,1782183561.187525,1954.432725906372,1,200,,1592,64,29,1621
28,long_prompt,vllm_long_prompt,1782183559.2318144,1782183561.215809,1983.994722366333,1,200,,1592,64,29,1621
31,long_prompt,vllm_long_prompt,1782183559.2338006,1782183561.2304986,1996.6979026794434,1,200,,1592,64,29,1621
33,long_prompt,vllm_long_prompt,1782183561.232075,1782183563.1743689,1942.2938823699951,1,200,,1592,64,29,1621
32,long_prompt,vllm_long_prompt,1782183561.2314038,1782183563.2019093,1970.5054759979248,1,200,,1592,64,29,1621
34,long_prompt,vllm_long_prompt,1782183561.2327292,1782183563.2295349,1996.8056678771973,1,200,,1592,64,29,1621
35,long_prompt,vllm_long_prompt,1782183561.233416,1782183563.2440436,2010.6275081634521,1,200,,1592,64,29,1621
37,long_prompt,vllm_long_prompt,1782183563.2453213,1782183565.1598182,1914.496898651123,1,200,,1592,64,29,1621
38,long_prompt,vllm_long_prompt,1782183563.2457695,1782183565.187659,1941.8895244598389,1,200,,1592,64,29,1621
36,long_prompt,vllm_long_prompt,1782183563.244784,1782183565.2154462,1970.6621170043945,1,200,,1592,64,29,1621
