request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,long_prompt,vllm_long_prompt,1782183679.0153909,1782183681.0020447,1986.6538047790527,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1782183679.0171292,1782183681.0292792,2012.1500492095947,1,200,,1592,64,29,1621
0,long_prompt,vllm_long_prompt,1782183679.0131369,1782183681.0571773,2044.0404415130615,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1782183679.0191827,1782183681.071519,2052.3362159729004,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1782183681.0732734,1782183682.9783726,1905.0991535186768,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1782183681.0736575,1782183683.006923,1933.2654476165771,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1782183681.072532,1782183683.0356715,1963.139533996582,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1782183681.0741448,1782183683.0499985,1975.853681564331,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1782183683.0509195,1782183684.9793062,1928.3866882324219,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1782183683.0515535,1782183685.006989,1955.4355144500732,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1782183683.051984,1782183685.034709,1982.724905014038,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1782183683.0526366,1782183685.0490954,1996.4587688446045,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1782183685.0506647,1782183686.9497063,1899.0416526794434,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1782183685.0502374,1782183686.9774604,1927.2229671478271,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1782183685.0510457,1782183687.0051193,1954.0736675262451,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1782183685.0497997,1782183687.019235,1969.435214996338,1,200,,1592,64,29,1621
17,long_prompt,vllm_long_prompt,1782183687.020887,1782183688.9312015,1910.3145599365234,1,200,,1592,64,29,1621
16,long_prompt,vllm_long_prompt,1782183687.0201755,1782183688.9598067,1939.6312236785889,1,200,,1592,64,29,1621
18,long_prompt,vllm_long_prompt,1782183687.0215478,1782183688.9881003,1966.552495956421,1,200,,1592,64,29,1621
19,long_prompt,vllm_long_prompt,1782183687.0223436,1782183689.0018234,1979.4797897338867,1,200,,1592,64,29,1621
21,long_prompt,vllm_long_prompt,1782183689.0032833,1782183690.9285178,1925.2345561981201,1,200,,1592,64,29,1621
20,long_prompt,vllm_long_prompt,1782183689.00268,1782183690.9562154,1953.5353183746338,1,200,,1592,64,29,1621
23,long_prompt,vllm_long_prompt,1782183689.0041275,1782183690.9842002,1980.0727367401123,1,200,,1592,64,29,1621
22,long_prompt,vllm_long_prompt,1782183689.0036905,1782183690.9983823,1994.6918487548828,1,200,,1592,64,29,1621
25,long_prompt,vllm_long_prompt,1782183690.999546,1782183692.903932,1904.386043548584,1,200,,1592,64,29,1621
24,long_prompt,vllm_long_prompt,1782183690.9990666,1782183692.931728,1932.6612949371338,1,200,,1592,64,29,1621
26,long_prompt,vllm_long_prompt,1782183690.999942,1782183692.9596345,1959.6924781799316,1,200,,1592,64,29,1621
27,long_prompt,vllm_long_prompt,1782183691.0005138,1782183692.9738784,1973.3645915985107,1,200,,1592,64,29,1621
29,long_prompt,vllm_long_prompt,1782183692.975534,1782183694.901269,1925.7349967956543,1,200,,1592,64,29,1621
28,long_prompt,vllm_long_prompt,1782183692.9748235,1782183694.9307635,1955.9400081634521,1,200,,1592,64,29,1621
30,long_prompt,vllm_long_prompt,1782183692.9762142,1782183694.9603899,1984.175682067871,1,200,,1592,64,29,1621
31,long_prompt,vllm_long_prompt,1782183692.9769354,1782183694.9776633,2000.727891921997,1,200,,1592,64,29,1621
33,long_prompt,vllm_long_prompt,1782183694.9789288,1782183696.9036307,1924.7019290924072,1,200,,1592,64,29,1621
32,long_prompt,vllm_long_prompt,1782183694.9784448,1782183696.9313905,1952.9457092285156,1,200,,1592,64,29,1621
34,long_prompt,vllm_long_prompt,1782183694.9793587,1782183696.9592307,1979.8719882965088,1,200,,1592,64,29,1621
35,long_prompt,vllm_long_prompt,1782183694.98025,1782183696.9748337,1994.5838451385498,1,200,,1592,64,29,1621
37,long_prompt,vllm_long_prompt,1782183696.9761238,1782183698.8916986,1915.5747890472412,1,200,,1592,64,29,1621
38,long_prompt,vllm_long_prompt,1782183696.9765313,1782183698.919634,1943.1028366088867,1,200,,1592,64,29,1621
39,long_prompt,vllm_long_prompt,1782183696.976932,1782183698.9474928,1970.5607891082764,1,200,,1592,64,29,1621
36,long_prompt,vllm_long_prompt,1782183696.975667,1782183698.9617229,1986.055850982666,1,200,,1592,64,29,1621
42,long_prompt,vllm_long_prompt,1782183698.9640098,1782183700.8821921,1918.182373046875,1,200,,1592,64,29,1621
41,long_prompt,vllm_long_prompt,1782183698.963347,1782183700.9104037,1947.056770324707,1,200,,1592,64,29,1621
40,long_prompt,vllm_long_prompt,1782183698.9626641,1782183700.9385698,1975.9056568145752,1,200,,1592,64,29,1621
