request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,long_prompt,vllm_long_prompt,1782183776.4764419,1782183778.4576182,1981.1763763427734,1,200,,1592,64,29,1621
0,long_prompt,vllm_long_prompt,1782183776.4737282,1782183778.4852185,2011.4903450012207,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1782183776.4785516,1782183778.5131922,2034.6405506134033,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1782183776.4810479,1782183778.5274878,2046.4398860931396,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1782183778.5281446,1782183780.4420383,1913.893699645996,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1782183778.5286348,1782183780.469885,1941.2503242492676,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1782183778.5290084,1782183780.4978142,1968.8057899475098,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1782183778.5295079,1782183780.512026,1982.518196105957,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1782183780.5136387,1782183782.431982,1918.3433055877686,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1782183780.5129035,1782183782.4599316,1947.0281600952148,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1782183780.5149882,1782183782.487759,1972.7709293365479,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1782183780.5143025,1782183782.501966,1987.6635074615479,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1782183782.5027034,1782183784.4216287,1918.9252853393555,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1782183782.5031633,1782183784.4495249,1946.3615417480469,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1782183782.5043848,1782183784.4773924,1973.0076789855957,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1782183782.503764,1782183784.4916463,1987.882375717163,1,200,,1592,64,29,1621
18,long_prompt,vllm_long_prompt,1782183784.4943004,1782183786.4123356,1918.0352687835693,1,200,,1592,64,29,1621
17,long_prompt,vllm_long_prompt,1782183784.49355,1782183786.4399788,1946.4287757873535,1,200,,1592,64,29,1621
16,long_prompt,vllm_long_prompt,1782183784.4926748,1782183786.4678783,1975.203514099121,1,200,,1592,64,29,1621
19,long_prompt,vllm_long_prompt,1782183784.4949675,1782183786.4821043,1987.1368408203125,1,200,,1592,64,29,1621
21,long_prompt,vllm_long_prompt,1782183786.483833,1782183788.410438,1926.604986190796,1,200,,1592,64,29,1621
22,long_prompt,vllm_long_prompt,1782183786.4845,1782183788.439897,1955.397129058838,1,200,,1592,64,29,1621
20,long_prompt,vllm_long_prompt,1782183786.4830818,1782183788.4670446,1983.9627742767334,1,200,,1592,64,29,1621
23,long_prompt,vllm_long_prompt,1782183786.4852662,1782183788.4817834,1996.5171813964844,1,200,,1592,64,29,1621
24,long_prompt,vllm_long_prompt,1782183788.4827712,1782183790.40255,1919.778823852539,1,200,,1592,64,29,1621
25,long_prompt,vllm_long_prompt,1782183788.4835138,1782183790.4302118,1946.6979503631592,1,200,,1592,64,29,1621
26,long_prompt,vllm_long_prompt,1782183788.484205,1782183790.4582741,1974.0691184997559,1,200,,1592,64,29,1621
27,long_prompt,vllm_long_prompt,1782183788.4849644,1782183790.472767,1987.8027439117432,1,200,,1592,64,29,1621
29,long_prompt,vllm_long_prompt,1782183790.4744854,1782183792.4037266,1929.2411804199219,1,200,,1592,64,29,1621
28,long_prompt,vllm_long_prompt,1782183790.473766,1782183792.4315612,1957.7951431274414,1,200,,1592,64,29,1621
30,long_prompt,vllm_long_prompt,1782183790.4751961,1782183792.4590185,1983.8223457336426,1,200,,1592,64,29,1621
31,long_prompt,vllm_long_prompt,1782183790.475972,1782183792.473716,1997.744083404541,1,200,,1592,64,29,1621
32,long_prompt,vllm_long_prompt,1782183792.474296,1782183794.392739,1918.442964553833,1,200,,1592,64,29,1621
33,long_prompt,vllm_long_prompt,1782183792.4747906,1782183794.420457,1945.6663131713867,1,200,,1592,64,29,1621
34,long_prompt,vllm_long_prompt,1782183792.4754496,1782183794.448282,1972.832441329956,1,200,,1592,64,29,1621
35,long_prompt,vllm_long_prompt,1782183792.475886,1782183794.462506,1986.6199493408203,1,200,,1592,64,29,1621
38,long_prompt,vllm_long_prompt,1782183794.4648018,1782183796.3864799,1921.678066253662,1,200,,1592,64,29,1621
36,long_prompt,vllm_long_prompt,1782183794.463357,1782183796.4141316,1950.7746696472168,1,200,,1592,64,29,1621
37,long_prompt,vllm_long_prompt,1782183794.4640632,1782183796.4419549,1977.8916835784912,1,200,,1592,64,29,1621
39,long_prompt,vllm_long_prompt,1782183794.4655526,1782183796.45625,1990.6973838806152,1,200,,1592,64,29,1621
41,long_prompt,vllm_long_prompt,1782183796.4578319,1782183798.381244,1923.4120845794678,1,200,,1592,64,29,1621
40,long_prompt,vllm_long_prompt,1782183796.4571202,1782183798.4090402,1951.9200325012207,1,200,,1592,64,29,1621
43,long_prompt,vllm_long_prompt,1782183796.459283,1782183798.4368477,1977.5645732879639,1,200,,1592,64,29,1621
42,long_prompt,vllm_long_prompt,1782183796.4585185,1782183798.4512935,1992.7749633789062,1,200,,1592,64,29,1621
45,long_prompt,vllm_long_prompt,1782183798.4528944,1782183800.3785431,1925.6486892700195,1,200,,1592,64,29,1621
47,long_prompt,vllm_long_prompt,1782183798.4543147,1782183800.4062638,1951.949119567871,1,200,,1592,64,29,1621
44,long_prompt,vllm_long_prompt,1782183798.4521782,1782183800.434071,1981.8928241729736,1,200,,1592,64,29,1621
46,long_prompt,vllm_long_prompt,1782183798.4535701,1782183800.4482791,1994.7090148925781,1,200,,1592,64,29,1621
48,long_prompt,vllm_long_prompt,1782183800.4491317,1782183802.3757782,1926.6464710235596,1,200,,1592,64,29,1621
49,long_prompt,vllm_long_prompt,1782183800.4498944,1782183802.403637,1953.742504119873,1,200,,1592,64,29,1621
