request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
4,queue_pressure,vllm_queue_pressure,1782182596.8737595,1782182598.69929,1825.5305290222168,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782182596.8747916,1782182598.715949,1841.1574363708496,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1782182596.8656168,1782182598.716767,1851.1502742767334,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782182596.871736,1782182598.716885,1845.149040222168,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782182596.8676538,1782182598.7169676,1849.313735961914,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782182596.8693392,1782182598.7170491,1847.7098941802979,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782182596.875695,1782182598.717289,1841.5939807891846,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782182596.8793433,1782182598.7314825,1852.1392345428467,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782182596.8818219,1782182598.7316053,1849.7834205627441,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782182596.8806927,1782182598.7318041,1851.1114120483398,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782182596.877209,1782182598.7321846,1854.975700378418,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782182596.8825393,1782182598.7322848,1849.745512008667,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782182596.8834388,1782182598.7323728,1848.9339351654053,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782182596.8783762,1782182598.7324433,1854.067087173462,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782182596.8851666,1782182598.7420352,1856.8685054779053,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782182596.8843892,1782182598.7421157,1857.7265739440918,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782182598.7428296,1782182600.4937332,1750.903606414795,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782182598.743026,1782182600.4938688,1750.842809677124,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782182598.7426345,1782182600.5093868,1766.7522430419922,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782182598.7436652,1782182600.5097635,1766.0982608795166,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782182598.7432592,1782182600.5098443,1766.585111618042,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782182598.743428,1782182600.5101218,1766.6938304901123,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782182598.7440624,1782182600.5102062,1766.143798828125,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782182598.7443156,1782182600.5102782,1765.9626007080078,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782182598.7462323,1782182600.5234582,1777.2259712219238,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782182598.7472563,1782182600.524014,1776.7577171325684,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782182598.7465367,1782182600.5240986,1777.561902999878,1,200,,156,96,33,189
