request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782182739.6938014,1782182741.493757,1799.9556064605713,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782182739.7024536,1782182741.5095582,1807.1045875549316,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782182739.6956294,1782182741.5104146,1814.7852420806885,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782182739.6970172,1782182741.5104954,1813.4782314300537,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782182739.6990194,1782182741.5105703,1811.5508556365967,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782182739.7005062,1782182741.5106692,1810.1630210876465,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782182739.704656,1782182741.510734,1806.0781955718994,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782182739.7133214,1782182741.524954,1811.6326332092285,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782182739.7121813,1782182741.5250359,1812.854528427124,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782182739.7061973,1782182741.5251074,1818.9101219177246,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782182739.7084665,1782182741.5251765,1816.7099952697754,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782182739.7094018,1782182741.5252545,1815.8526420593262,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782182739.71025,1782182741.5253253,1815.075397491455,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782182739.7111,1782182741.525383,1814.2828941345215,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782182739.7142277,1782182741.5366135,1822.3857879638672,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782182739.7151797,1782182741.5366979,1821.5181827545166,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782182741.5379221,1782182743.2930362,1755.1140785217285,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782182741.537679,1782182743.2931871,1755.5081844329834,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782182741.5384135,1782182743.3089101,1770.4966068267822,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782182741.5397668,1782182743.309642,1769.8752880096436,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782182741.5372577,1782182743.309917,1772.6593017578125,1,200,,156,96,33,189
