request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
5,queue_pressure,vllm_queue_pressure,1782183075.2534394,1782183077.0800607,1826.6212940216064,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782183075.2481506,1782183077.0984612,1850.3105640411377,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782183075.246784,1782183077.0985653,1851.7813682556152,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1782183075.2447917,1782183077.0986435,1853.8517951965332,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782183075.2505088,1782183077.0987206,1848.2117652893066,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782183075.2549076,1782183077.098804,1843.8963890075684,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782183075.2513309,1782183077.098878,1847.5470542907715,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782183075.26258,1782183077.1136699,1851.0899543762207,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782183075.2563307,1782183077.1138186,1857.4879169464111,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782183075.2617466,1782183077.1140687,1852.3221015930176,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782183075.2592063,1782183077.1144,1855.1936149597168,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782183075.2571554,1782183077.1144986,1857.3431968688965,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782183075.2583306,1782183077.1148663,1856.5356731414795,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782183075.2608995,1782183077.1154935,1854.5939922332764,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782183075.2635407,1782183077.1241333,1860.5926036834717,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782183075.2643423,1782183077.1242836,1859.9412441253662,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782183077.124864,1782183078.8915203,1766.6561603546143,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782183077.1250446,1782183078.9125745,1787.5299453735352,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782183077.1255517,1782183078.912764,1787.2123718261719,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782183077.127932,1782183078.9129052,1784.97314453125,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782183077.1258845,1782183078.9130428,1787.1582508087158,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782183077.1252322,1782183078.913184,1787.9517078399658,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782183077.1263006,1782183078.9133089,1787.008285522461,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782183077.1295424,1782183078.9224708,1792.9284572601318,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782183077.1313832,1782183078.9225633,1791.18013381958,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782183077.1305609,1782183078.9228399,1792.2790050506592,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782183077.1274483,1782183078.9229157,1795.4673767089844,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782183077.130992,1782183078.9229827,1791.9907569885254,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782183077.128408,1782183078.9230492,1794.6412563323975,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782183077.1318164,1782183078.9368377,1805.0212860107422,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782183077.13255,1782183078.936992,1804.4419288635254,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782183077.1322446,1782183078.937129,1804.884433746338,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782183078.9381144,1782183080.6897686,1751.6541481018066,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782183078.9388497,1782183080.7077568,1768.907070159912,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782183078.9391577,1782183080.7079475,1768.7897682189941,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782183078.938435,1782183080.7081137,1769.6785926818848,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782183078.9399877,1782183080.7082534,1768.265724182129,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782183078.9378114,1782183080.7083848,1770.573377609253,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782183078.9404137,1782183080.7087839,1768.3701515197754,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1782183078.9430618,1782183080.7215252,1778.463363647461,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1782183078.942513,1782183080.7217252,1779.212236404419,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782183078.939628,1782183080.7218554,1782.2275161743164,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1782183078.944145,1782183080.7219713,1777.8263092041016,1,200,,156,96,33,189
