request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
6,compute_saturation,vllm_compute_saturation,1781651968.8455617,1781651978.5125065,9666.944742202759,1,200,,115,128,54,169
0,compute_saturation,vllm_compute_saturation,1781651968.8319073,1781651978.5131276,9681.220293045044,1,200,,115,128,54,169
3,compute_saturation,vllm_compute_saturation,1781651968.8375134,1781651978.583768,9746.254444122314,1,200,,115,128,54,169
1,compute_saturation,vllm_compute_saturation,1781651968.8340993,1781651978.584509,9750.409603118896,1,200,,115,128,54,169
7,compute_saturation,vllm_compute_saturation,1781651968.8479571,1781651978.5858448,9737.887620925903,1,200,,115,128,54,169
8,compute_saturation,vllm_compute_saturation,1781651968.8497274,1781651978.5862725,9736.545085906982,1,200,,115,128,54,169
2,compute_saturation,vllm_compute_saturation,1781651968.8361595,1781651978.586464,9750.304460525513,1,200,,115,128,54,169
10,compute_saturation,vllm_compute_saturation,1781651968.8533676,1781651978.5866344,9733.266830444336,1,200,,115,128,63,178
5,compute_saturation,vllm_compute_saturation,1781651968.8423164,1781651978.5872264,9744.91000175476,1,200,,115,128,54,169
9,compute_saturation,vllm_compute_saturation,1781651968.8512325,1781651978.587551,9736.318588256836,1,200,,115,128,54,169
4,compute_saturation,vllm_compute_saturation,1781651968.8393056,1781651978.5878427,9748.537063598633,1,200,,115,128,54,169
15,compute_saturation,vllm_compute_saturation,1781651968.861723,1781651978.6456227,9783.899784088135,1,200,,115,128,54,169
12,compute_saturation,vllm_compute_saturation,1781651968.8571386,1781651978.6461616,9789.02292251587,1,200,,115,128,54,169
16,compute_saturation,vllm_compute_saturation,1781651968.8633978,1781651978.6463108,9782.912969589233,1,200,,115,128,54,169
11,compute_saturation,vllm_compute_saturation,1781651968.8550994,1781651978.6469343,9791.834831237793,1,200,,115,128,54,169
19,compute_saturation,vllm_compute_saturation,1781651968.8665855,1781651978.6473765,9780.79104423523,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1781651968.8586545,1781651978.6475716,9788.917064666748,1,200,,115,128,54,169
17,compute_saturation,vllm_compute_saturation,1781651968.864303,1781651978.6477432,9783.440113067627,1,200,,115,128,54,169
20,compute_saturation,vllm_compute_saturation,1781651968.8674629,1781651978.6479182,9780.455350875854,1,200,,115,128,54,169
14,compute_saturation,vllm_compute_saturation,1781651968.8600848,1781651978.6480699,9787.98508644104,1,200,,115,128,54,169
21,compute_saturation,vllm_compute_saturation,1781651968.8685641,1781651978.7012873,9832.723140716553,1,200,,115,128,54,169
18,compute_saturation,vllm_compute_saturation,1781651968.8657265,1781651978.7017038,9835.97731590271,1,200,,115,128,54,169
22,compute_saturation,vllm_compute_saturation,1781651968.8693905,1781651978.702123,9832.732439041138,1,200,,115,128,54,169
23,compute_saturation,vllm_compute_saturation,1781651968.8710473,1781651978.702392,9831.344842910767,1,200,,115,128,54,169
26,compute_saturation,vllm_compute_saturation,1781651978.7041526,1781651988.3533947,9649.242162704468,1,200,,115,128,54,169
24,compute_saturation,vllm_compute_saturation,1781651978.7033792,1781651988.3536012,9650.222063064575,1,200,,115,128,54,169
