request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1781648616.0937033,1781648619.8615925,3767.8892612457275,1,200,,156,64,23,179
1,healthy,vllm_healthy,1781648619.8623178,1781648623.593964,3731.6462993621826,1,200,,156,64,23,179
2,healthy,vllm_healthy,1781648623.594726,1781648627.3305888,3735.8627319335938,1,200,,156,64,23,179
3,healthy,vllm_healthy,1781648627.3313794,1781648631.091376,3759.9966526031494,1,200,,156,64,55,211
4,healthy,vllm_healthy,1781648631.0928464,1781648634.8222046,3729.358196258545,1,200,,156,64,52,208
5,healthy,vllm_healthy,1781648634.8229496,1781648638.562571,3739.62140083313,1,200,,156,64,23,179
6,healthy,vllm_healthy,1781648638.5632448,1781648642.3056228,3742.377996444702,1,200,,156,64,49,205
7,healthy,vllm_healthy,1781648642.306287,1781648646.448412,4142.124891281128,1,200,,156,64,47,203
8,healthy,vllm_healthy,1781648646.449038,1781648650.1887183,3739.680290222168,1,200,,156,64,47,203
9,healthy,vllm_healthy,1781648650.1893265,1781648653.924757,3735.4304790496826,1,200,,156,64,49,205
10,healthy,vllm_healthy,1781648653.9258676,1781648657.6722586,3746.3910579681396,1,200,,156,64,54,210
11,healthy,vllm_healthy,1781648657.6727579,1781648661.412639,3739.8810386657715,1,200,,156,64,47,203
12,healthy,vllm_healthy,1781648661.4133363,1781648665.1656184,3752.28214263916,1,200,,156,64,55,211
13,healthy,vllm_healthy,1781648665.1663597,1781648668.9114132,3745.05352973938,1,200,,156,64,47,203
14,healthy,vllm_healthy,1781648668.91208,1781648672.6535609,3741.480827331543,1,200,,156,64,54,210
15,healthy,vllm_healthy,1781648672.654185,1781648676.4001985,3746.013402938843,1,200,,156,64,55,211
