request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1781648855.2864537,1781648859.0724661,3786.0124111175537,1,200,,156,64,23,179
1,healthy,vllm_healthy,1781648859.0730312,1781648862.8065817,3733.550548553467,1,200,,156,64,23,179
2,healthy,vllm_healthy,1781648862.8073378,1781648866.5456138,3738.2760047912598,1,200,,156,64,23,179
3,healthy,vllm_healthy,1781648866.5461998,1781648870.3000627,3753.8628578186035,1,200,,156,64,23,179
4,healthy,vllm_healthy,1781648870.3015742,1781648874.0420678,3740.4935359954834,1,200,,156,64,23,179
5,healthy,vllm_healthy,1781648874.042606,1781648877.7897208,3747.114658355713,1,200,,156,64,23,179
6,healthy,vllm_healthy,1781648877.7904487,1781648881.530795,3740.3464317321777,1,200,,156,64,23,179
7,healthy,vllm_healthy,1781648881.531646,1781648885.2731884,3741.542339324951,1,200,,156,64,23,179
8,healthy,vllm_healthy,1781648885.2739358,1781648889.018206,3744.270086288452,1,200,,156,64,23,179
9,healthy,vllm_healthy,1781648889.0190687,1781648892.7498991,3730.830430984497,1,200,,156,64,23,179
10,healthy,vllm_healthy,1781648892.7505596,1781648896.4959762,3745.4166412353516,1,200,,156,64,54,210
11,healthy,vllm_healthy,1781648896.4967563,1781648900.239497,3742.7406311035156,1,200,,156,64,47,203
12,healthy,vllm_healthy,1781648900.2401383,1781648903.9870827,3746.9444274902344,1,200,,156,64,23,179
13,healthy,vllm_healthy,1781648903.988137,1781648907.7373955,3749.258518218994,1,200,,156,64,23,179
14,healthy,vllm_healthy,1781648907.737863,1781648911.4814537,3743.5905933380127,1,200,,156,64,23,179
15,healthy,vllm_healthy,1781648911.482129,1781648915.2272518,3745.1226711273193,1,200,,156,64,23,179
16,healthy,vllm_healthy,1781648915.2279198,1781648918.9707043,3742.7845001220703,1,200,,156,64,55,211
