request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
3,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.0101438,1781652137.0883083,19078.16457748413,1,200,,1592,192,86,1678
0,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.0027008,1781652137.2175937,19214.892864227295,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.005868,1781652137.3472207,19341.352701187134,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.012376,1781652137.4108741,19398.49805831909,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.0154471,1781652137.5364432,19520.99609375,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.0171566,1781652137.6596878,19642.531156539917,1,200,,1592,192,86,1678
2,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.0081031,1781652137.7809467,19772.843599319458,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1781652118.0184927,1781652137.8404408,19821.948051452637,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.8441706,1781652156.899334,19055.163383483887,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.8432922,1781652157.0295115,19186.219215393066,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.8423996,1781652157.1589432,19316.543579101562,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.847524,1781652157.2223027,19374.778747558594,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.841596,1781652157.347769,19506.173133850098,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.848621,1781652157.471555,19622.934103012085,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.8453965,1781652157.5925744,19747.177839279175,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1781652137.8502953,1781652157.6519687,19801.673412322998,1,200,,1592,192,86,1678
