request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.922169,1781652243.9702668,19048.097848892212,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.9246864,1781652244.1020343,19177.347898483276,1,200,,1592,192,86,1678
2,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.9264731,1781652244.2305377,19304.064512252808,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.928459,1781652244.2936144,19365.155458450317,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.9302106,1781652244.419513,19489.302396774292,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.9323404,1781652244.542567,19610.22663116455,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.933864,1781652244.663572,19729.707956314087,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1781652224.93571,1781652244.722263,19786.553144454956,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7255695,1781652263.8935523,19167.982816696167,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7239926,1781652264.0217423,19297.749757766724,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7246833,1781652264.1516805,19426.997184753418,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7233608,1781652264.2152646,19491.90378189087,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7276766,1781652264.3408384,19613.16180229187,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.726735,1781652264.4632819,19736.546754837036,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7310631,1781652264.5845199,19853.456735610962,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1781652244.7300367,1781652264.642516,19912.479162216187,1,200,,1592,192,86,1678
17,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.6459033,1781652283.751504,19105.600595474243,1,200,,1592,192,86,1678
16,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.6449256,1781652283.8810956,19236.170053482056,1,200,,1592,192,86,1678
18,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.646616,1781652284.0106037,19363.987684249878,1,200,,1592,192,86,1678
19,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.6473536,1781652284.0743442,19426.990509033203,1,200,,1592,192,86,1678
21,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.6491117,1781652284.2006125,19551.50079727173,1,200,,1592,192,86,1678
20,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.6483462,1781652284.3263447,19677.998542785645,1,200,,1592,192,86,1678
23,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.651586,1781652284.4470835,19795.49741744995,1,200,,1592,192,86,1678
22,kv_cache_pressure,vllm_kv_cache_pressure,1781652264.6504564,1781652284.5051627,19854.706287384033,1,200,,1592,192,86,1678
26,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.5072756,1781652303.6150756,19107.800006866455,1,200,,1592,192,86,1678
25,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.506748,1781652303.746555,19239.80712890625,1,200,,1592,192,86,1678
27,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.507781,1781652303.8757722,19367.99120903015,1,200,,1592,192,86,1678
31,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.5114074,1781652303.938948,19427.54054069519,1,200,,1592,192,86,1678
24,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.5061843,1781652304.064699,19558.51459503174,1,200,,1592,192,86,1678
29,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.509582,1781652304.1884596,19678.877592086792,1,200,,1592,192,86,1678
30,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.5107691,1781652304.3144276,19803.658485412598,1,200,,1592,192,86,1678
28,kv_cache_pressure,vllm_kv_cache_pressure,1781652284.5088787,1781652304.370064,19861.185312271118,1,200,,1592,192,86,1678
