request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5124433,1781652772.5424955,19030.052185058594,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5207145,1781652772.6714246,19150.710105895996,1,200,,1592,192,86,1678
0,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5091102,1781652772.8006182,19291.507959365845,1,200,,1592,192,86,1678
2,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5144496,1781652772.8645196,19350.069999694824,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5159774,1781652772.9893677,19473.390340805054,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5229764,1781652773.112541,19589.564561843872,1,200,,1592,192,86,1678
7,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5247684,1781652773.2333288,19708.560466766357,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1781652753.5177984,1781652773.292232,19774.433612823486,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.293426,1781652792.2987046,19005.27858734131,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.2987194,1781652792.4279797,19129.260301589966,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.2958608,1781652792.5568676,19261.006832122803,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.2948432,1781652792.6206713,19325.828075408936,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.2943397,1781652792.7460005,19451.660871505737,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.296941,1781652792.8695023,19572.561264038086,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.3022795,1781652792.990528,19688.24863433838,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1781652773.2979476,1781652793.0495245,19751.576900482178,1,200,,1592,192,86,1678
16,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.051356,1781652812.1134088,19062.052726745605,1,200,,1592,192,86,1678
18,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.0535321,1781652812.2427092,19189.1770362854,1,200,,1592,192,86,1678
19,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.0546453,1781652812.3722944,19317.649126052856,1,200,,1592,192,86,1678
22,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.058497,1781652812.4359195,19377.42257118225,1,200,,1592,192,86,1678
17,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.052514,1781652812.561381,19508.867025375366,1,200,,1592,192,86,1678
20,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.056659,1781652812.6845691,19627.910137176514,1,200,,1592,192,86,1678
21,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.0575726,1781652812.8055108,19747.93815612793,1,200,,1592,192,86,1678
23,kv_cache_pressure,vllm_kv_cache_pressure,1781652793.0609643,1781652812.8647466,19803.78222465515,1,200,,1592,192,86,1678
24,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8661525,1781652831.9212031,19055.05061149597,1,200,,1592,192,86,1678
25,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8671417,1781652832.0504727,19183.33101272583,1,200,,1592,192,86,1678
26,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8679495,1781652832.1798723,19311.922788619995,1,200,,1592,192,86,1678
27,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.869118,1781652832.243578,19374.459981918335,1,200,,1592,192,86,1678
28,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8712895,1781652832.3691823,19497.8928565979,1,200,,1592,192,86,1678
29,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8724973,1781652832.4921408,19619.643449783325,1,200,,1592,192,86,1678
30,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8738444,1781652832.6153808,19741.536378860474,1,200,,1592,192,86,1678
31,kv_cache_pressure,vllm_kv_cache_pressure,1781652812.8746402,1781652832.673278,19798.637866973877,1,200,,1592,192,86,1678
