request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,long_prompt,vllm_long_prompt,1781649956.5956337,1781649963.8103874,7214.7536277771,1,200,,1592,64,29,1621
1,long_prompt,vllm_long_prompt,1781649956.598148,1781649963.9323254,7334.177255630493,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1781649956.5996432,1781649964.0532289,7453.585624694824,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1781649956.6026876,1781649964.1122355,7509.54794883728,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1781649964.1132216,1781649971.3159204,7202.698707580566,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1781649964.1139731,1781649971.439392,7325.418949127197,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1781649964.11535,1781649971.5609653,7445.615291595459,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1781649964.1161613,1781649971.6200273,7503.865957260132,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1781649971.6216998,1781649978.821915,7200.215101242065,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1781649971.6234553,1781649978.9452093,7321.753978729248,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1781649971.6211765,1781649979.0672283,7446.051836013794,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1781649971.62247,1781649979.1250844,7502.614498138428,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1781649979.128435,1781649986.3270953,7198.660373687744,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1781649979.12639,1781649986.4491208,7322.730779647827,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1781649979.1273699,1781649986.57039,7443.0201053619385,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1781649979.1295516,1781649986.629684,7500.132322311401,1,200,,1592,64,29,1621
