request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
3,long_prompt,vllm_long_prompt,1781650181.6170876,1781650188.8314836,7214.395999908447,1,200,,1592,64,29,1621
0,long_prompt,vllm_long_prompt,1781650181.6095927,1781650188.9540958,7344.503164291382,1,200,,1592,64,29,1621
1,long_prompt,vllm_long_prompt,1781650181.612415,1781650189.075374,7462.958812713623,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1781650181.6148126,1781650189.1338773,7519.064664840698,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1781650189.1368115,1781650196.3186514,7181.839942932129,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1781650189.1350431,1781650196.4419973,7306.954145431519,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1781650189.135992,1781650196.5617628,7425.7707595825195,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1781650189.1378553,1781650196.620642,7482.786655426025,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1781650196.6225986,1781650203.821276,7198.67730140686,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1781650196.6245675,1781650203.9438381,7319.270610809326,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1781650196.623625,1781650204.0647027,7441.077709197998,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1781650196.6217349,1781650204.1236265,7501.891613006592,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1781650204.12658,1781650211.3222182,7195.638179779053,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1781650204.1249075,1781650211.4442608,7319.353342056274,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1781650204.1257486,1781650211.5654593,7439.71061706543,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1781650204.1276126,1781650211.6251833,7497.570753097534,1,200,,1592,64,29,1621
