request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,long_prompt,vllm_long_prompt,1781650508.3354008,1781650515.5593574,7223.95658493042,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1781650508.3392386,1781650515.6817124,7342.473745346069,1,200,,1592,64,29,1621
1,long_prompt,vllm_long_prompt,1781650508.3369055,1781650515.8039958,7467.090368270874,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1781650508.3380446,1781650515.8621087,7524.064064025879,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1781650515.8639836,1781650523.0377808,7173.797130584717,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1781650515.8635361,1781650523.160296,7296.759843826294,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1781650515.8629634,1781650523.280958,7417.994499206543,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1781650515.8645468,1781650523.3394463,7474.899530410767,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1781650523.3412251,1781650530.531855,7190.629959106445,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1781650523.3407953,1781650530.6547666,7313.971281051636,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1781650523.3403404,1781650530.7753081,7434.967756271362,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1781650523.341881,1781650530.8343601,7492.479085922241,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1781650530.8363092,1781650538.0404031,7204.093933105469,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1781650530.8371534,1781650538.1596727,7322.519302368164,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1781650530.8378925,1781650538.2804718,7442.57926940918,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1781650530.8354104,1781650538.3395848,7504.174470901489,1,200,,1592,64,29,1621
17,long_prompt,vllm_long_prompt,1781650538.3424225,1781650545.550525,7208.102464675903,1,200,,1592,64,29,1621
19,long_prompt,vllm_long_prompt,1781650538.3444462,1781650545.6741507,7329.704523086548,1,200,,1592,64,29,1621
16,long_prompt,vllm_long_prompt,1781650538.3413699,1781650545.7948785,7453.508615493774,1,200,,1592,64,29,1621
18,long_prompt,vllm_long_prompt,1781650538.3434045,1781650545.8539858,7510.581254959106,1,200,,1592,64,29,1621
22,long_prompt,vllm_long_prompt,1781650545.855361,1781650553.1428251,7287.464141845703,1,200,,1592,64,29,1621
21,long_prompt,vllm_long_prompt,1781650545.8549643,1781650553.266418,7411.453723907471,1,200,,1592,64,29,1621
20,long_prompt,vllm_long_prompt,1781650545.8545518,1781650553.3893127,7534.76095199585,1,200,,1592,64,29,1621
23,long_prompt,vllm_long_prompt,1781650545.8557565,1781650553.4491045,7593.348026275635,1,200,,1592,64,29,1621
26,long_prompt,vllm_long_prompt,1781650553.4513154,1781650560.726922,7275.606632232666,1,200,,1592,64,29,1621
25,long_prompt,vllm_long_prompt,1781650553.450588,1781650560.8504066,7399.818658828735,1,200,,1592,64,29,1621
24,long_prompt,vllm_long_prompt,1781650553.4498527,1781650560.9719903,7522.137641906738,1,200,,1592,64,29,1621
27,long_prompt,vllm_long_prompt,1781650553.4520674,1781650561.0312514,7579.184055328369,1,200,,1592,64,29,1621
30,long_prompt,vllm_long_prompt,1781650561.0341644,1781650568.2748933,7240.728855133057,1,200,,1592,64,29,1621
29,long_prompt,vllm_long_prompt,1781650561.0333607,1781650568.3974347,7364.073991775513,1,200,,1592,64,29,1621
31,long_prompt,vllm_long_prompt,1781650561.0352325,1781650568.5188265,7483.593940734863,1,200,,1592,64,29,1621
28,long_prompt,vllm_long_prompt,1781650561.0324273,1781650568.5777743,7545.346975326538,1,200,,1592,64,29,1621
