request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781649331.8137405,1781649338.7884192,6974.678754806519,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781649331.8178127,1781649338.7885766,6970.763921737671,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781649331.8193705,1781649338.8502717,7030.901193618774,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781649331.8250878,1781649338.8509755,7025.887727737427,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781649331.8225765,1781649338.8511846,7028.608083724976,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781649331.816514,1781649338.8512807,7034.766674041748,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781649331.8271048,1781649338.8513527,7024.247884750366,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781649331.815204,1781649338.8516483,7036.444425582886,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781649331.8318825,1781649338.9108534,7078.970909118652,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781649331.8301914,1781649338.911343,7081.151723861694,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781649331.8371058,1781649338.9114993,7074.393510818481,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781649331.834211,1781649338.9119475,7077.736377716064,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781649331.8328679,1781649338.9121222,7079.254388809204,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781649331.8357372,1781649338.9123478,7076.610565185547,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781649331.8383472,1781649338.9695945,7131.247282028198,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781649331.8394198,1781649338.9698386,7130.41877746582,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781649338.9711802,1781649345.9289792,6957.798957824707,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781649338.9709332,1781649345.9291627,6958.229541778564,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781649338.9722328,1781649345.9911253,7018.892526626587,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1781649338.9706078,1781649345.9914596,7020.851850509644,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1781649338.9725146,1781649345.9917703,7019.255638122559,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1781649338.9738135,1781649345.9919446,7018.1310176849365,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1781649338.973476,1781649345.9923837,7018.907785415649,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1781649338.971824,1781649345.9924765,7020.652532577515,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1781649338.9756465,1781649346.0519829,7076.33638381958,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1781649338.9749358,1781649346.0522525,7077.316761016846,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1781649338.974433,1781649346.0523431,7077.9101848602295,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781649338.9730017,1781649346.0525339,7079.532146453857,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1781649338.9773653,1781649346.0527248,7075.359582901001,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1781649338.976747,1781649346.0528204,7076.073408126831,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1781649338.9794405,1781649346.1093225,7129.882097244263,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781649338.9791086,1781649346.1094067,7130.298137664795,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1781649346.1100235,1781649353.0573173,6947.293758392334,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1781649346.1107504,1781649353.0574749,6946.724414825439,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1781649346.1122563,1781649353.1208324,7008.576154708862,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1781649346.1110756,1781649353.121919,7010.843276977539,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1781649346.1116323,1781649353.1220958,7010.46347618103,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1781649346.1102898,1781649353.1222272,7011.937379837036,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1781649346.1131632,1781649353.1226025,7009.43922996521,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1781649346.1105003,1781649353.1228456,7012.345314025879,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1781649346.1155014,1781649353.1799262,7064.424753189087,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1781649346.1144755,1781649353.1804883,7066.012859344482,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1781649346.1165905,1781649353.1805713,7063.9808177948,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1781649346.1162808,1781649353.1808887,7064.607858657837,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1781649346.11131,1781649353.1812823,7069.972276687622,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1781649346.1133432,1781649353.1814477,7068.10450553894,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1781649346.1173415,1781649353.2378445,7120.502948760986,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1781649346.1170685,1781649353.2379303,7120.861768722534,1,200,,156,96,33,189
50,queue_pressure,vllm_queue_pressure,1781649353.2391198,1781649360.2167778,6977.658033370972,1,200,,156,96,33,189
49,queue_pressure,vllm_queue_pressure,1781649353.2388997,1781649360.279821,7040.921211242676,1,200,,156,96,33,189
56,queue_pressure,vllm_queue_pressure,1781649353.242305,1781649360.280644,7038.338899612427,1,200,,156,96,33,189
51,queue_pressure,vllm_queue_pressure,1781649353.239416,1781649360.2811072,7041.691303253174,1,200,,156,96,33,189
48,queue_pressure,vllm_queue_pressure,1781649353.238619,1781649360.2812183,7042.599201202393,1,200,,156,96,33,189
52,queue_pressure,vllm_queue_pressure,1781649353.23971,1781649360.2813585,7041.648387908936,1,200,,156,96,33,189
53,queue_pressure,vllm_queue_pressure,1781649353.2399724,1781649360.2815752,7041.602849960327,1,200,,156,96,33,189
58,queue_pressure,vllm_queue_pressure,1781649353.24344,1781649360.3402512,7096.811294555664,1,200,,156,96,33,189
54,queue_pressure,vllm_queue_pressure,1781649353.2404525,1781649360.3405068,7100.0542640686035,1,200,,156,96,33,189
55,queue_pressure,vllm_queue_pressure,1781649353.2416606,1781649360.3417099,7100.049257278442,1,200,,156,96,33,189
59,queue_pressure,vllm_queue_pressure,1781649353.2440817,1781649360.3418906,7097.808837890625,1,200,,156,96,33,189
62,queue_pressure,vllm_queue_pressure,1781649353.2459204,1781649360.3420525,7096.132040023804,1,200,,156,96,33,189
57,queue_pressure,vllm_queue_pressure,1781649353.2426932,1781649360.3421535,7099.4603633880615,1,200,,156,96,33,189
61,queue_pressure,vllm_queue_pressure,1781649353.245468,1781649360.399657,7154.189109802246,1,200,,156,96,33,189
60,queue_pressure,vllm_queue_pressure,1781649353.2449882,1781649360.4000494,7155.0612449646,1,200,,156,96,33,189
63,queue_pressure,vllm_queue_pressure,1781649353.2467809,1781649360.4003015,7153.520584106445,1,200,,156,96,33,189
65,queue_pressure,vllm_queue_pressure,1781649360.4012585,1781649367.377247,6975.9886264801025,1,200,,156,96,33,189
68,queue_pressure,vllm_queue_pressure,1781649360.402617,1781649367.440325,7037.708044052124,1,200,,156,96,33,189
64,queue_pressure,vllm_queue_pressure,1781649360.4009616,1781649367.4410572,7040.095567703247,1,200,,156,96,33,189
66,queue_pressure,vllm_queue_pressure,1781649360.4014695,1781649367.4412286,7039.759159088135,1,200,,156,96,33,189
70,queue_pressure,vllm_queue_pressure,1781649360.4034567,1781649367.442395,7038.938283920288,1,200,,156,96,33,189
72,queue_pressure,vllm_queue_pressure,1781649360.404283,1781649367.4425886,7038.3055210113525,1,200,,156,96,33,189
67,queue_pressure,vllm_queue_pressure,1781649360.4017441,1781649367.4427142,7040.970087051392,1,200,,156,96,33,189
69,queue_pressure,vllm_queue_pressure,1781649360.4029725,1781649367.5005658,7097.593307495117,1,200,,156,96,33,189
75,queue_pressure,vllm_queue_pressure,1781649360.4063458,1781649367.5012848,7094.9389934539795,1,200,,156,96,98,254
71,queue_pressure,vllm_queue_pressure,1781649360.403863,1781649367.5017807,7097.917795181274,1,200,,156,96,33,189
74,queue_pressure,vllm_queue_pressure,1781649360.4058008,1781649367.5019627,7096.161842346191,1,200,,156,96,33,189
76,queue_pressure,vllm_queue_pressure,1781649360.4066799,1781649367.5022151,7095.5352783203125,1,200,,156,96,33,189
73,queue_pressure,vllm_queue_pressure,1781649360.4052086,1781649367.502317,7097.108364105225,1,200,,156,96,33,189
78,queue_pressure,vllm_queue_pressure,1781649360.4084847,1781649367.5591536,7150.6688594818115,1,200,,156,96,33,189
79,queue_pressure,vllm_queue_pressure,1781649360.408885,1781649367.5593104,7150.425434112549,1,200,,156,96,33,189
77,queue_pressure,vllm_queue_pressure,1781649360.407977,1781649367.5596092,7151.632070541382,1,200,,156,96,33,189
84,queue_pressure,vllm_queue_pressure,1781649367.5616143,1781649374.549076,6987.461805343628,1,200,,156,96,33,189
80,queue_pressure,vllm_queue_pressure,1781649367.560215,1781649374.5493095,6989.094495773315,1,200,,156,96,33,189
82,queue_pressure,vllm_queue_pressure,1781649367.5608494,1781649374.549404,6988.55447769165,1,200,,156,96,33,189
90,queue_pressure,vllm_queue_pressure,1781649367.5660403,1781649374.6109262,7044.885873794556,1,200,,156,96,90,246
85,queue_pressure,vllm_queue_pressure,1781649367.5623822,1781649374.6110559,7048.673629760742,1,200,,156,96,33,189
91,queue_pressure,vllm_queue_pressure,1781649367.5668309,1781649374.6115446,7044.713735580444,1,200,,156,96,33,189
86,queue_pressure,vllm_queue_pressure,1781649367.5629823,1781649374.611613,7048.630714416504,1,200,,156,96,33,189
88,queue_pressure,vllm_queue_pressure,1781649367.5645459,1781649374.6118388,7047.292947769165,1,200,,156,96,33,189
83,queue_pressure,vllm_queue_pressure,1781649367.5612187,1781649374.6119463,7050.727605819702,1,200,,156,96,33,189
92,queue_pressure,vllm_queue_pressure,1781649367.5671272,1781649374.6707814,7103.654146194458,1,200,,156,96,33,189
81,queue_pressure,vllm_queue_pressure,1781649367.5605638,1781649374.6711037,7110.53991317749,1,200,,156,96,33,189
89,queue_pressure,vllm_queue_pressure,1781649367.5649657,1781649374.6718774,7106.911659240723,1,200,,156,96,33,189
93,queue_pressure,vllm_queue_pressure,1781649367.5677714,1781649374.6720467,7104.275226593018,1,200,,156,96,33,189
87,queue_pressure,vllm_queue_pressure,1781649367.5638702,1781649374.672193,7108.322858810425,1,200,,156,96,33,189
94,queue_pressure,vllm_queue_pressure,1781649367.5688007,1781649374.6723297,7103.52897644043,1,200,,156,96,33,189
95,queue_pressure,vllm_queue_pressure,1781649367.569529,1781649374.728435,7158.905982971191,1,200,,156,96,90,246
98,queue_pressure,vllm_queue_pressure,1781649374.7297063,1781649381.6851552,6955.448865890503,1,200,,156,96,97,253
100,queue_pressure,vllm_queue_pressure,1781649374.730334,1781649381.6864896,6956.15553855896,1,200,,156,96,95,251
96,queue_pressure,vllm_queue_pressure,1781649374.7291982,1781649381.74627,7017.071723937988,1,200,,156,96,107,263
97,queue_pressure,vllm_queue_pressure,1781649374.729477,1781649381.7481,7018.623113632202,1,200,,156,96,99,255
105,queue_pressure,vllm_queue_pressure,1781649374.7329063,1781649381.7488244,7015.918016433716,1,200,,156,96,94,250
101,queue_pressure,vllm_queue_pressure,1781649374.7306778,1781649381.7490888,7018.410921096802,1,200,,156,96,86,242
102,queue_pressure,vllm_queue_pressure,1781649374.7315433,1781649381.7493527,7017.8093910217285,1,200,,156,96,90,246
99,queue_pressure,vllm_queue_pressure,1781649374.7299824,1781649381.7496915,7019.70911026001,1,200,,156,96,89,245
106,queue_pressure,vllm_queue_pressure,1781649374.7340007,1781649381.806404,7072.403430938721,1,200,,156,96,78,234
107,queue_pressure,vllm_queue_pressure,1781649374.734918,1781649381.807842,7072.923898696899,1,200,,156,96,94,250
104,queue_pressure,vllm_queue_pressure,1781649374.7323527,1781649381.8080056,7075.652837753296,1,200,,156,96,98,254
109,queue_pressure,vllm_queue_pressure,1781649374.7359128,1781649381.8081427,7072.229862213135,1,200,,156,96,98,254
103,queue_pressure,vllm_queue_pressure,1781649374.731968,1781649381.808606,7076.637983322144,1,200,,156,96,98,254
108,queue_pressure,vllm_queue_pressure,1781649374.7353797,1781649381.8088756,7073.495864868164,1,200,,156,96,94,250
110,queue_pressure,vllm_queue_pressure,1781649374.7365484,1781649381.8646064,7128.057956695557,1,200,,156,96,64,220
111,queue_pressure,vllm_queue_pressure,1781649374.7368517,1781649381.8654659,7128.614187240601,1,200,,156,96,33,189
113,queue_pressure,vllm_queue_pressure,1781649381.8673449,1781649388.8280802,6960.735321044922,1,200,,156,96,58,214
114,queue_pressure,vllm_queue_pressure,1781649381.8678775,1781649388.8282375,6960.360050201416,1,200,,156,96,33,189
118,queue_pressure,vllm_queue_pressure,1781649381.8698204,1781649388.8910832,7021.262884140015,1,200,,156,96,33,189
119,queue_pressure,vllm_queue_pressure,1781649381.8707242,1781649388.8924024,7021.67820930481,1,200,,156,96,33,189
112,queue_pressure,vllm_queue_pressure,1781649381.8665369,1781649388.8931172,7026.580333709717,1,200,,156,96,56,212
115,queue_pressure,vllm_queue_pressure,1781649381.868478,1781649388.893254,7024.775981903076,1,200,,156,96,33,189
117,queue_pressure,vllm_queue_pressure,1781649381.8693101,1781649388.8933372,7024.027109146118,1,200,,156,96,33,189
116,queue_pressure,vllm_queue_pressure,1781649381.8687403,1781649388.893555,7024.814605712891,1,200,,156,96,33,189
122,queue_pressure,vllm_queue_pressure,1781649381.8729863,1781649388.9514158,7078.429460525513,1,200,,156,96,33,189
120,queue_pressure,vllm_queue_pressure,1781649381.8714502,1781649388.9515295,7080.0793170928955,1,200,,156,96,33,189
126,queue_pressure,vllm_queue_pressure,1781649381.8765178,1781649388.951617,7075.099229812622,1,200,,156,96,33,189
123,queue_pressure,vllm_queue_pressure,1781649381.8746102,1781649388.9523919,7077.781677246094,1,200,,156,96,33,189
124,queue_pressure,vllm_queue_pressure,1781649381.8755038,1781649388.9525464,7077.042579650879,1,200,,156,96,33,189
121,queue_pressure,vllm_queue_pressure,1781649381.8719525,1781649388.9526503,7080.697774887085,1,200,,156,96,33,189
125,queue_pressure,vllm_queue_pressure,1781649381.8759377,1781649389.0095053,7133.567571640015,1,200,,156,96,33,189
127,queue_pressure,vllm_queue_pressure,1781649381.8771172,1781649389.0096097,7132.492542266846,1,200,,156,96,33,189
128,queue_pressure,vllm_queue_pressure,1781649389.0102563,1781649396.000208,6989.951610565186,1,200,,156,96,33,189
129,queue_pressure,vllm_queue_pressure,1781649389.010512,1781649396.0658588,7055.346727371216,1,200,,156,96,33,189
131,queue_pressure,vllm_queue_pressure,1781649389.0111516,1781649396.0661688,7055.0172328948975,1,200,,156,96,33,189
132,queue_pressure,vllm_queue_pressure,1781649389.0116367,1781649396.0663552,7054.718494415283,1,200,,156,96,33,189
130,queue_pressure,vllm_queue_pressure,1781649389.0107162,1781649396.0665476,7055.831432342529,1,200,,156,96,33,189
133,queue_pressure,vllm_queue_pressure,1781649389.0119615,1781649396.0671332,7055.171728134155,1,200,,156,96,33,189
134,queue_pressure,vllm_queue_pressure,1781649389.0122864,1781649396.0673914,7055.104970932007,1,200,,156,96,33,189
138,queue_pressure,vllm_queue_pressure,1781649389.0157707,1781649396.1319144,7116.143703460693,1,200,,156,96,33,189
136,queue_pressure,vllm_queue_pressure,1781649389.0140822,1781649396.132183,7118.100881576538,1,200,,156,96,33,189
135,queue_pressure,vllm_queue_pressure,1781649389.0127828,1781649396.132308,7119.525194168091,1,200,,156,96,33,189
140,queue_pressure,vllm_queue_pressure,1781649389.0169024,1781649396.1325028,7115.600347518921,1,200,,156,96,33,189
139,queue_pressure,vllm_queue_pressure,1781649389.016385,1781649396.1326559,7116.2707805633545,1,200,,156,96,33,189
137,queue_pressure,vllm_queue_pressure,1781649389.0153532,1781649396.1331549,7117.801666259766,1,200,,156,96,33,189
142,queue_pressure,vllm_queue_pressure,1781649389.0185697,1781649396.18386,7165.290355682373,1,200,,156,96,33,189
141,queue_pressure,vllm_queue_pressure,1781649389.017449,1781649396.1841567,7166.707754135132,1,200,,156,96,33,189
143,queue_pressure,vllm_queue_pressure,1781649389.019152,1781649396.184352,7165.199995040894,1,200,,156,96,33,189
