request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
12,queue_pressure,vllm_queue_pressure,1781649468.1868637,1781649475.1651301,6978.266477584839,1,200,,156,96,33,189
0,queue_pressure,vllm_queue_pressure,1781649468.1672173,1781649475.1653779,6998.160600662231,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781649468.190876,1781649475.2279725,7037.0965003967285,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781649468.1920543,1781649475.2286203,7036.5660190582275,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781649468.1716306,1781649475.2292464,7057.615756988525,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781649468.1699622,1781649475.2294054,7059.443235397339,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781649468.1730988,1781649475.2296684,7056.569576263428,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781649468.1893942,1781649475.2299578,7040.563583374023,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781649468.1773329,1781649475.289175,7111.842155456543,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781649468.1833272,1781649475.2894628,7106.135606765747,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781649468.1784825,1781649475.289689,7111.206531524658,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781649468.1796074,1781649475.2907407,7111.133337020874,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781649468.185508,1781649475.2909343,7105.42631149292,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781649468.1809905,1781649475.2911253,7110.134840011597,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781649468.1823246,1781649475.345463,7163.138389587402,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781649468.1750433,1781649475.3456163,7170.572996139526,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781649475.347318,1781649482.3114946,6964.176654815674,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781649475.3481712,1781649482.3757539,7027.58264541626,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1781649475.350092,1781649482.3762307,7026.138782501221,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1781649475.3465152,1781649482.3771207,7030.6055545806885,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1781649475.3476794,1781649482.3772717,7029.592275619507,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1781649475.348636,1781649482.3774672,7028.831243515015,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781649475.3469067,1781649482.3776155,7030.708789825439,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1781649475.3513582,1781649482.4364283,7085.0701332092285,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1781649475.3531866,1781649482.436584,7083.397388458252,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1781649475.3548913,1781649482.437331,7082.439661026001,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1781649475.3538105,1781649482.437475,7083.664417266846,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781649475.3493307,1781649482.4376397,7088.309049606323,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1781649475.355408,1781649482.438202,7082.793951034546,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1781649475.3577323,1781649482.4941502,7136.417865753174,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1781649475.3564303,1781649482.4946384,7138.2081508636475,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781649475.3573682,1781649482.4951675,7137.799263000488,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1781649482.4959917,1781649489.468219,6972.227334976196,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1781649482.4964306,1781649489.5326457,7036.21506690979,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1781649482.497984,1781649489.5339673,7035.983324050903,1,200,,156,96,33,189
