request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
5,compute_saturation,vllm_compute_saturation,1781648100.2493675,1781648109.8866954,9637.327909469604,1,200,,115,128,54,169
7,compute_saturation,vllm_compute_saturation,1781648100.2545571,1781648109.9564915,9701.934337615967,1,200,,115,128,54,169
3,compute_saturation,vllm_compute_saturation,1781648100.243669,1781648109.9572296,9713.560581207275,1,200,,115,128,54,169
6,compute_saturation,vllm_compute_saturation,1781648100.2514398,1781648109.958621,9707.181215286255,1,200,,115,128,54,169
9,compute_saturation,vllm_compute_saturation,1781648100.2584321,1781648109.959645,9701.212882995605,1,200,,115,128,54,169
1,compute_saturation,vllm_compute_saturation,1781648100.2402835,1781648109.9607472,9720.463752746582,1,200,,115,128,54,169
4,compute_saturation,vllm_compute_saturation,1781648100.246029,1781648109.9609375,9714.908599853516,1,200,,115,128,54,169
2,compute_saturation,vllm_compute_saturation,1781648100.242049,1781648109.961902,9719.852924346924,1,200,,115,128,54,169
0,compute_saturation,vllm_compute_saturation,1781648100.237695,1781648109.9622877,9724.592685699463,1,200,,115,128,54,169
8,compute_saturation,vllm_compute_saturation,1781648100.257104,1781648109.9626865,9705.582618713379,1,200,,115,128,54,169
14,compute_saturation,vllm_compute_saturation,1781648100.2677746,1781648110.0183697,9750.595092773438,1,200,,115,128,54,169
15,compute_saturation,vllm_compute_saturation,1781648100.2694275,1781648110.0191176,9749.690055847168,1,200,,115,128,54,169
12,compute_saturation,vllm_compute_saturation,1781648100.263969,1781648110.0197442,9755.775213241577,1,200,,115,128,54,169
17,compute_saturation,vllm_compute_saturation,1781648100.2714825,1781648110.0203655,9748.88300895691,1,200,,115,128,54,169
10,compute_saturation,vllm_compute_saturation,1781648100.2606747,1781648110.0207107,9760.035991668701,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1781648100.26633,1781648110.0208313,9754.501342773438,1,200,,115,128,54,169
11,compute_saturation,vllm_compute_saturation,1781648100.2624018,1781648110.0214615,9759.05966758728,1,200,,115,128,54,169
18,compute_saturation,vllm_compute_saturation,1781648100.2736166,1781648110.0216293,9748.012781143188,1,200,,115,128,54,169
16,compute_saturation,vllm_compute_saturation,1781648100.2705185,1781648110.0217938,9751.275300979614,1,200,,115,128,54,169
23,compute_saturation,vllm_compute_saturation,1781648100.2829368,1781648110.077793,9794.856071472168,1,200,,115,128,54,169
19,compute_saturation,vllm_compute_saturation,1781648100.2751315,1781648110.0781887,9803.057193756104,1,200,,115,128,54,169
21,compute_saturation,vllm_compute_saturation,1781648100.2789636,1781648110.078339,9799.375534057617,1,200,,115,128,54,169
22,compute_saturation,vllm_compute_saturation,1781648100.280982,1781648110.078442,9797.460079193115,1,200,,115,128,54,169
20,compute_saturation,vllm_compute_saturation,1781648100.2776544,1781648110.078675,9801.020622253418,1,200,,115,128,67,182
25,compute_saturation,vllm_compute_saturation,1781648110.0800622,1781648119.7055373,9625.47516822815,1,200,,115,128,54,169
26,compute_saturation,vllm_compute_saturation,1781648110.0803702,1781648119.7782395,9697.869300842285,1,200,,115,128,54,169
32,compute_saturation,vllm_compute_saturation,1781648110.0872133,1781648119.778671,9691.457748413086,1,200,,115,128,54,169
33,compute_saturation,vllm_compute_saturation,1781648110.087865,1781648119.7788537,9690.988540649414,1,200,,115,128,54,169
29,compute_saturation,vllm_compute_saturation,1781648110.0828779,1781648119.7790318,9696.15387916565,1,200,,115,128,54,169
27,compute_saturation,vllm_compute_saturation,1781648110.0809445,1781648119.7796903,9698.745727539062,1,200,,115,128,54,169
28,compute_saturation,vllm_compute_saturation,1781648110.0815773,1781648119.780076,9698.498725891113,1,200,,115,128,54,169
24,compute_saturation,vllm_compute_saturation,1781648110.079605,1781648119.7804723,9700.867176055908,1,200,,115,128,54,169
30,compute_saturation,vllm_compute_saturation,1781648110.0839665,1781648119.7812645,9697.298049926758,1,200,,115,128,54,169
31,compute_saturation,vllm_compute_saturation,1781648110.0850515,1781648119.78148,9696.428537368774,1,200,,115,128,54,169
37,compute_saturation,vllm_compute_saturation,1781648110.0910716,1781648119.8382735,9747.201919555664,1,200,,115,128,54,169
41,compute_saturation,vllm_compute_saturation,1781648110.0942287,1781648119.8391192,9744.890451431274,1,200,,115,128,54,169
35,compute_saturation,vllm_compute_saturation,1781648110.0892365,1781648119.8405623,9751.325845718384,1,200,,115,128,54,169
34,compute_saturation,vllm_compute_saturation,1781648110.0885491,1781648119.8407452,9752.196073532104,1,200,,115,128,54,169
40,compute_saturation,vllm_compute_saturation,1781648110.0934954,1781648119.8408878,9747.392416000366,1,200,,115,128,54,169
36,compute_saturation,vllm_compute_saturation,1781648110.0897934,1781648119.841563,9751.769542694092,1,200,,115,128,54,169
39,compute_saturation,vllm_compute_saturation,1781648110.0926063,1781648119.8418758,9749.269485473633,1,200,,115,128,54,169
38,compute_saturation,vllm_compute_saturation,1781648110.0918398,1781648119.8420517,9750.211954116821,1,200,,115,128,54,169
42,compute_saturation,vllm_compute_saturation,1781648110.0972662,1781648119.8421955,9744.929313659668,1,200,,115,128,54,169
45,compute_saturation,vllm_compute_saturation,1781648110.1000934,1781648119.8961146,9796.021223068237,1,200,,115,128,54,169
46,compute_saturation,vllm_compute_saturation,1781648110.100498,1781648119.897436,9796.937942504883,1,200,,115,128,54,169
