request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
7,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.6199841,1781648388.65748,19037.495851516724,1,200,,1592,192,86,1678
0,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.6072736,1781648388.7893941,19182.12056159973,1,200,,1592,192,86,1678
2,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.6109269,1781648388.920749,19309.82208251953,1,200,,1592,192,86,1678
1,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.6093767,1781648388.9857998,19376.423120498657,1,200,,1592,192,86,1678
4,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.6136143,1781648389.1135798,19499.96542930603,1,200,,1592,192,86,1678
5,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.616423,1781648389.2371073,19620.684385299683,1,200,,1592,192,86,1678
3,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.612243,1781648389.3577323,19745.489358901978,1,200,,1592,192,86,1678
6,kv_cache_pressure,vllm_kv_cache_pressure,1781648369.6184077,1781648389.417211,19798.803329467773,1,200,,1592,192,86,1678
10,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.419491,1781648408.4790587,19059.56768989563,1,200,,1592,192,86,1678
11,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.4202487,1781648408.6085832,19188.334465026855,1,200,,1592,192,86,1678
8,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.4182816,1781648408.7386882,19320.406675338745,1,200,,1592,192,86,1678
12,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.4208367,1781648408.8022592,19381.422519683838,1,200,,1592,192,86,1678
15,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.422913,1781648408.92791,19504.99701499939,1,200,,1592,192,86,1678
9,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.418904,1781648409.0517683,19632.864236831665,1,200,,1592,192,86,1678
14,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.4221025,1781648409.1731243,19751.02186203003,1,200,,1592,192,86,1678
13,kv_cache_pressure,vllm_kv_cache_pressure,1781648389.421508,1781648409.2317598,19810.251712799072,1,200,,1592,192,86,1678
