request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
1,long_prompt,vllm_long_prompt,1781647791.9960275,1781647799.2269478,7230.920314788818,1,200,,1592,64,29,1621
0,long_prompt,vllm_long_prompt,1781647791.9936566,1781647799.3505433,7356.886625289917,1,200,,1592,64,29,1621
2,long_prompt,vllm_long_prompt,1781647791.9979174,1781647799.4723005,7474.383115768433,1,200,,1592,64,29,1621
3,long_prompt,vllm_long_prompt,1781647791.999562,1781647799.5309045,7531.342506408691,1,200,,1592,64,29,1621
5,long_prompt,vllm_long_prompt,1781647799.5321283,1781647806.7238724,7191.744089126587,1,200,,1592,64,29,1621
6,long_prompt,vllm_long_prompt,1781647799.532539,1781647806.8479753,7315.436363220215,1,200,,1592,64,29,1621
7,long_prompt,vllm_long_prompt,1781647799.533119,1781647806.9692,7436.0809326171875,1,200,,1592,64,29,1621
4,long_prompt,vllm_long_prompt,1781647799.5316572,1781647807.0298653,7498.208045959473,1,200,,1592,64,29,1621
10,long_prompt,vllm_long_prompt,1781647807.0329895,1781647814.2291906,7196.2010860443115,1,200,,1592,64,29,1621
8,long_prompt,vllm_long_prompt,1781647807.0308633,1781647814.3518114,7320.948123931885,1,200,,1592,64,29,1621
11,long_prompt,vllm_long_prompt,1781647807.0340438,1781647814.4725385,7438.494682312012,1,200,,1592,64,29,1621
9,long_prompt,vllm_long_prompt,1781647807.0319364,1781647814.531543,7499.606609344482,1,200,,1592,64,29,1621
14,long_prompt,vllm_long_prompt,1781647814.53426,1781647821.7269568,7192.696809768677,1,200,,1592,64,29,1621
13,long_prompt,vllm_long_prompt,1781647814.5334427,1781647821.8489938,7315.551042556763,1,200,,1592,64,29,1621
12,long_prompt,vllm_long_prompt,1781647814.5326176,1781647821.9705713,7437.95371055603,1,200,,1592,64,29,1621
15,long_prompt,vllm_long_prompt,1781647814.5352418,1781647822.0293615,7494.119644165039,1,200,,1592,64,29,1621
