request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1781647536.3787544,1781647543.3687668,6990.012407302856,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1781647536.3805795,1781647543.3689408,6988.361358642578,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1781647536.3879786,1781647543.4299722,7041.993618011475,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1781647536.3818696,1781647543.43041,7048.540353775024,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1781647536.3926415,1781647543.430873,7038.231372833252,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1781647536.3940918,1781647543.4312174,7037.125587463379,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1781647536.3838136,1781647543.431321,7047.507286071777,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1781647536.3907871,1781647543.4315147,7040.727615356445,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1781647536.3961506,1781647543.490133,7093.982458114624,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1781647536.398698,1781647543.4908943,7092.196226119995,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1781647536.3977096,1781647543.49099,7093.28031539917,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1781647536.395082,1781647543.4912562,7096.174240112305,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1781647536.4020252,1781647543.491329,7089.303731918335,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1781647536.4011917,1781647543.4915786,7090.386867523193,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1781647536.403469,1781647543.548003,7144.53387260437,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1781647536.4000611,1781647543.5480769,7148.015737533569,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1781647543.5491512,1781647550.5294871,6980.33595085144,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1781647543.5513155,1781647550.5941303,7042.8147315979,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1781647543.552078,1781647550.5944324,7042.354345321655,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1781647543.548518,1781647550.5946975,7046.179533004761,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1781647543.5488737,1781647550.5950644,7046.1907386779785,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1781647543.5498295,1781647550.5957904,7045.960903167725,1,200,,156,96,95,251
19,queue_pressure,vllm_queue_pressure,1781647543.549538,1781647550.596041,7046.503067016602,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1781647543.5555637,1781647550.6547315,7099.167823791504,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1781647543.5516455,1781647550.6548965,7103.250980377197,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1781647543.554032,1781647550.6560533,7102.021217346191,1,200,,156,96,86,242
26,queue_pressure,vllm_queue_pressure,1781647543.555161,1781647550.6564302,7101.269245147705,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1781647543.556059,1781647550.6565824,7100.523471832275,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1781647543.5535662,1781647550.6568558,7103.289604187012,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1781647543.5584998,1781647550.7126188,7154.11901473999,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1781647543.5589156,1781647550.7131383,7154.222726821899,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1781647543.5574417,1781647550.7133071,7155.865430831909,1,200,,156,96,33,189
