baseline,source,scenario,seed,streams,top1_accuracy,ambiguous_rate,premature_stop_rate,re_escalation_rate,profiler_duration_s,kernel_instances,trace_windows
Adaptive live,live,compute_saturation,5101,1,1.0,0.0,0.0,,105.794,88248.0,
Manual long fixed-window live,live,compute_saturation,5101,1,1.0,0.0,0.0,,139.919,154434.0,
Adaptive live,live,compute_saturation,5102,1,1.0,0.0,0.0,,114.169,88248.0,
Manual long fixed-window live,live,compute_saturation,5102,1,1.0,0.0,0.0,,137.483,154434.0,
Adaptive live,live,compute_saturation,5103,1,1.0,0.0,0.0,,116.808,88248.0,
Manual long fixed-window live,live,compute_saturation,5103,1,1.0,0.0,0.0,,137.67,154434.0,
Adaptive live,live,healthy,5101,1,1.0,0.0,0.0,,96.03,63315.0,
Manual long fixed-window live,live,healthy,5101,1,1.0,0.0,0.0,,128.426,112560.0,
Adaptive live,live,healthy,5102,1,1.0,0.0,0.0,,105.524,63315.0,
Manual long fixed-window live,live,healthy,5102,1,1.0,0.0,0.0,,132.324,119595.0,
Adaptive live,live,healthy,5103,1,1.0,0.0,0.0,,99.701,63315.0,
Manual long fixed-window live,live,healthy,5103,1,1.0,0.0,0.0,,131.115,112560.0,
Adaptive live,live,kv_cache_pressure,5101,1,1.0,0.0,0.0,,113.156,82430.0,
Manual long fixed-window live,live,kv_cache_pressure,5101,1,1.0,0.0,0.0,,148.564,164860.0,
Adaptive live,live,kv_cache_pressure,5102,1,1.0,0.0,0.0,,103.604,82430.0,
Manual long fixed-window live,live,kv_cache_pressure,5102,1,1.0,0.0,0.0,,155.115,164860.0,
Adaptive live,live,kv_cache_pressure,5103,1,1.0,0.0,0.0,,112.623,82430.0,
Manual long fixed-window live,live,kv_cache_pressure,5103,1,1.0,0.0,0.0,,145.657,164860.0,
Adaptive live,live,long_output,5101,1,1.0,0.0,0.0,,96.285,97806.0,
Manual long fixed-window live,live,long_output,5101,1,1.0,0.0,0.0,,131.544,195253.0,
Adaptive live,live,long_output,5102,1,1.0,0.0,0.0,,95.626,97806.0,
Manual long fixed-window live,live,long_output,5102,1,1.0,0.0,0.0,,130.794,195612.0,
Adaptive live,live,long_output,5103,1,1.0,0.0,0.0,,99.094,97722.0,
Manual long fixed-window live,live,long_output,5103,1,1.0,0.0,0.0,,134.799,195612.0,
Adaptive live,live,long_prompt,5101,1,1.0,0.0,0.0,,96.345,57556.0,
Manual long fixed-window live,live,long_prompt,5101,1,1.0,0.0,0.0,,125.904,115112.0,
Adaptive live,live,long_prompt,5102,1,1.0,0.0,0.0,,95.198,57556.0,
Manual long fixed-window live,live,long_prompt,5102,1,1.0,0.0,0.0,,129.135,115112.0,
Adaptive live,live,long_prompt,5103,1,1.0,0.0,0.0,,98.824,57556.0,
Manual long fixed-window live,live,long_prompt,5103,1,1.0,0.0,0.0,,125.926,115112.0,
Adaptive live,live,queue_pressure,5101,1,1.0,0.0,0.0,,102.913,97410.0,
Manual long fixed-window live,live,queue_pressure,5101,1,1.0,0.0,0.0,,134.851,174973.0,
Adaptive live,live,queue_pressure,5102,1,1.0,0.0,0.0,,100.794,97410.0,
Manual long fixed-window live,live,queue_pressure,5102,1,1.0,0.0,0.0,,132.572,174973.0,
Adaptive live,live,queue_pressure,5103,1,1.0,0.0,0.0,,105.995,97410.0,
Manual long fixed-window live,live,queue_pressure,5103,1,1.0,0.0,0.0,,135.932,175085.0,
Equal-duration fixed burst replay,offline replay,compute_saturation,5101,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,compute_saturation,5101,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,compute_saturation,5101,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,compute_saturation,5101,1,1.0,,0.0,0.0,39.33,,4.0
Hybrid Stop replay,offline replay,compute_saturation,5101,1,1.0,,0.0,0.0,39.33,,4.0
Equal-duration fixed burst replay,offline replay,compute_saturation,5102,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,compute_saturation,5102,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,compute_saturation,5102,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,compute_saturation,5102,1,1.0,,0.0,0.0,39.371,,4.0
Hybrid Stop replay,offline replay,compute_saturation,5102,1,1.0,,0.0,0.0,39.371,,4.0
Equal-duration fixed burst replay,offline replay,compute_saturation,5103,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,compute_saturation,5103,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,compute_saturation,5103,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,compute_saturation,5103,1,1.0,,0.0,0.0,39.286,,4.0
Hybrid Stop replay,offline replay,compute_saturation,5103,1,1.0,,0.0,0.0,39.286,,4.0
Equal-duration fixed burst replay,offline replay,healthy,5101,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,healthy,5101,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,healthy,5101,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,healthy,5101,1,1.0,,0.0,0.0,33.687,,4.0
Hybrid Stop replay,offline replay,healthy,5101,1,1.0,,0.0,0.0,33.687,,4.0
Equal-duration fixed burst replay,offline replay,healthy,5102,1,1.0,,0.0,1.0,10.0,,1.0
