workload,mode,expected_label,runs,windows,suspicious_windows,match_rate_on_suspicious_or_all,ambiguous_or_unknown_rate,first_correct_window_mean,first_correct_window_stdev,first_correct_window_missing_runs,first_correct_seconds_mean,first_correct_seconds_stdev,first_correct_seconds_missing_runs,profiler_burst_count,profiler_duration_s_total,profiler_duration_s_mean,profiler_kernel_instances_total,profiler_kernel_instances_mean,profiler_kernel_total_time_ns_total,profiler_kernel_total_time_ns_mean,profiler_report_count_total
compute_saturation,automatic,vllm_compute_saturation,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,282.8617043495178,94.28723478317261,996920.0,332306.6666666667,26305149523.0,8768383174.333334,3
compute_saturation,fixed_window,vllm_compute_saturation,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,401.7136723995209,133.90455746650696,1993846.0,664615.3333333334,52711648927.0,17570549642.333332,3
healthy,automatic,vllm_healthy,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,285.2758321762085,95.09194405873616,717570.0,239190.0,11560540728.0,3853513576.0,3
healthy,fixed_window,vllm_healthy,3,21,20,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,400.1114921569824,133.3704973856608,1421070.0,473690.0,22866668327.0,7622222775.666667,3
kv_cache_pressure,automatic,vllm_kv_cache_pressure,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,278.2098295688629,92.73660985628764,741870.0,247290.0,48615686045.0,16205228681.666666,3
kv_cache_pressure,fixed_window,vllm_kv_cache_pressure,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,385.865275144577,128.62175838152567,1483740.0,494580.0,97504514251.0,32501504750.333332,3
long_output,automatic,vllm_long_output,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,306.51033329963684,102.17011109987895,1466922.0,488974.0,15714920800.0,5238306933.333333,3
long_output,fixed_window,vllm_long_output,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,415.4765622615814,138.49218742052713,2639708.0,879902.6666666666,28273405060.0,9424468353.333334,3
long_prompt,automatic,vllm_long_prompt,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,282.2159695625305,94.07198985417683,690672.0,230224.0,57433516550.0,19144505516.666668,3
long_prompt,fixed_window,vllm_long_prompt,3,21,20,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,385.72096848487854,128.5736561616262,1323788.0,441262.6666666667,110478088920.0,36826029640.0,3
queue_pressure,automatic,vllm_queue_pressure,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,283.36800599098206,94.45600199699402,993217.0,331072.3333333333,28870432217.0,9623477405.666666,3
queue_pressure,fixed_window,vllm_queue_pressure,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,3,396.4694697856903,132.15648992856345,1986434.0,662144.6666666666,57830801666.0,19276933888.666668,3
