workload,mode,expected_label,runs,windows,suspicious_windows,expected_label_match_rate,ambiguous_or_unknown_rate,first_correct_window_mean,first_correct_window_stdev,first_correct_window_missing_runs,first_correct_seconds_mean,first_correct_seconds_stdev,first_correct_seconds_missing_runs,auto_fixed_disagreement_rate,profiler_burst_count,profiler_duration_s_total,profiler_duration_s_mean,profiler_kernel_instances_total,profiler_kernel_instances_mean,profiler_kernel_total_time_ns_total,profiler_report_count_total,match_rate_pass,ambiguous_rate_pass,first_correct_pass,overall_pass
compute_saturation,automatic,vllm_compute_saturation,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,336.771,112.257,264744.0,88248.0,26957326120.0,3,True,True,True,True
compute_saturation,fixed_window,vllm_compute_saturation,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,415.072,138.357,463302.0,154434.0,47292750507.0,3,True,True,True,True
healthy,automatic,vllm_healthy,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,301.255,100.418,189945.0,63315.0,10787281456.0,3,True,True,True,True
healthy,fixed_window,vllm_healthy,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,391.865,130.622,344715.0,114905.0,19621315623.0,3,True,True,True,True
kv_cache_pressure,automatic,vllm_kv_cache_pressure,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,329.383,109.794,247290.0,82430.0,56018554832.0,3,True,True,True,True
kv_cache_pressure,fixed_window,vllm_kv_cache_pressure,3,24,24,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,449.337,149.779,494580.0,164860.0,112184528182.0,3,True,True,True,True
long_output,automatic,vllm_long_output,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,291.005,97.002,293334.0,97778.0,9868031706.0,3,True,True,True,True
long_output,fixed_window,vllm_long_output,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,397.137,132.379,586477.0,195492.333,19740156633.0,3,True,True,True,True
long_prompt,automatic,vllm_long_prompt,3,12,9,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.25,3,290.366,96.789,172668.0,57556.0,48441812738.0,3,True,True,True,True
long_prompt,fixed_window,vllm_long_prompt,3,21,19,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.25,3,380.965,126.988,345336.0,115112.0,97140000808.0,3,True,True,True,True
queue_pressure,automatic,vllm_queue_pressure,3,12,12,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,309.702,103.234,292230.0,97410.0,28389473089.0,3,True,True,True,True
queue_pressure,fixed_window,vllm_queue_pressure,3,21,21,1.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,3,403.356,134.452,525031.0,175010.333,51051971660.0,3,True,True,True,True
