mode,workload,expected_label,diagnosis_label,count
automatic,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,12
automatic,healthy,vllm_healthy,vllm_healthy,12
automatic,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,12
automatic,long_output,vllm_long_output,vllm_long_output,12
automatic,long_prompt,vllm_long_prompt,vllm_long_prompt,9
automatic,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,12
fixed_window,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,21
fixed_window,healthy,vllm_healthy,vllm_healthy,21
fixed_window,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,24
fixed_window,long_output,vllm_long_output,vllm_long_output,21
fixed_window,long_prompt,vllm_long_prompt,vllm_long_prompt,19
fixed_window,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,21
