workload,mode,expected_label,runs,windows,suspicious_windows,expected_label_match_rate,ambiguous_or_unknown_rate,first_correct_window_mean,first_correct_window_stdev,first_correct_window_missing_runs,first_correct_seconds_mean,first_correct_seconds_stdev,first_correct_seconds_missing_runs,auto_fixed_disagreement_rate,profiler_burst_count,profiler_duration_s_total,profiler_duration_s_mean,profiler_kernel_instances_total,profiler_kernel_instances_mean,profiler_kernel_total_time_ns_total,profiler_report_count_total,match_rate_pass,ambiguous_rate_pass,first_correct_pass,overall_pass
compute_saturation,automatic,vllm_compute_saturation,1,4,4,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,84.673,84.673,44124.0,44124.0,4473129920.0,1,True,True,True,True
compute_saturation,fixed_window,vllm_compute_saturation,1,5,5,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,94.511,94.511,66186.0,66186.0,6724217160.0,1,True,True,True,True
healthy,automatic,vllm_healthy,1,3,3,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,81.333,81.333,28140.0,28140.0,1590332066.0,1,True,True,True,True
healthy,fixed_window,vllm_healthy,1,5,5,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,90.289,90.289,49245.0,49245.0,2799843858.0,1,True,True,True,True
kv_cache_pressure,automatic,vllm_kv_cache_pressure,1,4,4,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,84.218,84.218,41215.0,41215.0,9324074520.0,1,True,True,True,True
kv_cache_pressure,fixed_window,vllm_kv_cache_pressure,1,7,7,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,102.13,102.13,82430.0,82430.0,18665723932.0,1,True,True,True,True
long_output,automatic,vllm_long_output,1,6,6,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,96.114,96.114,97447.0,97447.0,3254551859.0,1,True,True,True,True
long_output,fixed_window,vllm_long_output,1,6,6,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,96.598,96.598,97806.0,97806.0,3286361406.0,1,True,True,True,True
long_prompt,automatic,vllm_long_prompt,1,3,3,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,76.388,76.388,28778.0,28778.0,8068068828.0,1,True,True,True,True
long_prompt,fixed_window,vllm_long_prompt,1,6,5,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,93.659,93.659,57556.0,57556.0,16156190145.0,1,True,True,True,True
queue_pressure,automatic,vllm_queue_pressure,1,3,3,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,77.345,77.345,38964.0,38964.0,3764029355.0,1,True,True,True,True
queue_pressure,fixed_window,vllm_queue_pressure,1,5,5,1.0,0.0,0.0,0.0,0,6.0,0.0,0,0.0,1,93.872,93.872,77928.0,77928.0,7564880792.0,1,True,True,True,True
