mode,workload,expected_label,diagnosis_label,count
automatic,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,8
automatic,healthy,vllm_healthy,vllm_healthy,6
automatic,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,8
automatic,long_output,vllm_long_output,vllm_long_output,12
automatic,long_prompt,vllm_long_prompt,vllm_long_prompt,6
automatic,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,6
fixed_window,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,10
fixed_window,healthy,vllm_healthy,vllm_healthy,10
fixed_window,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,14
fixed_window,long_output,vllm_long_output,vllm_long_output,12
fixed_window,long_prompt,vllm_long_prompt,vllm_long_prompt,10
fixed_window,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,10
