source,workload,repetitions,automatic_trace_s,fixed_window_trace_s,trace_saved_s,trace_saved_percent,automatic_kernel_instances,fixed_window_kernel_instances,kernel_instances_avoided,kernel_instances_avoided_percent,automatic_success_or_match_rate,fixed_window_success_or_match_rate,p95_latency_ms_automatic,p95_latency_ms_fixed_window,p95_latency_regression_percent,throughput_rps_automatic,throughput_rps_fixed_window,trace_savings_pass,kernel_savings_pass,match_rate_pass,p95_latency_pass,overall_pass
rq1_microbenchmark,compute_bound,5,10.397,16.67,6.273,37.631,454.4,1910.8,1456.4,76.219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
rq1_microbenchmark,launch_overhead_or_small_kernel,5,11.917,23.162,11.245,48.549,154829.8,596429.8,441600.0,74.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
rq1_microbenchmark,mixed,5,10.224,16.807,6.583,39.166,2344.0,10008.0,7664.0,76.579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
rq1_vllm_profiler_savings,queue_pressure,3,103.314,135.069,31.754,23.51,330831.333,661779.667,330948.333,50.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
rq2_vllm_multiclass,compute_saturation,3,282.862,401.714,118.852,29.586,996920.0,1993846.0,996926.0,50.0,1.0,1.0,2402.667,2365.749,1.561,10.154,10.164,True,True,True,True,True
rq2_vllm_multiclass,healthy,3,285.276,400.111,114.836,28.701,717570.0,1421070.0,703500.0,49.505,1.0,1.0,910.879,918.982,-0.882,1.118,1.116,True,True,True,True,True
rq2_vllm_multiclass,kv_cache_pressure,3,278.21,385.865,107.655,27.9,741870.0,1483740.0,741870.0,50.0,1.0,1.0,5117.857,5109.373,0.166,1.566,1.566,True,True,True,True,True
rq2_vllm_multiclass,long_output,3,306.51,415.477,108.966,26.227,1466922.0,2639708.0,1172786.0,44.429,1.0,1.0,7199.396,7206.735,-0.102,0.561,0.562,True,True,True,True,True
rq2_vllm_multiclass,long_prompt,3,282.216,385.721,103.505,26.834,690672.0,1323788.0,633116.0,47.826,1.0,1.0,2004.252,2005.546,-0.065,2.003,2.001,True,True,True,True,True
rq2_vllm_multiclass,queue_pressure,3,283.368,396.469,113.101,28.527,993217.0,1986434.0,993217.0,50.0,1.0,1.0,1827.059,1799.226,1.547,8.934,8.935,True,True,True,True,True
rq2_vllm_multiclass_total,all_vllm_scenarios,18,1718.442,2385.357,666.916,27.959,5607171.0,10848586.0,5241415.0,48.314,1.0,1.0,2393.972,2357.611,1.542,7.801,7.849,True,True,True,True,True
