source,workload,repetitions,automatic_trace_s,fixed_window_trace_s,trace_saved_s,trace_saved_percent,automatic_kernel_instances,fixed_window_kernel_instances,kernel_instances_avoided,kernel_instances_avoided_percent,automatic_profiler_report_count,fixed_window_profiler_report_count,automatic_success_or_match_rate,fixed_window_success_or_match_rate,request_count_automatic,request_count_fixed_window,p50_latency_ms_automatic,p50_latency_ms_fixed_window,p95_latency_ms_automatic,p95_latency_ms_fixed_window,throughput_rps_automatic,throughput_rps_fixed_window,success_rate_automatic,success_rate_fixed_window,prompt_tokens_mean_automatic,prompt_tokens_mean_fixed_window,output_tokens_mean_automatic,output_tokens_mean_fixed_window
rq1_microbenchmark,compute_bound,5,12.412,18.134,5.722,31.556,332.4,1305.2,972.8,74.533,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_microbenchmark,launch_overhead_or_small_kernel,5,12.994,23.993,10.999,45.842,124877.8,477389.8,352512.0,73.842,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_microbenchmark,mixed,5,11.964,18.533,6.569,35.444,1293.0,5928.0,4635.0,78.188,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_vllm_profiler_savings,queue_pressure,3,104.561,133.545,28.983,21.703,97382.0,175338.0,77956.0,44.46,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq2_vllm_multiclass,compute_saturation,3,336.771,415.072,78.301,18.864,264744.0,463302.0,198558.0,42.857,3.0,3.0,1.0,1.0,288.0,504.0,9748.428,9746.396,9812.146,9817.126,2.441,2.441,1.0,1.0,115.0,115.0,64.111,61.113
rq2_vllm_multiclass,healthy,3,301.255,391.865,90.61,23.123,189945.0,344715.0,154770.0,44.898,3.0,3.0,1.0,1.0,27.0,49.0,3742.072,3745.541,3766.836,3806.311,0.267,0.266,1.0,1.0,156.0,156.0,28.963,32.633
rq2_vllm_multiclass,kv_cache_pressure,3,329.383,449.337,119.954,26.696,247290.0,494580.0,247290.0,50.0,3.0,3.0,1.0,1.0,48.0,96.0,19449.806,19445.896,19804.966,19816.853,0.404,0.404,1.0,1.0,1592.0,1592.0,86.0,86.0
rq2_vllm_multiclass,long_output,3,291.005,397.137,106.132,26.724,293334.0,586477.0,293143.0,49.984,3.0,3.0,1.0,1.0,12.0,24.0,30884.885,30905.631,30909.277,30943.009,0.129,0.129,1.0,1.0,198.0,198.0,397.333,398.917
rq2_vllm_multiclass,long_prompt,3,290.366,380.965,90.599,23.781,172668.0,345336.0,172668.0,50.0,3.0,3.0,1.0,1.0,48.0,96.0,7387.886,7402.582,7510.034,7537.282,0.533,0.532,1.0,1.0,1592.0,1592.0,29.0,29.0
rq2_vllm_multiclass,queue_pressure,3,309.702,403.356,93.653,23.219,292230.0,525031.0,232801.0,44.34,3.0,3.0,1.0,1.0,240.0,432.0,7077.207,7072.409,7150.489,7261.554,2.235,2.231,1.0,1.0,156.0,156.0,34.3,41.433
rq2_vllm_multiclass_total,all_vllm_scenarios,18,1858.482,2437.731,579.249,23.762,1460211.0,2759441.0,1299230.0,47.083,18.0,18.0,1.0,1.0,663.0,1201.0,9450.891,9550.528,9541.103,9691.891,1.95,1.915,1.0,1.0,346.878,369.202,56.962,59.045
