request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782186281.9113595,1782186283.7037625,1792.402982711792,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782186281.915481,1782186283.7184038,1802.9227256774902,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782186281.9173918,1782186283.7191916,1801.7997741699219,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782186281.9160252,1782186283.7193477,1803.3225536346436,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782186281.916387,1782186283.7194948,1803.107738494873,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782186281.9168024,1782186283.7195814,1802.778959274292,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782186281.9117897,1782186283.7196598,1807.8701496124268,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782186281.9204988,1782186283.7332008,1812.701940536499,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782186281.9195926,1782186283.7333243,1813.7316703796387,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782186281.918311,1782186283.7334077,1815.0966167449951,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782186281.919983,1782186283.7334733,1813.490390777588,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782186281.9187827,1782186283.7335362,1814.753532409668,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782186281.921252,1782186283.7336087,1812.35671043396,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782186281.9191773,1782186283.733675,1814.497709274292,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782186281.9218924,1782186283.744323,1822.4306106567383,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782186281.9225814,1782186283.7444415,1821.8600749969482,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782186283.7453425,1782186285.4422445,1696.9020366668701,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782186283.7451148,1782186285.4580615,1712.9466533660889,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782186283.7462862,1782186285.4584272,1712.1410369873047,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782186283.746472,1782186285.4585667,1712.094783782959,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782186283.7455323,1782186285.4586709,1713.1385803222656,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782186283.7457685,1782186285.4587395,1712.9709720611572,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782186283.745975,1782186285.4588106,1712.8355503082275,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782186283.7468472,1782186285.471953,1725.1057624816895,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782186283.7473807,1782186285.4720888,1724.708080291748,1,200,,156,96,98,254
24,queue_pressure,vllm_queue_pressure,1782186283.747062,1782186285.4722304,1725.1684665679932,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782186283.7475617,1782186285.4723094,1724.747657775879,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782186283.748083,1782186285.4725955,1724.5123386383057,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782186283.7478695,1782186285.4732516,1725.3820896148682,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782186283.74886,1782186285.4843373,1735.4774475097656,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782186283.748313,1782186285.4844472,1736.1342906951904,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782186283.748532,1782186285.4845173,1735.985279083252,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782186285.485139,1782186287.1785796,1693.4406757354736,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782186285.4860172,1782186287.1948164,1708.799123764038,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782186285.4855795,1782186287.1949053,1709.3257904052734,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782186285.4864728,1782186287.1949832,1708.510398864746,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782186285.4853735,1782186287.19506,1709.686517715454,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782186285.4858081,1782186287.195136,1709.3279361724854,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782186285.4862113,1782186287.1952033,1708.9920043945312,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1782186285.4869251,1782186287.2108915,1723.966360092163,1,200,,156,96,91,247
43,queue_pressure,vllm_queue_pressure,1782186285.4878552,1782186287.2112544,1723.3991622924805,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1782186285.4871495,1782186287.211379,1724.2295742034912,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782186285.4867127,1782186287.2114956,1724.782943725586,1,200,,156,96,33,189
