request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782187275.3863692,1782187277.1879163,1801.5470504760742,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782187275.3910124,1782187277.2023847,1811.3722801208496,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782187275.3873286,1782187277.2027564,1815.4277801513672,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782187275.3883433,1782187277.2028677,1814.5244121551514,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782187275.3915904,1782187277.2029352,1811.344861984253,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782187275.3902638,1782187277.2029989,1812.7350807189941,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782187275.3892717,1782187277.2030547,1813.7829303741455,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782187275.395659,1782187277.216561,1820.9021091461182,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782187275.3939078,1782187277.2166796,1822.7717876434326,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782187275.3934014,1782187277.2167811,1823.3797550201416,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782187275.392799,1782187277.2168489,1824.049949645996,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782187275.392293,1782187277.2169008,1824.6078491210938,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782187275.3949132,1782187277.2169485,1822.035312652588,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782187275.394353,1782187277.2169929,1822.6399421691895,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782187275.396213,1782187277.228058,1831.8450450897217,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782187275.396656,1782187277.228132,1831.4759731292725,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782187277.2285314,1782187278.9199204,1691.3890838623047,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782187277.2291617,1782187278.9359918,1706.8300247192383,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782187277.228995,1782187278.9361153,1707.1201801300049,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782187277.2293608,1782187278.9361985,1706.8376541137695,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782187277.2295682,1782187278.9362636,1706.695318222046,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782187277.229922,1782187278.9363308,1706.4087390899658,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782187277.2287874,1782187278.9364057,1707.618236541748,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782187277.2301574,1782187278.949607,1719.449520111084,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782187277.2297688,1782187278.949717,1719.9482917785645,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782187277.2317872,1782187278.9498384,1718.0511951446533,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782187277.2304688,1782187278.9500337,1719.5649147033691,1,200,,156,96,98,254
26,queue_pressure,vllm_queue_pressure,1782187277.2308352,1782187278.9502666,1719.4314002990723,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782187277.231387,1782187278.9503417,1718.9548015594482,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782187277.2320154,1782187278.9618437,1729.8283576965332,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782187277.2310414,1782187278.9619532,1730.9117317199707,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782187277.2316098,1782187278.9620268,1730.417013168335,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782187278.9625492,1782187280.6520922,1689.5430088043213,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782187278.9637723,1782187280.668735,1704.9627304077148,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782187278.9629722,1782187280.6688607,1705.8885097503662,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782187278.963134,1782187280.6689537,1705.8196067810059,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782187278.9627738,1782187280.6691594,1706.385612487793,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782187278.9633534,1782187280.6694124,1706.0589790344238,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782187278.9635763,1782187280.6694973,1705.920934677124,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782187278.9640229,1782187280.6824667,1718.4438705444336,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1782187278.964536,1782187280.6825826,1718.0466651916504,1,200,,156,96,33,189
