request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782187481.96224,1782187483.3451157,1382.875680923462,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782187481.9718556,1782187483.3635182,1391.66259765625,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782187481.9646869,1782187483.3642786,1399.5916843414307,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782187481.9655826,1782187483.3644385,1398.8559246063232,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782187481.9684048,1782187483.3645024,1396.0976600646973,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782187481.9637408,1782187483.3648586,1401.1178016662598,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782187481.9725733,1782187483.3650339,1392.460584640503,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782187481.9673624,1782187483.3652265,1397.8641033172607,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782187481.9689898,1782187483.3652961,1396.3062763214111,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782187481.9665534,1782187483.3654764,1398.9229202270508,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782187481.9629745,1782187483.3656178,1402.6432037353516,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782187481.9696229,1782187483.3656957,1396.0728645324707,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782187481.970322,1782187483.3657522,1395.430326461792,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782187481.9708533,1782187483.3658154,1394.9620723724365,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782187481.967945,1782187483.3658755,1397.930383682251,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782187481.971269,1782187483.3659303,1394.6614265441895,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782187483.3665116,1782187484.7623115,1395.7998752593994,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782187483.3671136,1782187484.7834911,1416.3775444030762,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782187483.3695126,1782187484.7856376,1416.1250591278076,1,200,,156,96,89,245
26,queue_pressure,vllm_queue_pressure,1782187483.3685682,1782187484.7857714,1417.2031879425049,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782187483.3691564,1782187484.7860906,1416.9342517852783,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782187483.3690171,1782187484.7866387,1417.6216125488281,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782187483.3687844,1782187484.7869415,1418.1571006774902,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782187483.3675473,1782187484.7872574,1419.7101593017578,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782187483.3677943,1782187484.787372,1419.5778369903564,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782187483.367293,1782187484.7874768,1420.1838970184326,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782187483.3667798,1782187484.7876198,1420.8400249481201,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782187483.3679724,1782187484.7877371,1419.764757156372,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782187483.3698044,1782187484.7878468,1418.0424213409424,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782187483.3683977,1782187484.7880216,1419.623851776123,1,200,,156,96,95,251
18,queue_pressure,vllm_queue_pressure,1782187483.3669553,1782187484.7881315,1421.1761951446533,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782187483.3681636,1782187484.7882307,1420.0670719146729,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782187484.7891572,1782187486.1846833,1395.5261707305908,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1782187484.7923477,1782187486.2065773,1414.2296314239502,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1782187484.7938979,1782187486.2075748,1413.6769771575928,1,200,,156,96,89,245
39,queue_pressure,vllm_queue_pressure,1782187484.7912302,1782187486.207894,1416.6638851165771,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1782187484.7919893,1782187486.2079988,1416.0094261169434,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782187484.7908025,1782187486.208127,1417.3245429992676,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782187484.79014,1782187486.2091286,1418.9887046813965,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1782187484.7942686,1782187486.2092414,1414.9727821350098,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1782187484.794964,1782187486.2093434,1414.379358291626,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782187484.7888074,1782187486.209458,1420.6507205963135,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782187484.7898018,1782187486.2095668,1419.7649955749512,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1782187484.7931786,1782187486.209714,1416.5353775024414,1,200,,156,96,94,250
37,queue_pressure,vllm_queue_pressure,1782187484.7904167,1782187486.209841,1419.424295425415,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1782187484.7927756,1782187486.209953,1417.177438735962,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782187484.7894928,1782187486.2100563,1420.5634593963623,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1782187484.7916155,1782187486.2101648,1418.5492992401123,1,200,,156,96,89,245
