request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782187476.579578,1782187478.4158409,1836.2629413604736,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782187476.583726,1782187478.4315283,1847.8024005889893,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782187476.5829268,1782187478.4317954,1848.8686084747314,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782187476.5803869,1782187478.4319663,1851.5794277191162,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782187476.5820274,1782187478.4320905,1850.0630855560303,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782187476.5812023,1782187478.4321616,1850.959300994873,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782187476.5845976,1782187478.432222,1847.6243019104004,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782187476.5858383,1782187478.4460485,1860.2101802825928,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782187476.585371,1782187478.4461267,1860.7556819915771,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782187476.5886488,1782187478.4461896,1857.5408458709717,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782187476.588019,1782187478.446258,1858.2391738891602,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782187476.5874972,1782187478.4463086,1858.811378479004,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782187476.5863512,1782187478.4463797,1860.0285053253174,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782187476.5869641,1782187478.4464362,1859.4720363616943,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782187476.5896437,1782187478.4574006,1867.7568435668945,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782187476.589158,1782187478.4574778,1868.3197498321533,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782187478.4580827,1782187480.1607845,1702.7018070220947,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782187478.460064,1782187480.176439,1716.3751125335693,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782187478.4584954,1782187480.1765406,1718.0452346801758,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782187478.4592092,1782187480.1767766,1717.5674438476562,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782187478.4594262,1782187480.1770315,1717.6053524017334,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782187478.458793,1782187480.1771207,1718.3277606964111,1,200,,156,96,33,189
