request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782187679.752671,1782187681.1867173,1434.0462684631348,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782187679.7571309,1782187681.2069983,1449.8674869537354,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782187679.7562978,1782187681.2072482,1450.9503841400146,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782187679.7597077,1782187681.2073677,1447.659969329834,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782187679.7585797,1782187681.207572,1448.9922523498535,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782187679.7535448,1782187681.2076366,1454.0917873382568,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782187679.7631729,1782187681.2078207,1444.6477890014648,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782187679.7548313,1782187681.2082074,1453.376054763794,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782187679.760461,1782187681.2083945,1447.9334354400635,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782187679.7556307,1782187681.208457,1452.8262615203857,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782187679.7576747,1782187681.2085261,1450.8514404296875,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782187679.761401,1782187681.2086704,1447.2694396972656,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782187679.75923,1782187681.2087545,1449.5246410369873,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782187679.762444,1782187681.215546,1453.1018733978271,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782187679.7639062,1782187681.2157085,1451.8022537231445,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782187679.7645824,1782187681.2157834,1451.2009620666504,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782187681.2163436,1782187682.6064699,1390.1262283325195,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782187681.216556,1782187682.6066504,1390.09428024292,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782187681.2173002,1782187682.6265721,1409.2719554901123,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782187681.219054,1782187682.6272187,1408.1647396087646,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782187681.2175035,1782187682.627431,1409.9273681640625,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782187681.217912,1782187682.6276164,1409.7044467926025,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782187681.2201004,1782187682.627689,1407.5884819030762,1,200,,156,96,89,245
20,queue_pressure,vllm_queue_pressure,1782187681.2171056,1782187682.6277597,1410.654067993164,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782187681.2167256,1782187682.6278381,1411.1125469207764,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782187681.2186918,1782187682.6279097,1409.2178344726562,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782187681.2168763,1782187682.62797,1411.0937118530273,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782187681.2181191,1782187682.6280243,1409.905195236206,1,200,,156,96,95,251
23,queue_pressure,vllm_queue_pressure,1782187681.2176957,1782187682.6281872,1410.4914665222168,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782187681.2204883,1782187682.6284156,1407.9272747039795,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782187681.2184207,1782187682.6284926,1410.071849822998,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782187681.2197645,1782187682.6285496,1408.785104751587,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782187682.6293082,1782187684.0227466,1393.4383392333984,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782187682.6296508,1782187684.0460908,1416.4400100708008,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782187682.629822,1782187684.046609,1416.7869091033936,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782187682.6303535,1782187684.0467198,1416.3663387298584,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1782187682.6305482,1782187684.0468516,1416.3033962249756,1,200,,156,96,89,245
45,queue_pressure,vllm_queue_pressure,1782187682.6318192,1782187684.0477304,1415.9111976623535,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782187682.6301699,1782187684.0479217,1417.7517890930176,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1782187682.6311011,1782187684.0482502,1417.1490669250488,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1782187682.6321735,1782187684.0483768,1416.203260421753,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1782187682.632358,1782187684.0484881,1416.1300659179688,1,200,,156,96,33,189
37,queue_pressure,vllm_queue_pressure,1782187682.6299772,1782187684.0486102,1418.632984161377,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1782187682.6316123,1782187684.0487292,1417.1168804168701,1,200,,156,96,94,250
43,queue_pressure,vllm_queue_pressure,1782187682.6313856,1782187684.04884,1417.454481124878,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782187682.6294901,1782187684.0491312,1419.6410179138184,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782187682.629111,1782187684.049227,1420.1159477233887,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1782187682.6309195,1782187684.049318,1418.3986186981201,1,200,,156,96,33,189
52,queue_pressure,vllm_queue_pressure,1782187684.0512555,1782187685.4562657,1405.0102233886719,1,200,,156,96,33,189
49,queue_pressure,vllm_queue_pressure,1782187684.050285,1782187685.478919,1428.6339282989502,1,200,,156,96,97,253
48,queue_pressure,vllm_queue_pressure,1782187684.0499682,1782187685.4790614,1429.0931224822998,1,200,,156,96,89,245
50,queue_pressure,vllm_queue_pressure,1782187684.0506065,1782187685.4791892,1428.5826683044434,1,200,,156,96,91,247
57,queue_pressure,vllm_queue_pressure,1782187684.0536795,1782187685.4793053,1425.6258010864258,1,200,,156,96,33,189
54,queue_pressure,vllm_queue_pressure,1782187684.0522423,1782187685.4794166,1427.1743297576904,1,200,,156,96,89,245
51,queue_pressure,vllm_queue_pressure,1782187684.0509765,1782187685.4795427,1428.5662174224854,1,200,,156,96,33,189
53,queue_pressure,vllm_queue_pressure,1782187684.0517495,1782187685.4800549,1428.3053874969482,1,200,,156,96,33,189
58,queue_pressure,vllm_queue_pressure,1782187684.0542445,1782187685.4801624,1425.9178638458252,1,200,,156,96,33,189
62,queue_pressure,vllm_queue_pressure,1782187684.0560944,1782187685.4802675,1424.17311668396,1,200,,156,96,33,189
56,queue_pressure,vllm_queue_pressure,1782187684.0531607,1782187685.4803932,1427.2325038909912,1,200,,156,96,33,189
55,queue_pressure,vllm_queue_pressure,1782187684.0525608,1782187685.4806383,1428.0774593353271,1,200,,156,96,98,254
61,queue_pressure,vllm_queue_pressure,1782187684.0558162,1782187685.480755,1424.9389171600342,1,200,,156,96,33,189
60,queue_pressure,vllm_queue_pressure,1782187684.0554912,1782187685.4808545,1425.363302230835,1,200,,156,96,33,189
59,queue_pressure,vllm_queue_pressure,1782187684.0546646,1782187685.480972,1426.3074398040771,1,200,,156,96,98,254
63,queue_pressure,vllm_queue_pressure,1782187684.0565038,1782187685.4837935,1427.2897243499756,1,200,,156,96,33,189
64,queue_pressure,vllm_queue_pressure,1782187685.484405,1782187686.874896,1390.491008758545,1,200,,156,96,33,189
67,queue_pressure,vllm_queue_pressure,1782187685.4853694,1782187686.8934674,1408.0979824066162,1,200,,156,96,33,189
65,queue_pressure,vllm_queue_pressure,1782187685.4847422,1782187686.8941925,1409.4502925872803,1,200,,156,96,33,189
71,queue_pressure,vllm_queue_pressure,1782187685.4869094,1782187686.894375,1407.4656963348389,1,200,,156,96,33,189
69,queue_pressure,vllm_queue_pressure,1782187685.486239,1782187686.894497,1408.2579612731934,1,200,,156,96,33,189
72,queue_pressure,vllm_queue_pressure,1782187685.4872794,1782187686.894617,1407.3376655578613,1,200,,156,96,33,189
68,queue_pressure,vllm_queue_pressure,1782187685.4859035,1782187686.8947227,1408.8191986083984,1,200,,156,96,33,189
66,queue_pressure,vllm_queue_pressure,1782187685.485087,1782187686.8948145,1409.7275733947754,1,200,,156,96,33,189
70,queue_pressure,vllm_queue_pressure,1782187685.4865372,1782187686.8949275,1408.3902835845947,1,200,,156,96,89,245
77,queue_pressure,vllm_queue_pressure,1782187685.4893036,1782187686.9071784,1417.874813079834,1,200,,156,96,33,189
