request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782187792.9039457,1782187794.3294904,1425.5447387695312,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782187792.9106495,1782187794.352956,1442.3065185546875,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782187792.9062772,1782187794.3530624,1446.7852115631104,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782187792.9133737,1782187794.3531382,1439.7644996643066,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782187792.9140399,1782187794.3535006,1439.4607543945312,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782187792.9080093,1782187794.3535588,1445.549488067627,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782187792.9084437,1782187794.353629,1445.1854228973389,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782187792.905399,1782187794.3536966,1448.2975006103516,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782187792.909721,1782187794.3537648,1444.0438747406006,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782187792.908923,1782187794.354059,1445.1360702514648,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782187792.9127963,1782187794.3541386,1441.3423538208008,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782187792.904669,1782187794.3541918,1449.5227336883545,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782187792.9120631,1782187794.3542428,1442.1796798706055,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782187792.914834,1782187794.354303,1439.4688606262207,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782187792.907387,1782187794.3543577,1446.9707012176514,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782187792.9110897,1782187794.3544223,1443.3326721191406,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782187794.3550763,1782187795.7532017,1398.125410079956,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782187794.3574436,1782187795.7726715,1415.2278900146484,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782187794.3581135,1782187795.7729383,1414.8247241973877,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782187794.3586354,1782187795.773415,1414.7796630859375,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782187794.3577929,1782187795.7736394,1415.846586227417,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782187794.358968,1782187795.7737813,1414.8132801055908,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782187794.3567288,1782187795.773862,1417.133092880249,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782187794.3554394,1782187795.773928,1418.4885025024414,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782187794.3560622,1782187795.7740133,1417.9511070251465,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782187794.3562415,1782187795.7740874,1417.8459644317627,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782187794.3564804,1782187795.7741523,1417.6719188690186,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782187794.357097,1782187795.7744265,1417.3295497894287,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782187794.3557694,1782187795.7745085,1418.7390804290771,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782187794.3600996,1782187795.783349,1423.2494831085205,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782187794.3593364,1782187795.7835386,1424.2022037506104,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782187794.359705,1782187795.7836971,1423.9921569824219,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782187795.7848346,1782187797.1803067,1395.4720497131348,1,200,,156,96,33,189
43,queue_pressure,vllm_queue_pressure,1782187795.7898114,1782187797.2011108,1411.299467086792,1,200,,156,96,33,189
40,queue_pressure,vllm_queue_pressure,1782187795.7878323,1782187797.2013462,1413.5138988494873,1,200,,156,96,33,189
38,queue_pressure,vllm_queue_pressure,1782187795.7868059,1782187797.201426,1414.6201610565186,1,200,,156,96,33,189
35,queue_pressure,vllm_queue_pressure,1782187795.7857478,1782187797.2015047,1415.7569408416748,1,200,,156,96,33,189
34,queue_pressure,vllm_queue_pressure,1782187795.785304,1782187797.2015774,1416.2733554840088,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782187795.7843354,1782187797.2016578,1417.3223972320557,1,200,,156,96,33,189
41,queue_pressure,vllm_queue_pressure,1782187795.7884123,1782187797.2017357,1413.3234024047852,1,200,,156,96,33,189
42,queue_pressure,vllm_queue_pressure,1782187795.789415,1782187797.2018094,1412.3945236206055,1,200,,156,96,33,189
44,queue_pressure,vllm_queue_pressure,1782187795.7903757,1782187797.201871,1411.4952087402344,1,200,,156,96,33,189
46,queue_pressure,vllm_queue_pressure,1782187795.7917085,1782187797.2019324,1410.2239608764648,1,200,,156,96,33,189
47,queue_pressure,vllm_queue_pressure,1782187795.7920544,1782187797.2019954,1409.9409580230713,1,200,,156,96,33,189
45,queue_pressure,vllm_queue_pressure,1782187795.7909844,1782187797.2020593,1411.0748767852783,1,200,,156,96,89,245
37,queue_pressure,vllm_queue_pressure,1782187795.7864888,1782187797.2021153,1415.6265258789062,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782187795.7861173,1782187797.2022448,1416.1274433135986,1,200,,156,96,33,189
39,queue_pressure,vllm_queue_pressure,1782187795.7874308,1782187797.2023022,1414.8714542388916,1,200,,156,96,33,189
48,queue_pressure,vllm_queue_pressure,1782187797.2026584,1782187798.5832567,1380.5983066558838,1,200,,156,96,33,189
61,queue_pressure,vllm_queue_pressure,1782187797.2057724,1782187798.6029422,1397.169828414917,1,200,,156,96,33,189
53,queue_pressure,vllm_queue_pressure,1782187797.203666,1782187798.6030543,1399.388313293457,1,200,,156,96,33,189
57,queue_pressure,vllm_queue_pressure,1782187797.2046323,1782187798.603857,1399.2247581481934,1,200,,156,96,33,189
62,queue_pressure,vllm_queue_pressure,1782187797.2060044,1782187798.6040845,1398.0801105499268,1,200,,156,96,33,189
63,queue_pressure,vllm_queue_pressure,1782187797.2062159,1782187798.6041608,1397.9449272155762,1,200,,156,96,33,189
51,queue_pressure,vllm_queue_pressure,1782187797.203274,1782187798.6042397,1400.965690612793,1,200,,156,96,33,189
58,queue_pressure,vllm_queue_pressure,1782187797.2050695,1782187798.6043055,1399.2359638214111,1,200,,156,96,33,189
59,queue_pressure,vllm_queue_pressure,1782187797.2052987,1782187798.6043723,1399.073600769043,1,200,,156,96,33,189
56,queue_pressure,vllm_queue_pressure,1782187797.2042458,1782187798.6044471,1400.2013206481934,1,200,,156,96,33,189
49,queue_pressure,vllm_queue_pressure,1782187797.2029,1782187798.6045141,1401.6141891479492,1,200,,156,96,89,245
55,queue_pressure,vllm_queue_pressure,1782187797.2040567,1782187798.6045783,1400.5215167999268,1,200,,156,96,33,189
60,queue_pressure,vllm_queue_pressure,1782187797.205611,1782187798.6046515,1399.0404605865479,1,200,,156,96,33,189
52,queue_pressure,vllm_queue_pressure,1782187797.2034545,1782187798.6047177,1401.2632369995117,1,200,,156,96,33,189
54,queue_pressure,vllm_queue_pressure,1782187797.203859,1782187798.604786,1400.9268283843994,1,200,,156,96,33,189
50,queue_pressure,vllm_queue_pressure,1782187797.2031033,1782187798.6048498,1401.7465114593506,1,200,,156,96,94,250
67,queue_pressure,vllm_queue_pressure,1782187798.605807,1782187799.9897828,1383.9757442474365,1,200,,156,96,33,189
64,queue_pressure,vllm_queue_pressure,1782187798.6052186,1782187800.0118668,1406.6481590270996,1,200,,156,96,33,189
70,queue_pressure,vllm_queue_pressure,1782187798.6065006,1782187800.0125813,1406.080722808838,1,200,,156,96,33,189
71,queue_pressure,vllm_queue_pressure,1782187798.6067266,1782187800.0133352,1406.6085815429688,1,200,,156,96,33,189
75,queue_pressure,vllm_queue_pressure,1782187798.6077204,1782187800.013742,1406.0215950012207,1,200,,156,96,33,189
74,queue_pressure,vllm_queue_pressure,1782187798.607516,1782187800.014062,1406.545877456665,1,200,,156,96,33,189
78,queue_pressure,vllm_queue_pressure,1782187798.6084068,1782187800.014163,1405.7562351226807,1,200,,156,96,33,189
69,queue_pressure,vllm_queue_pressure,1782187798.6062381,1782187800.0142632,1408.0250263214111,1,200,,156,96,33,189
79,queue_pressure,vllm_queue_pressure,1782187798.6085982,1782187800.014369,1405.7707786560059,1,200,,156,96,33,189
66,queue_pressure,vllm_queue_pressure,1782187798.6056228,1782187800.0144756,1408.8528156280518,1,200,,156,96,33,189
77,queue_pressure,vllm_queue_pressure,1782187798.6080816,1782187800.0145652,1406.4836502075195,1,200,,156,96,33,189
76,queue_pressure,vllm_queue_pressure,1782187798.6078973,1782187800.0146852,1406.7878723144531,1,200,,156,96,33,189
68,queue_pressure,vllm_queue_pressure,1782187798.6060448,1782187800.0150793,1409.0344905853271,1,200,,156,96,33,189
72,queue_pressure,vllm_queue_pressure,1782187798.6069303,1782187800.0151982,1408.2679748535156,1,200,,156,96,33,189
73,queue_pressure,vllm_queue_pressure,1782187798.6072068,1782187800.015293,1408.0860614776611,1,200,,156,96,33,189
65,queue_pressure,vllm_queue_pressure,1782187798.605425,1782187800.0153985,1409.9736213684082,1,200,,156,96,33,189
81,queue_pressure,vllm_queue_pressure,1782187800.0163407,1782187801.4053164,1388.9756202697754,1,200,,156,96,33,189
80,queue_pressure,vllm_queue_pressure,1782187800.0160036,1782187801.423965,1407.961368560791,1,200,,156,96,33,189
86,queue_pressure,vllm_queue_pressure,1782187800.0178568,1782187801.4240587,1406.2018394470215,1,200,,156,96,33,189
85,queue_pressure,vllm_queue_pressure,1782187800.0175376,1782187801.42427,1406.7323207855225,1,200,,156,96,33,189
93,queue_pressure,vllm_queue_pressure,1782187800.020962,1782187801.4243584,1403.3963680267334,1,200,,156,96,33,189
92,queue_pressure,vllm_queue_pressure,1782187800.02058,1782187801.4245439,1403.9638042449951,1,200,,156,96,33,189
88,queue_pressure,vllm_queue_pressure,1782187800.0190213,1782187801.4248605,1405.839204788208,1,200,,156,96,33,189
91,queue_pressure,vllm_queue_pressure,1782187800.0202608,1782187801.42492,1404.6592712402344,1,200,,156,96,33,189
95,queue_pressure,vllm_queue_pressure,1782187800.0218873,1782187801.4249866,1403.0992984771729,1,200,,156,96,90,246
89,queue_pressure,vllm_queue_pressure,1782187800.019532,1782187801.4251566,1405.6246280670166,1,200,,156,96,33,189
94,queue_pressure,vllm_queue_pressure,1782187800.0214443,1782187801.4256809,1404.2365550994873,1,200,,156,96,33,189
90,queue_pressure,vllm_queue_pressure,1782187800.0199962,1782187801.4257615,1405.7652950286865,1,200,,156,96,90,246
84,queue_pressure,vllm_queue_pressure,1782187800.0172286,1782187801.425824,1408.595323562622,1,200,,156,96,33,189
82,queue_pressure,vllm_queue_pressure,1782187800.0166645,1782187801.4258933,1409.228801727295,1,200,,156,96,33,189
83,queue_pressure,vllm_queue_pressure,1782187800.0169408,1782187801.4259608,1409.019947052002,1,200,,156,96,33,189
87,queue_pressure,vllm_queue_pressure,1782187800.018278,1782187801.4261608,1407.8829288482666,1,200,,156,96,33,189
97,queue_pressure,vllm_queue_pressure,1782187801.427133,1782187802.81033,1383.1968307495117,1,200,,156,96,33,189
108,queue_pressure,vllm_queue_pressure,1782187801.4294155,1782187802.8291056,1399.6901512145996,1,200,,156,96,89,245
96,queue_pressure,vllm_queue_pressure,1782187801.4269001,1782187802.8293414,1402.4412631988525,1,200,,156,96,102,258
102,queue_pressure,vllm_queue_pressure,1782187801.4280975,1782187802.8294306,1401.3330936431885,1,200,,156,96,89,245
99,queue_pressure,vllm_queue_pressure,1782187801.4275491,1782187802.830019,1402.4698734283447,1,200,,156,96,95,251
105,queue_pressure,vllm_queue_pressure,1782187801.428797,1782187802.830399,1401.602029800415,1,200,,156,96,89,245
109,queue_pressure,vllm_queue_pressure,1782187801.4297502,1782187802.830485,1400.7349014282227,1,200,,156,96,90,246
110,queue_pressure,vllm_queue_pressure,1782187801.4299753,1782187802.830556,1400.580644607544,1,200,,156,96,64,220
107,queue_pressure,vllm_queue_pressure,1782187801.4292312,1782187802.830647,1401.4158248901367,1,200,,156,96,90,246
111,queue_pressure,vllm_queue_pressure,1782187801.4303558,1782187802.8307152,1400.3593921661377,1,200,,156,96,33,189
98,queue_pressure,vllm_queue_pressure,1782187801.4273455,1782187802.8307774,1403.4318923950195,1,200,,156,96,89,245
101,queue_pressure,vllm_queue_pressure,1782187801.4279265,1782187802.8308468,1402.9202461242676,1,200,,156,96,86,242
106,queue_pressure,vllm_queue_pressure,1782187801.4290524,1782187802.8309152,1401.8628597259521,1,200,,156,96,98,254
103,queue_pressure,vllm_queue_pressure,1782187801.4282947,1782187802.8309755,1402.6808738708496,1,200,,156,96,98,254
104,queue_pressure,vllm_queue_pressure,1782187801.4285958,1782187802.8310375,1402.4417400360107,1,200,,156,96,93,249
100,queue_pressure,vllm_queue_pressure,1782187801.427734,1782187802.8310995,1403.3656120300293,1,200,,156,96,94,250
113,queue_pressure,vllm_queue_pressure,1782187802.831963,1782187804.2087207,1376.7576217651367,1,200,,156,96,33,189
123,queue_pressure,vllm_queue_pressure,1782187802.8342876,1782187804.2316496,1397.3619937896729,1,200,,156,96,33,189
116,queue_pressure,vllm_queue_pressure,1782187802.83253,1782187804.2319736,1399.4436264038086,1,200,,156,96,33,189
114,queue_pressure,vllm_queue_pressure,1782187802.8321655,1782187804.2321033,1399.9378681182861,1,200,,156,96,33,189
119,queue_pressure,vllm_queue_pressure,1782187802.833423,1782187804.2326243,1399.2013931274414,1,200,,156,96,89,245
124,queue_pressure,vllm_queue_pressure,1782187802.834456,1782187804.2327445,1398.2884883880615,1,200,,156,96,33,189
126,queue_pressure,vllm_queue_pressure,1782187802.8349874,1782187804.232865,1397.8776931762695,1,200,,156,96,33,189
117,queue_pressure,vllm_queue_pressure,1782187802.832775,1782187804.2329838,1400.2087116241455,1,200,,156,96,33,189
118,queue_pressure,vllm_queue_pressure,1782187802.832959,1782187804.2332752,1400.3162384033203,1,200,,156,96,33,189
127,queue_pressure,vllm_queue_pressure,1782187802.835153,1782187804.23348,1398.3268737792969,1,200,,156,96,33,189
122,queue_pressure,vllm_queue_pressure,1782187802.8341048,1782187804.2336075,1399.5027542114258,1,200,,156,96,33,189
121,queue_pressure,vllm_queue_pressure,1782187802.8338568,1782187804.2336988,1399.8420238494873,1,200,,156,96,33,189
120,queue_pressure,vllm_queue_pressure,1782187802.8336415,1782187804.2337868,1400.1452922821045,1,200,,156,96,33,189
112,queue_pressure,vllm_queue_pressure,1782187802.8317518,1782187804.23388,1402.1282196044922,1,200,,156,96,56,212
115,queue_pressure,vllm_queue_pressure,1782187802.8323612,1782187804.2339902,1401.6289710998535,1,200,,156,96,33,189
125,queue_pressure,vllm_queue_pressure,1782187802.8346384,1782187804.2341018,1399.463415145874,1,200,,156,96,33,189
131,queue_pressure,vllm_queue_pressure,1782187804.2357674,1782187805.618853,1383.0857276916504,1,200,,156,96,33,189
135,queue_pressure,vllm_queue_pressure,1782187804.2370875,1782187805.6409943,1403.9068222045898,1,200,,156,96,33,189
139,queue_pressure,vllm_queue_pressure,1782187804.23872,1782187805.6419172,1403.1972885131836,1,200,,156,96,33,189
130,queue_pressure,vllm_queue_pressure,1782187804.2354712,1782187805.6422474,1406.7761898040771,1,200,,156,96,33,189
